,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional,Cmp,Att,P_Yds,P_TD,Year,Next_Yds,Season,Yd_corr,Yd_diff,Yds_season,Actual,Prediction,Actual,Prediction
1205,DavanteAdams,GNB,0.06666666666666665,WR,0.9375,0.3217821782178218,0.25000000000000006,0.5230596175478066,0.2274832732887288,0.2071428571428571,0.16666666666666666,0.13989637305699482,0.24999999999999994,0.23464163822525597,AdamDa01,0.4233870967741935,0.40000000000000013,0.595001711742554,0.6136363636363636,2014,483.0,0,1.0,1.0,0.6999849967492957,,,,
1204,DavanteAdams,GNB,0.1333333333333333,WR,0.75,0.4603960396039604,0.3310810810810811,0.4735658042744657,0.24652599073597534,0.15952380952380948,0.05555555555555555,0.09585492227979273,0.40217391304347816,0.3139931740614335,AdamDa01,0.41935483870967727,0.5138461538461538,0.3355015405682985,0.4545454545454546,2015,997.0,1,1.0000000000000007,1.083710407239819,0.8526217341459,,,,
1203,DavanteAdams,GNB,0.20000000000000018,WR,0.9375,0.594059405940594,0.5,0.5725534308211474,0.5110653628409677,0.24523809523809523,0.6666666666666666,0.17616580310880828,0.49999999999999994,0.5281569965870306,AdamDa01,0.6411290322580645,0.6584615384615387,0.5737761040739472,0.6590909090909092,2016,885.0,2,0.8944946634403276,2.073068893528184,1.76915996080411,,,,
1202,DavanteAdams,GNB,0.26666666666666683,WR,0.8125,0.5742574257425742,0.49324324324324326,0.5860517435320586,0.45342254246011326,0.21428571428571427,0.5555555555555556,0.16062176165803108,0.5652173913043477,0.5358361774744027,AdamDa01,0.435483870967742,0.48,0.22047244094488183,0.31818181818181823,2017,1386.0,3,0.8463642254374588,0.8872104733131921,1.7534990366702228,1386.0,781.8933710156175,1386.0,781.8933710156175
1201,DavanteAdams,GNB,0.3333333333333335,WR,0.875,0.8316831683168316,0.7432432432432432,0.6141732283464567,0.7112712300566136,0.2261904761904762,0.7222222222222222,0.17616580310880828,0.7934782608695651,0.7849829351535836,AdamDa01,0.596774193548387,0.7200000000000002,0.5871276959945225,0.31818181818181823,2018,997.0,4,0.9258744051949287,1.5686719636776392,2.6216407461495614,997.0,1091.5153035935996,997.0,1091.5153035935996
1200,DavanteAdams,GNB,0.40000000000000013,WR,0.6875,0.6237623762376238,0.5540540540540541,0.6107986501687289,0.5110653628409677,0.21428571428571427,0.2777777777777778,0.1683937823834197,0.7391304347826085,0.705631399317406,AdamDa01,0.4516129032258065,0.5138461538461538,0.41424169804861355,0.34090909090909094,2019,1374.0,5,0.8071012650699119,0.7185238784370478,1.8696683518405959,1374.0,799.4323795075466,1374.0,799.4323795075466
1199,DavanteAdams,GNB,0.4666666666666668,WR,0.8125,0.7326732673267327,0.7702702702702703,0.7435320584926884,0.7050952135872364,0.2119047619047619,1.0,0.2020725388601036,0.8804347826086953,0.833617747440273,AdamDa01,0.5161290322580645,0.36923076923076925,0.5419376925710374,0.8409090909090908,2020,1553.0,6,0.8612936103105554,1.3796576032225578,2.5665289653184744,1553.0,1144.8559200278191,1553.0,1144.8559200278191
1198,DavanteAdams,GNB,0.5333333333333334,WR,0.9375,0.8316831683168316,0.8243243243243243,0.6940382452193476,0.7972207925887803,0.22857142857142856,0.611111111111111,0.2020725388601036,0.826086956521739,0.8250853242320818,AdamDa01,0.6370967741935483,0.5753846153846154,0.6134885313248887,0.6363636363636364,2021,1516.0,7,0.902244060848192,1.1306569343065693,3.007893959221579,1516.0,1070.2557694703505,1516.0,1070.2557694703505
1196,NelsonAgholor,PHI,0.06666666666666665,WR,0.75,0.21287128712871287,0.14864864864864868,0.4634420697412823,0.14359238291302112,0.22142857142857145,0.05555555555555555,0.1295336787564767,0.18478260869565216,0.18259385665529013,AghoNe00,0.6491935483870968,0.6676923076923078,0.5354330708661418,0.2727272727272727,2015,365.0,0,1.0,1.0,0.49662101007663073,,,,
1195,NelsonAgholor,PHI,0.1333333333333333,WR,0.875,0.33663366336633666,0.2364864864864865,0.46231721034870643,0.18579516212043234,0.16904761904761903,0.1111111111111111,0.10103626943005181,0.24999999999999994,0.20392491467576793,AghoNe00,0.5483870967741935,0.6246153846153848,0.3635741184525848,0.11363636363636365,2016,768.0,1,1.0,1.2939068100358422,0.6431689283487246,,,,
1194,NelsonAgholor,PHI,0.20000000000000018,WR,0.9375,0.46534653465346537,0.4121621621621622,0.609673790776153,0.393206381883685,0.22380952380952382,0.4444444444444444,0.17357512953367873,0.4130434782608695,0.4061433447098976,AghoNe00,0.3911290322580645,0.48615384615384616,0.4156110920917494,0.6136363636363636,2017,736.0,2,0.9341236082848076,2.116343490304709,1.520627995477923,736.0,694.8890590784483,736.0,694.8890590784483
1193,NelsonAgholor,PHI,0.26666666666666683,WR,0.9375,0.4752475247524752,0.4256756756756757,0.6175478065241845,0.3767370046320124,0.20238095238095236,0.2222222222222222,0.16062176165803108,0.4239130434782608,0.3890784982935154,AghoNe00,0.717741935483871,0.5938461538461539,0.5997945908935297,0.40909090909090906,2018,363.0,3,0.910967247728211,0.9581151832460734,1.3885969798708238,363.0,641.7759433195798,363.0,641.7759433195798
