,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional,Cmp,Att,P_Yds,P_TD,Year
86,86,ChrisGodwin,TAM,21,WR,16,55,34,61.8%,525,15.4,1,9.5,2.1,32.8,GodwCh00,378.0,605.0,4366.0,26.0,2017
87,87,FreddieMartino,TAM,26,WR,8,6,5,83.3%,96,19.2,0,16.0,0.6,12.0,MartFr00,378.0,605.0,4366.0,26.0,2017
88,88,BoboWilson,TAM,22,WR,3,1,1,100.0%,18,18.0,1,18.0,0.3,6.0,WilsJe00,378.0,605.0,4366.0,26.0,2017
89,89,DezBryant,DAL,29,WR,16,132,69,52.3%,838,12.1,6,6.3,4.3,52.4,BryaDe01,309.0,493.0,3141.0,22.0,2017
90,90,TerranceWilliams,DAL,28,WR,16,78,53,67.9%,568,10.7,0,7.3,3.3,35.5,WillTe01,309.0,493.0,3141.0,22.0,2017
91,91,ColeBeasley,DAL,28,WR,15,63,36,57.1%,314,8.7,4,5.0,2.4,20.9,BeasCo00,309.0,493.0,3141.0,22.0,2017
92,92,BriceButler,DAL,27,WR,13,23,15,65.2%,317,21.1,3,13.8,1.2,24.4,ButlBr00,309.0,493.0,3141.0,22.0,2017
93,93,RyanSwitzer,DAL,23,WR,16,7,6,85.7%,41,6.8,0,5.9,0.4,2.6,SwitRy00,309.0,493.0,3141.0,22.0,2017
94,94,NoahBrown,DAL,21,WR,13,9,4,44.4%,33,8.3,0,3.7,0.3,2.5,BrowNo00,309.0,493.0,3141.0,22.0,2017
95,95,JamisonCrowder,WAS,24,WR,15,103,66,64.1%,789,12.0,3,7.7,4.4,52.6,CrowJa00,347.0,540.0,3751.0,27.0,2017
96,96,RyanGrant,WAS,27,WR,16,65,45,69.2%,573,12.7,4,8.8,2.8,35.8,GranRy01,347.0,540.0,3751.0,27.0,2017
97,97,JoshDoctson,WAS,25,WR,16,78,35,44.9%,502,14.3,6,6.4,2.2,31.4,DoctJo00,347.0,540.0,3751.0,27.0,2017
98,98,TerrellePryor,WAS,28,WR,9,37,20,54.1%,240,12.0,1,6.5,2.2,26.7,PryoTe00,347.0,540.0,3751.0,27.0,2017
99,99,BrianQuick,WAS,28,WR,11,8,6,75.0%,76,12.7,0,9.5,0.5,6.9,QuicBr00,347.0,540.0,3751.0,27.0,2017
100,100,MauriceHarris,WAS,25,WR,6,6,4,66.7%,62,15.5,1,10.3,0.7,10.3,HarrMa05,347.0,540.0,3751.0,27.0,2017
101,101,BrandinCooks,NWE,24,WR,16,114,65,57.0%,1082,16.6,7,9.5,4.1,67.6,CookBr00,389.0,587.0,4418.0,32.0,2017
