,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional
0,0,MichaelThomas,NOR,25,WR,16,147,125,85.0%,1405,11.2,9,9.6,7.8,87.8,ThomMi05
2,2,DeAndreHopkins,HOU,26,WR,16,163,115,70.6%,1572,13.7,11,9.6,7.2,98.3,HopkDe00
3,3,JulioJones,ATL,29,WR,16,170,113,66.5%,1677,14.8,8,9.9,7.1,104.8,JoneJu02
4,4,AdamThielen,MIN,28,WR,16,153,113,73.9%,1373,12.2,9,9.0,7.1,85.8,ThieAd00
5,5,DavanteAdams,GNB,26,WR,15,169,111,65.7%,1386,12.5,13,8.2,7.4,92.4,AdamDa01
6,6,JuJuSmithSchuster,PIT,22,WR,16,166,111,66.9%,1426,12.8,7,8.6,6.9,89.1,SmitJu00
8,8,AntonioBrown,PIT,30,WR,15,168,104,61.9%,1297,12.5,15,7.7,6.9,86.5,BrowAn04
10,10,StefonDiggs,MIN,25,WR,15,149,102,68.5%,1021,10.0,9,6.9,6.8,68.1,DiggSt00
11,11,KeenanAllen,LAC,26,WR,16,136,97,71.3%,1196,12.3,6,8.8,6.1,74.8,AlleKe00
14,14,TyreekHill,KAN,24,WR,16,137,87,63.5%,1479,17.0,12,10.8,5.4,92.4,HillTy00
16,16,MikeEvans,TAM,25,WR,16,138,86,62.3%,1524,17.7,8,11.0,5.4,95.3,EvanMi00
17,17,RobertWoods,LAR,26,WR,16,130,86,66.2%,1219,14.2,6,9.4,5.4,76.2,WoodRo02
19,19,JarvisLandry,CLE,26,WR,16,149,81,54.4%,976,12.0,4,6.6,5.1,61.0,LandJa00
20,20,BrandinCooks,LAR,25,WR,16,117,80,68.4%,1204,15.1,5,10.3,5.0,75.3,CookBr00
21,21,OdellBeckhamJr,NYG,26,WR,12,124,77,62.1%,1052,13.7,6,8.5,6.4,87.7,BeckOd00
23,23,TylerBoyd,CIN,24,WR,14,108,76,70.4%,1028,13.5,7,9.5,5.4,73.4,BoydTy00
24,24,TYHilton,IND,29,WR,14,120,76,63.3%,1270,16.7,6,10.6,5.4,90.7,HiltT.00
25,25,AdamHumphries,TAM,25,WR,16,105,76,72.4%,816,10.7,5,7.8,4.8,51.0,HumpAd00
26,26,AmariCooper,2TM,24,WR,15,107,75,70.1%,1005,13.4,7,9.4,5.0,67.0,CoopAm00
27,27,JulianEdelman,NWE,32,WR,12,108,74,68.5%,850,11.5,6,7.9,6.2,70.8,EdelJu00
28,28,GoldenTate,2TM,30,WR,15,113,74,65.5%,795,10.7,4,7.0,4.9,53.0,TateGo00
31,31,EmmanuelSanders,DEN,31,WR,12,98,71,72.4%,868,12.2,4,8.9,5.9,72.3,SandEm00
32,32,KennyGolladay,DET,25,WR,15,119,70,58.8%,1063,15.2,5,8.9,4.7,70.9,GollKe00
33,33,LarryFitzgerald,ARI,35,WR,16,112,69,61.6%,734,10.6,6,6.6,4.3,45.9,FitzLa00
36,36,TaylorGabriel,CHI,27,WR,16,93,67,72.0%,688,10.3,2,7.4,4.2,43.0,GabrTa00
38,38,MohamedSanu,ATL,29,WR,16,94,66,70.2%,838,12.7,4,8.9,4.1,52.4,SanuMo00
39,39,SterlingShepard,NYG,25,WR,16,107,66,61.7%,872,13.2,4,8.1,4.1,54.5,ShepSt00
40,40,DedeWestbrook,JAX,25,WR,16,101,66,65.3%,717,10.9,5,7.1,4.1,44.8,WestDe00
41,41,ColeBeasley,DAL,29,WR,16,87,65,74.7%,672,10.3,3,7.7,4.1,42.0,BeasCo00
42,42,CoreyDavis,TEN,23,WR,16,112,65,58.0%,891,13.7,4,8.0,4.1,55.7,DaviCo03
43,43,AlshonJeffery,PHI,28,WR,13,92,65,70.7%,843,13.0,6,9.2,5.0,64.8,JeffAl00
44,44,NelsonAgholor,PHI,25,WR,16,97,64,66.0%,736,11.5,4,7.6,4.0,46.0,AghoNe00
45,45,CalvinRidley,ATL,24,WR,16,92,64,69.6%,821,12.8,10,8.9,4.0,51.3,RidlCa00
48,48,JordyNelson,LVR,33,WR,15,88,63,71.6%,739,11.7,3,8.4,4.2,49.3,NelsJo00
49,49,WillieSnead,BAL,26,WR,16,95,62,65.3%,651,10.5,1,6.9,3.9,40.7,SneaWi00
51,51,DannyAmendola,MIA,33,WR,15,79,59,74.7%,575,9.7,1,7.3,3.9,38.3,AmenDa00
52,52,ChrisGodwin,TAM,22,WR,16,95,59,62.1%,842,14.3,7,8.9,3.7,52.6,GodwCh00
55,55,DemaryiusThomas,2TM,31,WR,15,89,59,66.3%,677,11.5,5,7.6,3.9,45.1,ThomDe03
56,56,TylerLockett,SEA,26,WR,16,70,57,81.4%,965,16.9,10,13.8,3.6,60.3,LockTy00
57,57,ZayJones,BUF,23,WR,16,102,56,54.9%,652,11.6,7,6.4,3.5,40.8,JoneZa00
61,61,DJMoore,CAR,21,WR,16,82,55,67.1%,788,14.3,2,9.6,3.4,49.3,MoorD.00
62,62,AllenRobinson,CHI,25,WR,13,94,55,58.5%,754,13.7,4,8.0,4.2,58.0,RobiAl02
65,65,MichaelCrabtree,BAL,31,WR,16,100,54,54.0%,607,11.2,3,6.1,3.4,37.9,CrabMi00
68,68,ChesterRogers,IND,24,WR,16,72,53,73.6%,485,9.2,2,6.7,3.3,30.3,RogeCh02
69,69,ChosenAnderson,NYJ,25,WR,14,94,50,53.2%,752,15.0,6,8.0,3.6,53.7,AndeRo04
70,70,DougBaldwin,SEA,30,WR,13,73,50,68.5%,618,12.4,5,8.5,3.8,47.5,BaldDo00
74,74,DonteMoncrief,JAX,25,WR,16,89,48,53.9%,668,13.9,3,7.5,3.0,41.8,MoncDo00
77,77,AJGreen,CIN,30,WR,9,77,46,59.7%,694,15.1,6,9.0,5.1,77.1,GreeA.00
79,79,SethRoberts,LVR,27,WR,15,64,45,70.3%,494,11.0,2,7.7,3.0,32.9,RobeSe00
80,80,JoshDoctson,WAS,26,WR,15,78,44,56.4%,532,12.1,2,6.8,2.9,35.5,DoctJo00
81,81,DevinFunchess,CAR,24,WR,14,79,44,55.7%,549,12.5,4,6.9,3.1,39.2,FuncDe00
82,82,AntonioCallaway,CLE,21,WR,16,79,43,54.4%,586,13.6,5,7.4,2.7,36.6,CallAn00
83,83,ChristianKirk,ARI,22,WR,12,68,43,63.2%,590,13.7,3,8.7,3.6,49.2,KirkCh01
86,86,MikeWilliams,LAC,24,WR,16,66,43,65.2%,664,15.4,10,10.1,2.7,41.5,WillMi07
87,87,JariusWright,CAR,29,WR,16,59,43,72.9%,447,10.4,1,7.6,2.7,27.9,WrigJa02
88,88,KendrickBourne,SFO,23,WR,16,66,42,63.6%,487,11.6,4,7.4,2.6,30.4,BourKe00
89,89,JohnBrown,BAL,28,WR,16,97,42,43.3%,715,17.0,5,7.4,2.6,44.7,BrowJo02
90,90,CourtlandSutton,DEN,23,WR,16,84,42,50.0%,704,16.8,4,8.4,2.6,44.0,SuttCo00
91,91,JoshGordon,2TM,27,WR,12,71,41,57.7%,737,18.0,4,10.4,3.4,61.4,GordJo02
92,92,DeSeanJackson,TAM,32,WR,12,74,41,55.4%,774,18.9,4,10.5,3.4,64.5,JackDe00
94,94,TyrellWilliams,LAC,26,WR,16,65,41,63.1%,653,15.9,5,10.0,2.6,40.8,WillTy00
96,96,CooperKupp,LAR,25,WR,8,55,40,72.7%,566,14.2,6,10.3,5.0,70.8,KuppCo00
