,Tm,Cmp,Att,P_Yds,P_TD
0,TAM,382,630,4845,33
1,DAL,388,597,4751,30
2,ATL,459,684,4714,29
3,LAR,397,632,4499,22
4,KAN,378,576,4498,30
5,LAC,394,597,4426,24
6,NOR,418,581,4244,36
7,NWE,378,620,3961,25
8,LVR,367,523,3926,22
9,DET,344,571,3900,28
10,PHI,391,613,3833,27
11,MIA,371,615,3804,22
12,SFO,331,478,3792,28
13,SEA,341,517,3791,31
14,HOU,355,534,3783,27
15,JAX,364,589,3760,24
16,GNB,356,573,3733,26
17,NYG,376,607,3731,30
18,CIN,356,616,3652,18
19,CAR,382,633,3650,17
20,TEN,297,448,3582,29
21,CLE,318,539,3554,22
22,MIN,319,466,3523,26
23,ARI,355,554,3477,20
24,CHI,371,580,3291,20
25,BUF,299,513,3229,21
26,BAL,289,440,3225,37
27,DEN,312,504,3115,16
28,NYJ,323,521,3111,19
29,IND,307,513,3108,22
30,PIT,315,510,2981,18
31,WAS,298,479,2812,18
