,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional
46,46,LaviskaShenaultJr,JAX,23,WR,16,100,63,63.0%,619,9.8,0,6.2,3.9,38.7,ShenLa00
53,53,ChaseClaypool,PIT,23,WR,15,105,59,56.2%,860,14.6,2,8.2,3.9,57.3,ClayCh01
54,54,MecoleHardman,KAN,23,WR,17,83,59,71.1%,693,11.7,2,8.3,3.5,40.8,HardMe00
55,55,CourtlandSutton,DEN,26,WR,17,98,58,59.2%,776,13.4,2,7.9,3.4,45.6,SuttCo00
56,56,BrandonAiyuk,SFO,23,WR,17,84,56,66.7%,826,14.8,5,9.8,3.3,48.6,AiyuBr00
58,58,KendrickBourne,NWE,26,WR,17,70,55,78.6%,800,14.5,5,11.4,3.2,47.1,BourKe00
61,61,AJGreen,ARI,33,WR,16,92,54,58.7%,848,15.7,3,9.2,3.4,53.0,GreeA.00
63,63,RondaleMoore,ARI,21,WR,14,64,54,84.4%,435,8.1,1,6.8,3.9,31.1,MoorRo02
64,64,ChosenAnderson,CAR,28,WR,17,110,53,48.2%,519,9.8,5,4.7,3.1,30.5,AndeRo04
65,65,TimPatrick,DEN,28,WR,16,85,53,62.4%,734,13.8,5,8.6,3.3,45.9,PatrTi00
67,67,JarvisLandry,CLE,29,WR,12,87,52,59.8%,570,11.0,2,6.6,4.3,47.5,LandJa00
69,69,JamisonCrowder,NYJ,28,WR,12,71,51,71.8%,447,8.8,2,6.3,4.3,37.3,CrowJa00
71,71,VanJefferson,LAR,25,WR,17,89,50,56.2%,802,16.0,6,9.0,2.9,47.2,JeffVa00
72,72,KJOsborn,MIN,24,WR,17,82,50,61.0%,655,13.1,7,8.0,2.9,38.5,OsboKJ00
78,78,KalifRaymond,DET,27,WR,16,71,48,67.6%,576,12.0,4,8.1,3.0,36.0,RaymKa00
80,80,ZayJones,LVR,26,WR,17,70,47,67.1%,546,11.6,1,7.8,2.8,32.1,JoneZa00
83,83,RashodBateman,BAL,22,WR,12,68,46,67.6%,515,11.2,1,7.6,3.8,42.9,BateRa00
84,84,BraxtonBerrios,NYJ,26,WR,16,65,46,70.8%,431,9.4,2,6.6,2.9,26.9,BerrBr00
85,85,MarquezCallaway,NOR,23,WR,17,84,46,54.8%,698,15.2,6,8.3,2.7,41.1,CallMa01
87,87,CedrickWilsonJr,DAL,26,WR,16,61,45,73.8%,602,13.4,6,9.9,2.8,37.6,WilsCe01
88,88,RobertWoods,LAR,29,WR,9,69,45,65.2%,556,12.4,4,8.1,5.0,61.8,WoodRo02
89,89,OdellBeckhamJr,2TM,29,WR,14,82,44,53.7%,537,12.2,5,6.5,3.1,38.4,BeckOd00
92,92,JDMcKissic,WAS,28,WR,11,53,43,81.1%,397,9.2,2,7.5,3.9,36.1,McKiJ.00
93,93,ElijahMoore,NYJ,21,WR,11,77,43,55.8%,538,12.5,5,7.0,3.9,48.9,MoorEl00
94,94,QuezWatkins,PHI,23,WR,17,62,43,69.4%,647,15.0,1,10.4,2.5,38.1,WatkQu00
96,96,AntonioBrown,TAM,33,WR,7,62,42,67.7%,545,13.0,4,8.8,6.0,77.9,BrowAn04
98,98,DeAndreHopkins,ARI,29,WR,10,64,42,65.6%,572,13.6,8,8.9,4.2,57.2,HopkDe00
101,101,ByronPringle,KAN,28,WR,17,60,42,70.0%,568,13.5,5,9.5,2.5,33.4,PrinBy00
102,102,EmmanuelSanders,BUF,34,WR,14,72,42,58.3%,626,14.9,4,8.7,3.0,44.7,SandEm00
105,105,AdamHumphries,WAS,28,WR,17,62,41,66.1%,383,9.3,0,6.2,2.4,22.5,HumpAd00
108,108,AllenLazard,GNB,26,WR,15,60,40,66.7%,513,12.8,8,8.6,2.7,34.2,LazaAl00
109,109,DeVanteParker,MIA,28,WR,10,73,40,54.8%,515,12.9,2,7.1,4.0,51.5,ParkDe01
112,112,RayRayMcCloud,PIT,25,WR,16,66,39,59.1%,277,7.1,0,4.2,2.4,17.3,McClRa00
114,114,KadariusToney,NYG,22,WR,10,57,39,68.4%,420,10.8,0,7.4,3.9,42.0,ToneKa00
117,117,JerryJeudy,DEN,22,WR,10,56,38,67.9%,467,12.3,0,8.3,3.8,46.7,JeudJe00
118,118,ZachPascal,IND,27,WR,16,69,38,55.1%,384,10.1,3,5.6,2.4,24.0,PascZa00
119,119,AllenRobinson,CHI,28,WR,12,66,38,57.6%,410,10.8,1,6.2,3.2,34.2,RobiAl02
120,120,NickWestbrookIkhine,TEN,24,WR,16,57,38,66.7%,476,12.5,4,8.4,2.4,29.8,WestNi00
121,121,NelsonAgholor,NWE,28,WR,15,64,37,57.8%,473,12.8,3,7.4,2.5,31.5,AghoNe00
123,123,KennyGolladay,NYG,28,WR,14,76,37,48.7%,521,14.1,0,6.9,2.6,37.2,GollKe00
126,126,DeonteHarty,NOR,24,WR,13,59,36,61.0%,570,15.8,3,9.7,2.8,43.8,HarrDe07
127,127,TylerJohnson,TAM,23,WR,17,55,36,65.5%,360,10.0,0,6.5,2.1,21.2,JohnTy00
129,129,SterlingShepard,NYG,28,WR,7,53,36,67.9%,366,10.2,1,6.9,5.1,52.3,ShepSt00
130,130,DanArnold,2TM,26,WR,11,52,35,67.3%,408,11.7,0,7.8,3.2,37.1,ArnoDa00
131,131,GabrielDavis,BUF,22,WR,16,63,35,55.6%,549,15.7,6,8.7,2.2,34.3,DaviGa01
132,132,MichaelGallup,DAL,25,WR,9,62,35,56.5%,445,12.7,2,7.2,3.9,49.4,GallMi00
134,134,CoreyDavis,NYJ,26,WR,9,59,34,57.6%,492,14.5,4,8.3,3.8,54.7,DaviCo03
136,136,BryanEdwards,LVR,23,WR,16,59,34,57.6%,571,16.8,3,9.7,2.1,35.7,EdwaBr01
140,140,DonovanPeoplesJones,CLE,22,WR,14,58,34,58.6%,597,17.6,3,10.3,2.4,42.6,PeopDo00
142,142,NicoCollins,HOU,22,WR,14,60,33,55.0%,446,13.5,1,7.4,2.4,31.9,CollNi00
143,143,DevinDuvernay,BAL,24,WR,16,47,33,70.2%,272,8.2,2,5.8,2.1,17.0,DuveDe00
146,146,JoshPalmer,LAC,23,WR,17,49,33,67.3%,353,10.7,4,7.2,1.9,20.8,PalmJo00
147,147,JalenReagor,PHI,22,WR,17,57,33,57.9%,299,9.1,2,5.2,1.9,17.6,ReagJa00
148,148,LaquonTreadwell,JAX,26,WR,12,51,33,64.7%,434,13.2,1,8.5,2.8,36.2,TreaLa00
151,151,TreQuanSmith,NOR,25,WR,11,50,32,64.0%,377,11.8,3,7.5,2.9,34.3,SmitTr03
152,152,JalenGuyton,LAC,24,WR,16,48,31,64.6%,448,14.5,3,9.3,1.9,28.0,GuytJa01
153,153,JulioJones,TEN,32,WR,10,48,31,64.6%,434,14.0,1,9.0,3.1,43.4,JoneJu02
154,154,CalvinRidley,ATL,27,WR,5,52,31,59.6%,281,9.1,2,5.4,6.2,56.2,RidlCa00
157,157,OlamideZaccheaus,ATL,24,WR,17,53,31,58.5%,406,13.1,3,7.7,1.8,23.9,ZaccOl01
162,162,ChesterRogers,TEN,27,WR,16,43,30,69.8%,301,10.0,1,7.0,1.9,18.8,RogeCh02
166,166,JoshReynolds,2TM,26,WR,12,49,29,59.2%,396,13.7,2,8.1,2.4,33.0,ReynJo00
167,167,RandallCobb,GNB,31,WR,12,39,28,71.8%,375,13.4,5,9.6,2.3,31.3,CobbRa00
168,168,KeelanCole,NYJ,28,WR,15,51,28,54.9%,449,16.0,1,8.8,1.9,29.9,ColeKe00
176,176,SammyWatkins,BAL,28,WR,13,49,27,55.1%,394,14.6,1,8.0,2.1,30.3,WatkSa00
177,177,DamiereByrd,CHI,28,WR,17,38,26,68.4%,329,12.7,1,8.7,1.5,19.4,ByrdDa00
181,181,DariusSlayton,NYG,24,WR,13,58,26,44.8%,339,13.0,2,5.8,2.0,26.1,SlayDa01
182,182,MarquezValdesScantling,GNB,27,WR,11,55,26,47.3%,430,16.5,3,7.8,2.4,39.1,ValdMa00
187,187,DemarcusRobinson,KAN,27,WR,17,41,25,61.0%,264,10.6,3,6.4,1.5,15.5,RobiDe01
188,188,TajaeSharpe,ATL,27,WR,15,37,25,67.6%,230,9.2,0,6.2,1.7,15.3,SharTa00
189,189,FreddieSwain,SEA,23,WR,17,40,25,62.5%,343,13.7,4,8.6,1.5,20.2,SwaiFr00
190,190,AlbertWilson,MIA,29,WR,14,39,25,64.1%,213,8.5,0,5.5,1.8,15.2,WilsAl02
191,191,JamalAgnew,JAX,26,WR,10,39,24,61.5%,229,9.5,1,5.9,2.4,22.9,AgneJa00
194,194,DannyAmendola,HOU,36,WR,8,38,24,63.2%,248,10.3,3,6.5,3.0,31.0,AmenDa00
195,195,TavonAustin,JAX,31,WR,13,37,24,64.9%,213,8.9,1,5.8,1.8,16.4,AustTa00
196,196,DeAndreCarter,WAS,28,WR,17,44,24,54.5%,296,12.3,3,6.7,1.4,17.4,CartDe02
197,197,RashardHiggins,CLE,27,WR,15,47,24,51.1%,275,11.5,1,5.9,1.6,18.3,HiggRa00
198,198,JauanJennings,SFO,24,WR,16,38,24,63.2%,282,11.8,5,7.4,1.5,17.6,JennJa00
200,200,HenryRuggsIII,LVR,22,WR,7,36,24,66.7%,469,19.5,2,13.0,3.4,67.0,RuggHe00
201,201,JamesWashington,PIT,25,WR,15,44,24,54.5%,285,11.9,2,6.5,1.6,19.0,WashJa00
205,205,TYHilton,IND,32,WR,10,37,23,62.2%,331,14.4,3,8.9,2.3,33.1,HiltT.00
208,208,ChrisConley,HOU,29,WR,16,37,22,59.5%,323,14.7,2,8.7,1.4,20.2,ConlCh00
215,215,ChrisMoore,HOU,28,WR,12,22,21,95.5%,227,10.8,2,10.3,1.8,18.9,MoorCh00
218,218,MarquiseGoodwin,CHI,31,WR,14,40,20,50.0%,313,15.7,1,7.8,1.4,22.4,GoodMa00
219,219,DeSeanJackson,2TM,35,WR,16,34,20,58.8%,454,22.7,2,13.4,1.3,28.4,JackDe00
221,221,IsaiahMcKenzie,BUF,26,WR,15,26,20,76.9%,178,8.9,1,6.8,1.3,11.9,McKeIs00
229,229,AntoineWesley,ARI,24,WR,15,32,19,59.4%,208,10.9,3,6.5,1.3,13.9,WeslAn01
230,230,DemetricFelton,CLE,23,WR,16,21,18,85.7%,181,10.1,2,8.6,1.1,11.3,FeltDe00
236,236,BrandonZylstra,CAR,28,WR,13,25,18,72.0%,250,13.9,1,10.0,1.4,19.2,ZylsBr00
238,238,TerraceMarshallJr,CAR,21,WR,13,30,17,56.7%,138,8.1,0,4.6,1.3,10.6,MarsTe00
240,240,NoahBrown,DAL,25,WR,13,25,16,64.0%,184,11.5,0,7.4,1.2,14.2,BrowNo00
243,243,TyMontgomery,NOR,28,WR,14,26,16,61.5%,95,5.9,0,3.7,1.1,6.8,MontTy01
244,244,JamesProche,BAL,25,WR,14,20,16,80.0%,202,12.6,0,10.1,1.1,14.4,ProcJa00
247,247,QuintezCephus,DET,23,WR,5,22,15,68.2%,204,13.6,2,9.3,3.0,40.8,CephQu00
249,249,KendallHinton,DEN,24,WR,16,23,15,65.2%,175,11.7,1,7.6,0.9,10.9,HintKe00
250,250,MohamedSanu,SFO,32,WR,8,24,15,62.5%,177,11.8,0,7.4,1.9,22.1,SanuMo00
251,251,CamSims,WAS,25,WR,14,23,15,65.2%,211,14.1,2,9.2,1.1,15.1,SimsCa00
252,252,JuJuSmithSchuster,PIT,25,WR,5,28,15,53.6%,129,8.6,0,4.6,3.0,25.8,SmitJu00
255,255,MackHollins,MIA,28,WR,17,28,14,50.0%,223,15.9,4,8.0,0.8,13.1,HollMa00
259,259,AshtonDulin,IND,24,WR,17,22,13,59.1%,173,13.3,2,7.9,0.8,10.2,DuliAs00
260,260,KhaDarelHodge,DET,26,WR,16,27,13,48.1%,157,12.1,0,5.8,0.8,9.8,HodgKh00
261,261,LilJordanHumphrey,NOR,23,WR,10,18,13,72.2%,249,19.2,2,13.8,1.3,24.9,HumpLi01
262,262,JuwanJohnson,NOR,25,WR,14,22,13,59.1%,159,12.2,4,7.2,0.9,11.4,JohnJu02
267,267,DyamiBrown,WAS,22,WR,15,25,12,48.0%,165,13.8,0,6.6,0.8,11.0,BrowDy00
269,269,IsaiahFord,MIA,25,WR,13,17,12,70.6%,161,13.4,2,9.5,0.9,12.4,FordIs00
270,270,NKealHarry,NWE,24,WR,12,22,12,54.5%,184,15.3,0,8.4,1.0,15.3,HarrNK00
274,274,MalikTurner,DAL,25,WR,14,16,12,75.0%,149,12.4,3,9.3,0.9,10.6,TurnMa00
279,279,JakeemGrant,2TM,29,WR,15,17,11,64.7%,132,12.0,2,7.8,0.7,8.8,GranJa00
281,281,CollinJohnson,NYG,24,WR,12,21,11,52.4%,105,9.5,0,5.0,0.9,8.8,JohnCo01
282,282,BreshadPerriman,TAM,28,WR,6,18,11,61.1%,167,15.2,1,9.3,1.8,27.8,PerrBr02
283,283,JohnRoss,NYG,26,WR,10,20,11,55.0%,224,20.4,1,11.2,1.1,22.4,RossJo00
285,285,BenSkowronek,LAR,24,WR,14,20,11,55.0%,133,12.1,0,6.7,0.8,9.5,SkowBe00
287,287,TrinityBenson,DET,24,WR,8,22,10,45.5%,103,10.3,0,4.7,1.3,12.9,BensTr00
288,288,ParrisCampbell,IND,24,WR,6,20,10,50.0%,162,16.2,1,8.1,1.7,27.0,CampPa00
289,289,DWayneEskridge,SEA,24,WR,10,20,10,50.0%,64,6.4,1,3.2,1.0,6.4,EskrDW00
291,291,CyrilGrayson,TAM,28,WR,5,12,10,83.3%,212,21.2,2,17.7,2.0,42.4,GrayCy01
296,296,DantePettis,NYG,26,WR,3,16,10,62.5%,87,8.7,1,5.4,3.3,29.0,PettDa00
297,297,AnthonySchwartz,CLE,21,WR,14,23,10,43.5%,135,13.5,1,5.9,0.7,9.6,SchwAn00
298,298,DedeWestbrook,MIN,28,WR,15,15,10,66.7%,68,6.8,0,4.5,0.7,4.5,WestDe00
303,303,MarcusJohnson,TEN,27,WR,7,19,9,47.4%,160,17.8,0,8.4,1.3,22.9,JohnMa07
304,304,DaxMilne,WAS,22,WR,13,14,9,64.3%,83,9.2,0,5.9,0.7,6.4,MilnDa00
307,307,TrentSherfield,SFO,25,WR,17,20,9,45.0%,87,9.7,1,4.4,0.5,5.1,SherTr00
310,310,EquanimeousStBrown,GNB,25,WR,13,17,9,52.9%,98,10.9,0,5.8,0.7,7.5,St.BEq00
315,315,DenzelMims,NYJ,24,WR,11,23,8,34.8%,133,16.6,0,5.8,0.7,12.1,MimsDe00
318,318,JeffSmith,NYJ,24,WR,12,17,8,47.1%,113,14.1,0,6.6,0.7,9.4,SmitJe03
319,319,JuwannWinfree,GNB,25,WR,7,13,8,61.5%,58,7.3,0,4.5,1.1,8.3,WinfJu00
321,321,DJChark,JAX,25,WR,4,22,7,31.8%,154,22.0,2,7.0,1.8,38.5,CharDJ00
322,322,PhillipDorsett,3TM,28,WR,6,14,7,50.0%,110,15.7,0,7.9,1.2,18.3,DorsPh00
325,325,PennyHart,SEA,25,WR,17,12,7,58.3%,59,8.4,0,4.9,0.4,3.5,HartPe01
329,329,GregWard,PHI,26,WR,17,11,7,63.6%,95,13.6,3,8.6,0.4,5.6,WardGr02
334,334,JaelonDarden,TAM,22,WR,9,12,6,50.0%,43,7.2,0,3.6,0.7,4.8,DardJa00
335,335,TomKennedy,DET,25,WR,12,10,6,60.0%,54,9.0,0,5.4,0.5,4.5,KennTo01
338,338,AnthonyMiller,2TM,27,WR,3,12,6,50.0%,25,4.2,1,2.1,2.0,8.3,MillAn02
340,340,CurtisSamuel,WAS,25,WR,5,9,6,66.7%,27,4.5,0,3.0,1.2,5.4,SamuCu00
341,341,ShiSmith,CAR,23,WR,6,11,6,54.5%,104,17.3,0,9.5,1.0,17.3,SmitSh03
342,342,KennyStills,NOR,29,WR,13,23,6,26.1%,68,11.3,1,3.0,0.5,5.2,StilKe00
343,343,PrestonWilliams,MIA,24,WR,8,16,6,37.5%,71,11.8,0,4.4,0.8,8.9,WillPr01
346,346,DezFitzpatrick,TEN,24,WR,4,8,5,62.5%,49,9.8,1,6.1,1.3,12.3,FitzDe00
347,347,JodyFortson,KAN,26,WR,6,5,5,100.0%,47,9.4,2,9.4,0.8,7.8,FortJo01
348,348,JoshGordon,KAN,30,WR,12,14,5,35.7%,32,6.4,1,2.3,0.4,2.7,GordJo02
349,349,KJHamler,DEN,22,WR,3,10,5,50.0%,74,14.8,0,7.4,1.7,24.7,HamlKJ00
353,353,ScottMiller,TAM,24,WR,9,9,5,55.6%,38,7.6,0,4.2,0.6,4.2,MillSc01
356,356,IhmirSmithMarsette,MIN,22,WR,8,6,5,83.3%,116,23.2,2,19.3,0.6,14.5,SmitIh00
357,357,MikeThomas,CIN,27,WR,12,11,5,45.5%,52,10.4,0,4.7,0.4,4.3,ThomMi04
358,358,CodyWhite,PIT,23,WR,15,6,5,83.3%,33,6.6,0,5.5,0.3,2.2,WhitCo05
360,360,ChristianBlake,ATL,25,WR,16,9,4,44.4%,25,6.3,0,2.8,0.3,1.6,BlakCh00
362,362,CJBoard,NYG,28,WR,6,6,4,66.7%,51,12.8,0,8.5,0.7,8.5,BoarC.00
363,363,JaMarcusBradley,CLE,25,WR,5,4,4,100.0%,64,16.0,0,16.0,0.8,12.8,BradJa01
365,365,PharohCooper,NYG,26,WR,8,11,4,36.4%,33,8.3,0,3.0,0.5,4.1,CoopPh00
369,369,WillFuller,MIA,27,WR,2,8,4,50.0%,26,6.5,0,3.3,2.0,13.0,FullWi01
373,373,ChrisHogan,NOR,34,WR,5,8,4,50.0%,41,10.3,1,5.1,0.8,8.2,HogaCh00
374,374,CodyHollister,TEN,28,WR,3,7,4,57.1%,33,8.3,0,4.7,1.3,11.0,HollCo00
383,383,AmariRodgers,GNB,22,WR,16,8,4,50.0%,45,11.3,0,5.6,0.3,2.8,RodgAm00
385,385,WillieSnead,2TM,29,WR,9,8,4,50.0%,38,9.5,0,4.8,0.4,4.2,SneaWi00
389,389,KristianWilkerson,NWE,24,WR,3,8,4,50.0%,42,10.5,2,5.3,1.3,14.0,WilkKr00
395,395,GregDortch,ARI,23,WR,5,3,3,100.0%,15,5.0,0,5.0,0.6,3.0,DortGr01
396,396,AlexErickson,CAR,29,WR,17,4,3,75.0%,55,18.3,0,13.8,0.2,3.2,EricAl01
403,403,KeithKirkwood,CAR,27,WR,3,7,3,42.9%,17,5.7,0,2.4,1.0,5.7,KirkKe00
405,405,DJMontgomery,NYJ,25,WR,3,6,3,50.0%,36,12.0,0,6.0,1.0,12.0,MontDJ01
406,406,JasonMoore,LAC,26,WR,2,4,3,75.0%,56,18.7,0,14.0,1.5,28.0,MoorJa02
414,414,AudenTate,CIN,24,WR,7,4,3,75.0%,39,13.0,1,9.8,0.4,5.6,TateAu00
420,420,JJArcegaWhiteside,PHI,25,WR,16,5,2,40.0%,36,18.0,0,7.2,0.1,2.3,ArceJJ00
422,422,CameronBatson,TEN,26,WR,4,5,2,40.0%,15,7.5,1,3.0,0.5,3.8,BatsCa00
426,426,DanielBrown,NYJ,29,WR,12,2,2,100.0%,29,14.5,0,14.5,0.2,2.4,BrowDa04
432,432,JesperHorsted,CHI,24,WR,7,3,2,66.7%,21,10.5,2,7.0,0.3,3.0,HorsJe00
434,434,TrentonIrwin,CIN,26,WR,7,5,2,40.0%,34,17.0,0,6.8,0.3,4.9,IrwiTr00
435,435,TyronJohnson,2TM,25,WR,10,5,2,40.0%,16,8.0,0,3.2,0.2,1.6,JohnTy03
436,436,MarcusKemp,KAN,26,WR,16,5,2,40.0%,24,12.0,0,4.8,0.1,1.5,KempMa00
437,437,JakeKumerow,BUF,29,WR,15,6,2,33.3%,28,14.0,0,4.7,0.1,1.9,KumeJa00
439,439,RaceyMcMath,TEN,22,WR,9,6,2,33.3%,8,4.0,0,1.3,0.2,0.9,McMaRa00
440,440,JaydonMickens,2TM,27,WR,11,3,2,66.7%,10,5.0,0,3.3,0.2,0.9,MickJa01
441,441,StanleyMorganJr,CIN,25,WR,17,4,2,50.0%,11,5.5,0,2.8,0.1,0.6,MorgSt02
442,442,DazzNewsome,CHI,22,WR,3,5,2,40.0%,23,11.5,0,4.6,0.7,7.7,NewsDa00
443,443,GunnerOlszewski,NWE,25,WR,16,3,2,66.7%,31,15.5,0,10.3,0.1,1.9,OlszGu00
444,444,DezmonPatmon,IND,23,WR,8,4,2,50.0%,21,10.5,1,5.3,0.3,2.6,PatmDe00
449,449,CJSaunders,CAR,25,WR,2,2,2,100.0%,11,5.5,0,5.5,1.0,5.5,SaunCJ00
450,450,DavidSills,NYG,25,WR,4,6,2,33.3%,17,8.5,0,2.8,0.5,4.3,SillDa01
454,454,MikeStrachan,IND,24,WR,6,3,2,66.7%,26,13.0,0,8.7,0.3,4.3,StraMi03
455,455,MalikTaylor,GNB,26,WR,10,3,2,66.7%,14,7.0,0,4.7,0.2,1.4,TaylMa01
457,457,TrentTaylor,CIN,27,WR,4,3,2,66.7%,41,20.5,0,13.7,0.5,10.3,TaylTr02
458,458,TylanWallace,BAL,22,WR,17,6,2,33.3%,23,11.5,0,3.8,0.1,1.4,WallTy00
461,461,TyrellWilliams,DET,29,WR,1,3,2,66.7%,14,7.0,0,4.7,2.0,14.0,WillTy00
467,467,TarikBlack,NYJ,23,WR,1,2,1,50.0%,10,10.0,0,5.0,1.0,10.0,BlacTa00
468,468,MilesBoykin,BAL,25,WR,8,1,1,100.0%,6,6.0,0,6.0,0.1,0.8,BoykMi00
472,472,KekeCoutee,IND,24,WR,2,1,1,100.0%,5,5.0,0,5.0,0.5,2.5,CoutKe00
474,474,FrankDarby,ATL,24,WR,10,4,1,25.0%,14,14.0,0,3.5,0.1,1.4,DarbFr00
475,475,DavionDavis,HOU,25,WR,2,3,1,33.3%,17,17.0,0,5.7,0.5,8.5,DaviDa03
477,477,MarvinHall,ATL,28,WR,2,1,1,100.0%,10,10.0,0,10.0,0.5,5.0,HallMa02
483,483,AndyIsabella,ARI,25,WR,8,1,1,100.0%,13,13.0,0,13.0,0.1,1.6,IsabAn00
486,486,TommyleeLewis,MIA,29,WR,2,2,1,50.0%,7,7.0,0,3.5,0.5,3.5,LewiTo00
491,491,KirkMerritt,MIA,24,WR,2,3,1,33.3%,13,13.0,0,4.3,0.5,6.5,MerrKi00
498,498,AndreRoberts,2TM,33,WR,16,2,1,50.0%,35,35.0,0,17.5,0.1,2.2,RobeAn00
501,501,DiontaeSpencer,DEN,29,WR,15,4,1,25.0%,-3,-3.0,0,-0.8,0.1,-0.2,SpenDi00
505,505,KevinWhite,NOR,29,WR,6,5,1,20.0%,38,38.0,0,7.6,0.2,6.3,WhitKe00
507,507,SethWilliams,DEN,21,WR,2,1,1,100.0%,34,34.0,0,34.0,0.5,17.0,WillSe00
509,509,EasopWinston,NOR,25,WR,3,1,1,100.0%,5,5.0,0,5.0,0.3,1.7,WinsEa00
511,511,RodneyAdams,CHI,27,WR,1,1,0,0.0%,0,,0,0.0,0.0,0.0,AdamRo01
512,512,GeronimoAllison,DET,27,WR,3,2,0,0.0%,0,,0,0.0,0.0,0.0,AlliGe01
513,513,TravisBenjamin,SFO,32,WR,10,5,0,0.0%,0,,0,0.0,0.0,0.0,BenjTr00
515,515,JohnBrown,3TM,31,WR,4,3,0,0.0%,0,,0,0.0,0.0,0.0,BrowJo02
