,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional
0,0,CooperKupp,LAR,28,WR,17,191,145,75.9%,1947,13.4,16,10.2,8.5,114.5,KuppCo00
1,1,DavanteAdams,GNB,29,WR,16,169,123,72.8%,1553,12.6,11,9.2,7.7,97.1,AdamDa01
2,2,TyreekHill,KAN,27,WR,17,159,111,69.8%,1239,11.2,9,7.8,6.5,72.9,HillTy00
3,3,JustinJefferson,MIN,22,WR,17,167,108,64.7%,1616,15.0,10,9.7,6.4,95.1,JeffJu00
5,5,DiontaeJohnson,PIT,25,WR,16,169,107,63.3%,1161,10.9,8,6.9,6.7,72.6,JohnDi01
6,6,KeenanAllen,LAC,29,WR,16,157,106,67.5%,1138,10.7,6,7.2,6.6,71.1,AlleKe00
7,7,JaylenWaddle,MIA,23,WR,16,140,104,74.3%,1015,9.8,6,7.3,6.5,63.4,WaddJa00
8,8,StefonDiggs,BUF,28,WR,17,164,103,62.8%,1225,11.9,10,7.5,6.1,72.1,DiggSt00
9,9,HunterRenfrow,LVR,26,WR,17,128,103,80.5%,1038,10.1,9,8.1,6.1,61.1,RenfHu00
10,10,ChrisGodwin,TAM,25,WR,14,127,98,77.2%,1103,11.3,5,8.7,7.0,78.8,GodwCh00
11,11,DJMoore,CAR,24,WR,17,163,93,57.1%,1157,12.4,4,7.1,5.5,68.1,MoorD.00
13,13,MarquiseBrown,BAL,24,WR,16,146,91,62.3%,1008,11.1,6,6.9,5.7,63.0,BrowMa04
14,14,BrandinCooks,HOU,28,WR,16,134,90,67.2%,1037,11.5,6,7.7,5.6,64.8,CookBr00
15,15,AmonRaStBrown,DET,22,WR,17,119,90,75.6%,912,10.1,5,7.7,5.3,53.6,StxxAm00
16,16,MichaelPittmanJr,IND,24,WR,17,129,88,68.2%,1082,12.3,6,8.4,5.2,63.6,PittMi01
17,17,JakobiMeyers,NWE,25,WR,17,126,83,65.9%,866,10.4,2,6.9,4.9,50.9,MeyeJa01
18,18,ColeBeasley,BUF,32,WR,16,112,82,73.2%,693,8.5,1,6.2,5.1,43.3,BeasCo00
19,19,JaMarrChase,CIN,21,WR,17,128,81,63.3%,1455,18.0,13,11.4,4.8,85.6,ChasJa00
20,20,DarnellMooney,CHI,24,WR,17,140,81,57.9%,1055,13.0,4,7.5,4.8,62.1,MoonDa00
21,21,CeeDeeLamb,DAL,22,WR,16,120,79,65.8%,1102,13.9,6,9.2,4.9,68.9,LambCe00
23,23,ChristianKirk,ARI,25,WR,17,103,77,74.8%,982,12.8,5,9.5,4.5,57.8,KirkCh01
24,24,TerryMcLaurin,WAS,26,WR,17,130,77,59.2%,1053,13.7,5,8.1,4.5,61.9,McLaTe00
25,25,DeeboSamuel,SFO,25,WR,16,121,77,63.6%,1405,18.2,6,11.6,4.8,87.8,SamuDe00
26,26,MikeWilliams,LAC,27,WR,16,129,76,58.9%,1146,15.1,9,8.9,4.8,71.6,WillMi07
27,27,DKMetcalf,SEA,24,WR,17,129,75,58.1%,967,12.9,12,7.5,4.4,56.9,MetcDK00
29,29,MikeEvans,TAM,28,WR,16,114,74,64.9%,1035,14.0,14,9.1,4.6,64.7,EvanMi00
31,31,TeeHiggins,CIN,22,WR,14,110,74,67.3%,1091,14.7,6,9.9,5.3,77.9,HiggTe00
33,33,MarvinJones,JAX,31,WR,17,120,73,60.8%,832,11.4,4,6.9,4.3,48.9,JoneMa02
34,34,TylerLockett,SEA,29,WR,16,107,73,68.2%,1175,16.1,8,11.0,4.6,73.4,LockTy00
38,38,AmariCooper,DAL,27,WR,15,104,68,65.4%,865,12.7,8,8.3,4.5,57.7,CoopAm00
41,41,TylerBoyd,CIN,27,WR,16,94,67,71.3%,828,12.4,5,8.8,4.2,51.8,BoydTy00
42,42,AdamThielen,MIN,31,WR,13,95,67,70.5%,726,10.8,10,7.6,5.2,55.8,ThieAd00
43,43,RussellGage,ATL,25,WR,14,94,66,70.2%,770,11.7,4,8.2,4.7,55.0,GageRu00
44,44,DeVontaSmith,PHI,23,WR,17,104,64,61.5%,916,14.3,5,8.8,3.8,53.9,SmitDe07
45,45,AJBrown,TEN,24,WR,13,105,63,60.0%,869,13.8,5,8.3,4.8,66.8,BrowAJ00
