,Tm,Cmp,Att,P_Yds,P_TD
0,LAC,366,583,4431,28
1,NWE,389,587,4418,32
2,PIT,384,590,4380,29
3,TAM,378,605,4366,26
4,NOR,386,536,4189,23
5,DET,374,570,4183,29
6,KAN,363,543,4104,26
7,ATL,343,530,3990,21
8,SFO,362,607,3925,15
9,LAR,320,518,3831,28
10,MIN,357,527,3753,25
11,WAS,347,540,3751,27
12,PHI,341,564,3737,38
13,SEA,340,555,3657,34
14,ARI,339,598,3640,21
15,LVR,347,558,3631,23
16,JAX,316,527,3593,21
17,MIA,373,602,3535,24
18,NYG,373,608,3479,20
19,DEN,332,566,3333,19
20,HOU,299,525,3278,28
21,CLE,312,574,3228,15
22,TEN,306,496,3191,14
23,NYJ,323,510,3182,19
24,GNB,352,562,3167,25
25,DAL,309,493,3141,22
26,CIN,304,510,3122,25
27,CAR,293,501,3077,22
28,BAL,363,567,3030,20
29,IND,285,487,2892,13
30,BUF,289,476,2825,16
31,CHI,291,473,2811,13
