,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional,Cmp,Att,P_Yds,P_TD,Year
0,0,LarryFitzgerald,ARI,33,WR,16,150,107,71.3%,1023,9.6,6,6.8,6.7,63.9,FitzLa00,383.0,646.0,4136.0,28.0,2016
1,1,JohnBrown,ARI,26,WR,15,73,39,53.4%,517,13.3,2,7.1,2.6,34.5,BrowJo02,383.0,646.0,4136.0,28.0,2016
2,2,JJNelson,ARI,24,WR,15,74,34,45.9%,568,16.7,6,7.7,2.3,37.9,NelsJJ00,383.0,646.0,4136.0,28.0,2016
3,3,JaronBrown,ARI,26,WR,7,22,11,50.0%,187,17.0,1,8.5,1.6,26.7,BrowJa03,383.0,646.0,4136.0,28.0,2016
4,4,BrittanGolden,ARI,28,WR,12,14,8,57.1%,82,10.3,1,5.9,0.7,6.8,GoldBr00,383.0,646.0,4136.0,28.0,2016
5,5,IfeanyiMomah,ARI,27,WR,5,4,2,50.0%,50,25.0,0,12.5,0.4,10.0,MomaIf00,383.0,646.0,4136.0,28.0,2016
6,6,AntonioBrown,PIT,28,WR,15,154,106,68.8%,1284,12.1,12,8.3,7.1,85.6,BrowAn04,381.0,596.0,4202.0,33.0,2016
7,7,EliRogers,PIT,24,WR,13,66,48,72.7%,594,12.4,3,9.0,3.7,45.7,RogeEl00,381.0,596.0,4202.0,33.0,2016
8,8,SammieCoates,PIT,23,WR,14,49,21,42.9%,435,20.7,2,8.9,1.5,31.1,CoatSa00,381.0,596.0,4202.0,33.0,2016
9,9,CobiHamilton,PIT,26,WR,11,28,17,60.7%,234,13.8,2,8.4,1.5,21.3,HamiCo00,381.0,596.0,4202.0,33.0,2016
10,10,DemarcusAyers,PIT,22,WR,2,13,6,46.2%,53,8.8,1,4.1,3.0,26.5,AyerDe00,381.0,596.0,4202.0,33.0,2016
11,11,DarriusHeywardBey,PIT,29,WR,10,19,6,31.6%,114,19.0,2,6.0,0.6,11.4,HeywDa00,381.0,596.0,4202.0,33.0,2016
12,12,MarkusWheaton,PIT,25,WR,3,9,4,44.4%,51,12.8,1,5.7,1.3,17.0,WheaMa00,381.0,596.0,4202.0,33.0,2016
13,13,OdellBeckhamJr,NYG,24,WR,16,169,101,59.8%,1367,13.5,10,8.1,6.3,85.4,BeckOd00,377.0,598.0,3879.0,26.0,2016
14,14,SterlingShepard,NYG,23,WR,16,105,65,61.9%,683,10.5,8,6.5,4.1,42.7,ShepSt00,377.0,598.0,3879.0,26.0,2016
15,15,VictorCruz,NYG,30,WR,15,72,39,54.2%,586,15.0,1,8.1,2.6,39.1,CruzVi00,377.0,598.0,3879.0,26.0,2016
16,16,RogerLewis,NYG,23,WR,13,19,7,36.8%,97,13.9,2,5.1,0.5,7.5,LewiRo03,377.0,598.0,3879.0,26.0,2016
17,17,TavarresKing,NYG,26,WR,7,4,2,50.0%,50,25.0,0,12.5,0.3,7.1,KingTa00,377.0,598.0,3879.0,26.0,2016
