,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional
0,0,MichaelThomas,NOR,26,WR,16,185,149,80.5%,1725,11.6,9,9.3,9.3,107.8,ThomMi05
2,2,KeenanAllen,LAC,27,WR,16,149,104,69.8%,1199,11.5,6,8.0,6.5,74.9,AlleKe00
3,3,DeAndreHopkins,HOU,27,WR,15,150,104,69.3%,1165,11.2,7,7.8,6.9,77.7,HopkDe00
4,4,JulianEdelman,NWE,33,WR,16,153,100,65.4%,1117,11.2,6,7.3,6.3,69.8,EdelJu00
5,5,JulioJones,ATL,30,WR,15,157,99,63.1%,1394,14.1,6,8.9,6.6,92.9,JoneJu02
6,6,AllenRobinson,CHI,26,WR,16,154,98,63.6%,1147,11.7,7,7.4,6.1,71.7,RobiAl02
8,8,CooperKupp,LAR,26,WR,16,134,94,70.1%,1161,12.4,10,8.7,5.9,72.6,KuppCo00
10,10,TylerBoyd,CIN,25,WR,16,148,90,60.8%,1046,11.6,5,7.1,5.6,65.4,BoydTy00
12,12,RobertWoods,LAR,27,WR,15,139,90,64.7%,1134,12.6,2,8.2,6.0,75.6,WoodRo02
14,14,DJMoore,CAR,22,WR,15,135,87,64.4%,1175,13.5,4,8.7,5.8,78.3,MoorD.00
15,15,ChrisGodwin,TAM,23,WR,14,121,86,71.1%,1333,15.5,9,11.0,6.1,95.2,GodwCh00
17,17,DavanteAdams,GNB,27,WR,12,127,83,65.4%,997,12.0,5,7.9,6.9,83.1,AdamDa01
18,18,JarvisLandry,CLE,27,WR,16,138,83,60.1%,1174,14.1,6,8.5,5.2,73.4,LandJa00
19,19,TylerLockett,SEA,27,WR,16,110,82,74.5%,1057,12.9,8,9.6,5.1,66.1,LockTy00
22,22,AmariCooper,DAL,25,WR,16,119,79,66.4%,1189,15.1,8,10.0,4.9,74.3,CoopAm00
23,23,JamisonCrowder,NYJ,26,WR,16,122,78,63.9%,833,10.7,6,6.8,4.9,52.1,CrowJa00
25,25,LarryFitzgerald,ARI,36,WR,16,109,75,68.8%,804,10.7,4,7.4,4.7,50.3,FitzLa00
27,27,OdellBeckhamJr,CLE,27,WR,16,133,74,55.6%,1035,14.0,4,7.8,4.6,64.7,BeckOd00
28,28,DJChark,JAX,23,WR,15,118,73,61.9%,1008,13.8,8,8.5,4.9,67.2,CharDJ00
29,29,JohnBrown,BUF,29,WR,15,115,72,62.6%,1060,14.7,6,9.2,4.8,70.7,BrowJo02
30,30,DeVanteParker,MIA,26,WR,16,128,72,56.3%,1202,16.7,9,9.4,4.5,75.1,ParkDe01
31,31,CourtlandSutton,DEN,24,WR,16,124,72,58.1%,1112,15.4,6,9.0,4.5,69.5,SuttCo00
34,34,ChristianKirk,ARI,23,WR,13,108,68,63.0%,709,10.4,3,6.6,5.2,54.5,KirkCh01
35,35,ColeBeasley,BUF,30,WR,15,106,67,63.2%,778,11.6,6,7.3,4.5,51.9,BeasCo00
36,36,MikeEvans,TAM,26,WR,13,118,67,56.8%,1157,17.3,8,9.8,5.2,89.0,EvanMi00
38,38,MichaelGallup,DAL,23,WR,14,113,66,58.4%,1107,16.8,6,9.8,4.7,79.1,GallMi00
39,39,EmmanuelSanders,2TM,32,WR,17,97,66,68.0%,869,13.2,5,9.0,3.9,51.1,SandEm00
40,40,DedeWestbrook,JAX,26,WR,15,101,66,65.3%,660,10.0,3,6.5,4.4,44.0,WestDe00
41,41,KennyGolladay,DET,26,WR,16,116,65,56.0%,1190,18.3,11,10.3,4.1,74.4,GollKe00
43,43,StefonDiggs,MIN,26,WR,15,94,63,67.0%,1130,17.9,6,12.0,4.2,75.3,DiggSt00
44,44,CalvinRidley,ATL,25,WR,13,93,63,67.7%,866,13.7,7,9.3,4.8,66.6,RidlCa00
46,46,DannyAmendola,DET,34,WR,15,97,62,63.9%,678,10.9,1,7.0,4.1,45.2,AmenDa00
47,47,MarvinJones,DET,29,WR,13,91,62,68.1%,779,12.6,9,8.6,4.8,59.9,JoneMa02
49,49,DiontaeJohnson,PIT,23,WR,16,92,59,64.1%,680,11.5,5,7.4,3.7,42.5,JohnDi01
50,50,MohamedSanu,2TM,30,WR,15,89,59,66.3%,520,8.8,2,5.8,3.9,34.7,SanuMo00
52,52,TyreekHill,KAN,25,WR,12,89,58,65.2%,860,14.8,7,9.7,4.8,71.7,HillTy00
53,53,TerryMcLaurin,WAS,24,WR,14,93,58,62.4%,919,15.8,7,9.9,4.1,65.6,McLaTe00
54,54,DKMetcalf,SEA,22,WR,16,100,58,58.0%,900,15.5,7,9.0,3.6,56.3,MetcDK00
55,55,DeeboSamuel,SFO,23,WR,15,81,57,70.4%,802,14.1,3,9.9,3.8,53.5,SamuDe00
56,56,SterlingShepard,NYG,26,WR,10,83,57,68.7%,576,10.1,3,6.9,5.7,57.6,ShepSt00
57,57,RandallCobb,DAL,29,WR,15,83,55,66.3%,828,15.1,3,10.0,3.7,55.2,CobbRa00
60,60,CurtisSamuel,CAR,23,WR,16,105,54,51.4%,627,11.6,6,6.0,3.4,39.2,SamuCu00
62,62,ChosenAnderson,NYJ,26,WR,16,96,52,54.2%,779,15.0,5,8.1,3.3,48.7,AndeRo04
64,64,AJBrown,TEN,22,WR,16,84,52,61.9%,1051,20.2,8,12.5,3.3,65.7,BrowAJ00
65,65,AnthonyMiller,CHI,25,WR,16,85,52,61.2%,656,12.6,2,7.7,3.3,41.0,MillAn02
67,67,SammyWatkins,KAN,26,WR,14,90,52,57.8%,673,12.9,3,7.5,3.7,48.1,WatkSa00
71,71,WillFuller,HOU,25,WR,11,71,49,69.0%,670,13.7,3,9.4,4.5,60.9,FullWi01
72,72,RussellGage,ATL,23,WR,16,74,49,66.2%,446,9.1,1,6.0,3.1,27.9,GageRu00
74,74,HunterRenfrow,LVR,24,WR,13,71,49,69.0%,605,12.3,4,8.5,3.8,46.5,RenfHu00
75,75,GoldenTate,NYG,31,WR,11,85,49,57.6%,676,13.8,6,8.0,4.5,61.5,TateGo00
76,76,MikeWilliams,LAC,25,WR,15,90,49,54.4%,1001,20.4,2,11.1,3.3,66.7,WillMi07
77,77,DariusSlayton,NYG,22,WR,14,84,48,57.1%,740,15.4,8,8.8,3.4,52.9,SlayDa01
78,78,ChrisConley,JAX,27,WR,16,90,47,52.2%,775,16.5,5,8.6,2.9,48.4,ConlCh00
80,80,MarquiseBrown,BAL,22,WR,14,71,46,64.8%,584,12.7,7,8.2,3.3,41.7,BrowMa04
81,81,TYHilton,IND,30,WR,10,68,45,66.2%,501,11.1,5,7.4,4.5,50.1,HiltT.00
85,85,JamesWashington,PIT,23,WR,15,80,44,55.0%,735,16.7,3,9.2,2.9,49.0,WashJa00
90,90,AlexErickson,CIN,27,WR,16,78,43,55.1%,529,12.3,0,6.8,2.7,33.1,EricAl01
92,92,AlshonJeffery,PHI,29,WR,10,73,43,58.9%,490,11.4,4,6.7,4.3,49.0,JeffAl00
93,93,AlbertWilson,MIA,27,WR,13,62,43,69.4%,351,8.2,1,5.7,3.3,27.0,WilsAl02
94,94,BrandinCooks,LAR,26,WR,14,72,42,58.3%,583,13.9,2,8.1,3.0,41.6,CookBr00
96,96,JuJuSmithSchuster,PIT,23,WR,12,70,42,60.0%,552,13.1,3,7.9,3.5,46.0,SmitJu00
98,98,TyrellWilliams,LVR,27,WR,14,64,42,65.6%,651,15.5,6,10.2,3.0,46.5,WillTy00
100,100,ZachPascal,IND,25,WR,16,72,41,56.9%,607,14.8,5,8.4,2.6,37.9,PascZa00
102,102,KennyStills,HOU,27,WR,13,55,40,72.7%,561,14.0,4,10.2,3.1,43.2,StilKe00
103,103,AudenTate,CIN,22,WR,12,80,40,50.0%,575,14.4,1,7.2,3.3,47.9,TateAu00
104,104,NelsonAgholor,PHI,26,WR,11,69,39,56.5%,363,9.3,3,5.3,3.5,33.0,AghoNe00
111,111,AdamHumphries,TEN,26,WR,12,47,37,78.7%,374,10.1,2,8.0,3.1,31.2,HumpAd00
117,117,BreshadPerriman,TAM,26,WR,14,69,36,52.2%,645,17.9,6,9.3,2.6,46.1,PerrBr02
120,120,DemaryiusThomas,NYJ,32,WR,11,58,36,62.1%,433,12.0,1,7.5,3.3,39.4,ThomDe03
122,122,AllenLazard,GNB,24,WR,16,52,35,67.3%,477,13.6,3,9.2,2.2,29.8,LazaAl00
127,127,GeronimoAllison,GNB,25,WR,16,55,34,61.8%,287,8.4,2,5.2,2.1,17.9,AlliGe01
132,132,JDMcKissic,DET,26,WR,16,42,34,81.0%,233,6.9,1,5.5,2.1,14.6,McKiJ.00
134,134,StevenSims,WAS,22,WR,16,56,34,60.7%,310,9.1,4,5.5,2.1,19.4,SimsSt00
135,135,DamiereByrd,ARI,26,WR,11,46,32,69.6%,359,11.2,1,7.8,2.9,32.6,ByrdDa00
137,137,AllenHurns,MIA,28,WR,14,47,32,68.1%,416,13.0,2,8.9,2.3,29.7,HurnAl01
138,138,DemarcusRobinson,KAN,25,WR,16,55,32,58.2%,449,14.0,4,8.2,2.0,28.1,RobiDe01
139,139,PrestonWilliams,MIA,22,WR,8,60,32,53.3%,428,13.4,3,7.1,4.0,53.5,WillPr01
144,144,OlabisiJohnson,MIN,22,WR,16,45,31,68.9%,294,9.5,3,6.5,1.9,18.4,JohnOl00
147,147,WillieSnead,BAL,27,WR,16,46,31,67.4%,339,10.9,5,7.4,1.9,21.2,SneaWi00
149,149,KendrickBourne,SFO,24,WR,16,44,30,68.2%,358,11.9,5,8.1,1.9,22.4,BourKe00
150,150,TedGinnJr,NOR,34,WR,16,56,30,53.6%,421,14.0,2,7.5,1.9,26.3,GinnTe00
151,151,KelvinHarmon,WAS,23,WR,16,44,30,68.2%,365,12.2,0,8.3,1.9,22.8,HarmKe00
153,153,AdamThielen,MIN,29,WR,10,48,30,62.5%,418,13.9,6,8.7,3.0,41.8,ThieAd00
155,155,PhillipDorsett,NWE,26,WR,14,54,29,53.7%,397,13.7,5,7.4,2.1,28.4,DorsPh00
156,156,TaylorGabriel,CHI,28,WR,9,48,29,60.4%,353,12.2,4,7.4,3.2,39.2,GabrTa00
158,158,DaeSeanHamilton,DEN,24,WR,16,52,28,53.8%,297,10.6,1,5.7,1.8,18.6,HamiDa01
161,161,PaulRichardson,WAS,27,WR,10,42,28,66.7%,245,8.8,2,5.8,2.8,24.5,RichPa01
162,162,JohnRoss,CIN,24,WR,8,56,28,50.0%,506,18.1,3,9.0,3.5,63.3,RossJo00
163,163,GregWard,PHI,24,WR,7,40,28,70.0%,254,9.1,1,6.4,4.0,36.3,WardGr02
164,164,JariusWright,CAR,30,WR,16,58,28,48.3%,296,10.6,0,5.1,1.8,18.5,WrigJa02
166,166,JoshGordon,2TM,28,WR,11,47,27,57.4%,426,15.8,1,9.1,2.5,38.7,GordJo02
167,167,ZayJones,2TM,24,WR,15,45,27,60.0%,216,8.0,0,4.8,1.8,14.4,JoneZa00
168,168,IsaiahMcKenzie,BUF,24,WR,15,39,27,69.2%,254,9.4,1,6.5,1.8,16.9,McKeIs00
170,170,MecoleHardman,KAN,21,WR,16,41,26,63.4%,538,20.7,6,13.1,1.6,33.6,HardMe00
172,172,JakobiMeyers,NWE,23,WR,15,41,26,63.4%,359,13.8,0,8.8,1.7,23.9,MeyeJa01
173,173,TreyQuinn,WAS,24,WR,12,47,26,55.3%,198,7.6,1,4.2,2.2,16.5,QuinTr00
175,175,MarquezValdesScantling,GNB,25,WR,16,56,26,46.4%,452,17.4,2,8.1,1.6,28.3,ValdMa00
176,176,PharohCooper,2TM,24,WR,13,33,25,75.8%,243,9.7,1,7.4,1.9,18.7,CoopPh00
180,180,TajaeSharpe,TEN,25,WR,15,35,25,71.4%,329,13.2,4,9.4,1.7,21.9,SharTa00
181,181,KeelanCole,JAX,26,WR,16,35,24,68.6%,361,15.0,3,10.3,1.5,22.6,ColeKe00
