,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional
183,183,CodyLatimer,NYG,27,WR,15,42,24,57.1%,300,12.5,2,7.1,1.6,20.0,LatiCo00
186,186,IsaiahFord,MIA,23,WR,8,35,23,65.7%,244,10.6,0,7.0,2.9,30.5,FordIs00
187,187,BennieFowler,NYG,28,WR,8,36,23,63.9%,193,8.4,0,5.4,2.9,24.1,FowlBe00
189,189,KekeCoutee,HOU,22,WR,9,36,22,61.1%,254,11.5,0,7.1,2.4,28.2,CoutKe00
191,191,KeeSeanJohnson,ARI,23,WR,10,42,21,50.0%,187,8.9,1,4.5,2.1,18.7,JohnKe07
193,193,JoshReynolds,LAR,24,WR,16,43,21,48.8%,326,15.5,1,7.6,1.3,20.4,ReynJo00
194,194,SethRoberts,BAL,28,WR,16,35,21,60.0%,271,12.9,2,7.7,1.3,16.9,RobeSe00
195,195,DelanieWalker,TEN,35,WR,7,31,21,67.7%,215,10.2,2,6.9,3.0,30.7,WalkHu00
199,199,JakeemGrant,MIA,27,WR,10,33,19,57.6%,164,8.6,0,5.0,1.9,16.4,GranJa00
200,200,JustinHardy,ATL,28,WR,16,26,19,73.1%,195,10.3,0,7.5,1.2,12.2,HardJu00
201,201,TaysomHill,NOR,29,WR,16,22,19,86.4%,234,12.3,6,10.6,1.2,14.6,HillTa00
202,202,ParrisCampbell,IND,22,WR,7,24,18,75.0%,127,7.1,1,5.3,2.6,18.1,CampPa00
206,206,TreQuanSmith,NOR,23,WR,11,25,18,72.0%,234,13.0,5,9.4,1.6,21.3,SmitTr03
207,207,JavonWims,CHI,25,WR,16,39,18,46.2%,186,10.3,1,4.8,1.1,11.6,WimsJa00
209,209,MarcusJohnson,IND,25,WR,8,33,17,51.5%,277,16.3,2,8.4,2.1,34.6,JohnMa07
210,210,DavidMoore,SEA,24,WR,14,34,17,50.0%,301,17.7,2,8.9,1.2,21.5,MoorDa03
212,212,VyncintSmith,NYJ,23,WR,13,31,17,54.8%,225,13.2,0,7.3,1.3,17.3,SmitVy00
216,216,JaronBrown,SEA,29,WR,14,28,16,57.1%,220,13.8,2,7.9,1.1,15.7,BrowJa03
218,218,TimPatrick,DEN,26,WR,8,31,16,51.6%,218,13.6,0,7.0,2.0,27.3,PatrTi00
219,219,ChesterRogers,IND,25,WR,12,28,16,57.1%,179,11.2,2,6.4,1.3,14.9,RogeCh02
227,227,MalikTurner,SEA,23,WR,15,22,15,68.2%,245,16.3,1,11.1,1.0,16.3,TurnMa00
229,229,JustinWatson,TAM,23,WR,16,26,15,57.7%,159,10.6,2,6.1,0.9,9.9,WatsJu01
240,240,RickySealsJones,CLE,24,WR,14,22,14,63.6%,229,16.4,4,10.4,1.0,16.4,SealRi00
241,241,TavonAustin,DAL,29,WR,14,24,13,54.2%,177,13.6,1,7.4,0.9,12.6,AustTa00
242,242,MilesBoykin,BAL,23,WR,16,22,13,59.1%,198,15.2,3,9.0,0.8,12.4,BoykMi00
246,246,ScottMiller,TAM,22,WR,10,26,13,50.0%,200,15.4,1,7.7,1.3,20.0,MillSc01
247,247,TyMontgomery,NYJ,26,WR,16,17,13,76.5%,90,6.9,0,5.3,0.8,5.6,MontTy01
253,253,MarquiseGoodwin,SFO,29,WR,9,21,12,57.1%,186,15.5,1,8.9,1.3,20.7,GoodMa00
254,254,NKealHarry,NWE,22,WR,7,24,12,50.0%,105,8.8,2,4.4,1.7,15.0,HarrNK00
256,256,DontrelleInman,2TM,30,WR,7,21,12,57.1%,181,15.1,0,8.6,1.7,25.9,InmaDo00
257,257,JakeKumerow,GNB,27,WR,14,21,12,57.1%,219,18.3,1,10.4,0.9,15.6,KumeJa00
259,259,ByronPringle,KAN,26,WR,16,16,12,75.0%,170,14.2,1,10.6,0.8,10.6,PrinBy00
260,260,DamionRatley,CLE,24,WR,13,24,12,50.0%,200,16.7,1,8.3,0.9,15.4,RatlDa00
261,261,DukeWilliams,BUF,27,WR,4,19,12,63.2%,166,13.8,1,8.7,3.0,41.5,WillDu01
262,262,ChristianBlake,ATL,23,WR,9,24,11,45.8%,91,8.3,0,3.8,1.2,10.1,BlakCh00
263,263,DeAndreCarter,HOU,26,WR,16,14,11,78.6%,162,14.7,0,11.6,0.7,10.1,CartDe02
264,264,KeelanDoss,LVR,23,WR,8,14,11,78.6%,133,12.1,0,9.5,1.4,16.6,DossKe00
267,267,CordarrellePatterson,CHI,28,WR,16,17,11,64.7%,83,7.5,0,4.9,0.7,5.2,PattCo00
268,268,DantePettis,SFO,24,WR,11,24,11,45.8%,109,9.9,2,4.5,1.0,9.9,PettDa00
270,270,JJArcegaWhiteside,PHI,23,WR,16,22,10,45.5%,169,16.9,1,7.7,0.6,10.6,ArceJJ00
273,273,MackHollins,2TM,26,WR,16,23,10,43.5%,125,12.5,0,5.4,0.6,7.8,HollMa00
282,282,DeonCain,2TM,23,WR,13,20,9,45.0%,124,13.8,0,6.2,0.7,9.5,CainDe00
285,285,AndyIsabella,ARI,23,WR,15,13,9,69.2%,189,21.0,1,14.5,0.6,12.6,IsabAn00
286,286,DeSeanJackson,PHI,33,WR,3,10,9,90.0%,159,17.7,2,15.9,3.0,53.0,JackDe00
289,289,KalifRaymond,TEN,25,WR,8,12,9,75.0%,170,18.9,1,14.2,1.1,21.3,RaymKa00
293,293,LaquonTreadwell,MIN,24,WR,13,16,9,56.3%,184,20.4,1,11.5,0.7,14.2,TreaLa00
294,294,DamionWillis,CIN,22,WR,10,16,9,56.3%,82,9.1,0,5.1,0.9,8.2,WillDa11
296,296,DanArnold,2TM,24,WR,5,14,8,57.1%,127,15.9,2,9.1,1.6,25.4,ArnoDa00
298,298,AntonioCallaway,CLE,22,WR,4,15,8,53.3%,89,11.1,0,5.9,2.0,22.3,CallAn00
300,300,TrevorDavis,3TM,26,WR,14,11,8,72.7%,111,13.9,0,10.1,0.6,7.9,DaviTr03
303,303,ChrisHogan,CAR,32,WR,7,15,8,53.3%,67,8.4,0,4.5,1.1,9.6,HogaCh00
304,304,JesperHorsted,CHI,22,WR,6,10,8,80.0%,87,10.9,1,8.7,1.3,14.5,HorsJe00
309,309,RyanSwitzer,PIT,25,WR,9,11,8,72.7%,27,3.4,0,2.5,0.9,3.0,SwitRy00
311,311,BrandonZylstra,CAR,26,WR,8,12,8,66.7%,106,13.3,0,8.8,1.0,13.3,ZylsBr00
312,312,DanielBrown,NYJ,27,WR,16,11,7,63.6%,72,10.3,1,6.5,0.4,4.5,BrowDa04
313,313,MikeDavis,2TM,26,WR,12,8,7,87.5%,22,3.1,0,2.8,0.6,1.8,DaviMi01
317,317,MarvinHall,DET,26,WR,9,11,7,63.6%,261,37.3,1,23.7,0.8,29.0,HallMa02
324,324,TravisBenjamin,LAC,30,WR,5,16,6,37.5%,30,5.0,0,1.9,1.2,6.0,BenjTr00
325,325,BraxtonBerrios,NYJ,24,WR,16,13,6,46.2%,115,19.2,0,8.8,0.4,7.2,BerrBr00
331,331,DeonteHarty,NOR,22,WR,14,6,6,100.0%,24,4.0,0,4.0,0.4,1.7,HarrDe07
334,334,RichieJames,SFO,24,WR,16,10,6,60.0%,165,27.5,1,16.5,0.4,10.3,JameRi00
338,338,AndrePatton,LAC,25,WR,13,17,6,35.3%,56,9.3,0,3.3,0.5,4.3,PattAn00
340,340,RileyRidley,CHI,23,WR,5,7,6,85.7%,69,11.5,0,9.9,1.2,13.8,RidlRi00
341,341,DiontaeSpencer,DEN,27,WR,16,8,6,75.0%,31,5.2,0,3.9,0.4,1.9,SpenDi00
343,343,MarcellAteman,LVR,25,WR,11,10,5,50.0%,116,23.2,0,11.6,0.5,10.5,AtemMa00
349,349,DevinSmith,DAL,27,WR,4,9,5,55.6%,113,22.6,1,12.6,1.3,28.3,SmitDe04
352,352,CedrickWilsonJr,DAL,24,WR,6,8,5,62.5%,46,9.2,0,5.8,0.8,7.7,WilsCe01
355,355,AntonioBrown,NWE,31,WR,1,8,4,50.0%,56,14.0,1,7.0,4.0,56.0,BrowAn04
357,357,MichaelCrabtree,ARI,32,WR,2,5,4,80.0%,22,5.5,0,4.4,2.0,11.0,CrabMi00
358,358,RyanGrant,LVR,29,WR,2,9,4,44.4%,14,3.5,0,1.6,2.0,7.0,GranRy01
360,360,RashardHiggins,CLE,25,WR,10,11,4,36.4%,55,13.8,1,5.0,0.4,5.5,HiggRa00
361,361,KhaDarelHodge,CLE,24,WR,16,10,4,40.0%,76,19.0,0,7.6,0.3,4.8,HodgKh00
362,362,TevinJones,PIT,27,WR,5,10,4,40.0%,61,15.3,0,6.1,0.8,12.2,JoneTe02
363,363,JordanMatthews,2TM,27,WR,3,12,4,33.3%,33,8.3,0,2.8,1.3,11.0,MattJo00
364,364,DonteMoncrief,2TM,26,WR,8,15,4,26.7%,18,4.5,0,1.2,0.5,2.3,MoncDo00
366,366,JJNelson,LVR,27,WR,2,5,4,80.0%,36,9.0,1,7.2,2.0,18.0,NelsJJ00
367,367,TrentSherfield,ARI,23,WR,16,13,4,30.8%,80,20.0,0,6.2,0.3,5.0,SherTr00
368,368,LeeSmith,BUF,32,WR,16,5,4,80.0%,31,7.8,1,6.2,0.3,1.9,SmitLe00
371,371,DeAndrewWhite,CAR,28,WR,10,9,4,44.4%,51,12.8,0,5.7,0.4,5.1,WhitDe01
373,373,CodyCore,NYG,25,WR,16,5,3,60.0%,28,9.3,0,5.6,0.2,1.8,CoreCo00
374,374,GeremyDavis,LAC,27,WR,7,3,3,100.0%,38,12.7,0,12.7,0.4,5.4,DaviGe00
375,375,RobertFoster,BUF,25,WR,13,18,3,16.7%,64,21.3,0,3.6,0.2,4.9,FostRo01
376,376,DevinFunchess,IND,25,WR,1,5,3,60.0%,32,10.7,0,6.4,3.0,32.0,FuncDe00
378,378,JohnnyHolton,PIT,29,WR,16,15,3,20.0%,21,7.0,0,1.4,0.2,1.3,HoltJo00
379,379,TJJones,NYG,27,WR,3,4,3,75.0%,38,12.7,1,9.5,1.0,12.7,JoneT.00
381,381,ChrisLacy,DET,23,WR,7,10,3,30.0%,60,20.0,0,6.0,0.4,8.6,LacyCh00
382,382,MarqiseLee,JAX,28,WR,6,4,3,75.0%,18,6.0,0,4.5,0.5,3.0,LeexMa00
383,383,ChrisMoore,BAL,26,WR,14,5,3,60.0%,21,7.0,0,4.2,0.2,1.5,MoorCh00
384,384,StanleyMorganJr,CIN,23,WR,11,10,3,30.0%,18,6.0,0,1.8,0.3,1.6,MorgSt02
387,387,AndreRoberts,BUF,31,WR,13,7,3,42.9%,20,6.7,0,2.9,0.2,1.5,RobeAn00
388,388,RussellShepard,NYG,29,WR,3,8,3,37.5%,25,8.3,0,3.1,1.0,8.3,ShepRu00
391,391,BoboWilson,TAM,24,WR,6,11,3,27.3%,35,11.7,0,3.2,0.5,5.8,WilsJe00
394,394,OlamideZaccheaus,ATL,22,WR,10,5,3,60.0%,115,38.3,1,23.0,0.3,11.5,ZaccOl01
396,396,ChadBeebe,MIN,25,WR,3,2,2,100.0%,70,35.0,0,35.0,0.7,23.3,BeebCh00
397,397,JoshBellamy,NYJ,30,WR,7,3,2,66.7%,20,10.0,0,6.7,0.3,2.9,BellJo02
399,399,CJBoard,JAX,26,WR,4,4,2,50.0%,31,15.5,0,7.8,0.5,7.8,BoarC.00
400,400,FredBrown,DEN,26,WR,13,3,2,66.7%,21,10.5,0,7.0,0.2,1.6,BrowFr01
403,403,DeontayBurnett,PHI,22,WR,1,4,2,50.0%,48,24.0,0,12.0,2.0,48.0,BurnDe00
405,405,RobertDavis,2TM,24,WR,6,5,2,40.0%,17,8.5,0,3.4,0.3,2.8,DaviRo00
406,406,AshtonDulin,IND,22,WR,13,2,2,100.0%,17,8.5,0,8.5,0.2,1.3,DuliAs00
410,410,AlexanderHollins,MIN,23,WR,5,4,2,50.0%,46,23.0,0,11.5,0.4,9.2,HollAl00
411,411,CodyHollister,TEN,26,WR,5,2,2,100.0%,13,6.5,0,6.5,0.4,2.6,HollCo00
413,413,IshmaelHyman,TAM,24,WR,2,4,2,50.0%,34,17.0,0,8.5,1.0,17.0,HymaIs00
414,414,DariusJennings,TEN,27,WR,8,5,2,40.0%,17,8.5,0,3.4,0.3,2.1,JennDa00
416,416,StevenMitchell,HOU,25,WR,3,6,2,33.3%,37,18.5,0,6.2,0.7,12.3,MitcSt02
417,417,JasonMoore,LAC,24,WR,10,5,2,40.0%,43,21.5,0,8.6,0.2,4.3,MoorJa02
420,420,GunnerOlszewski,NWE,23,WR,8,4,2,50.0%,34,17.0,0,8.5,0.3,4.3,OlszGu00
424,424,DaMariScott,NYG,24,WR,5,3,2,66.7%,22,11.0,0,7.3,0.4,4.4,ScotDa02
427,427,CamSims,WAS,23,WR,7,3,2,66.7%,27,13.5,0,9.0,0.3,3.9,SimsCa00
428,428,MikeThomas,LAR,25,WR,16,5,2,40.0%,14,7.0,0,2.8,0.1,0.9,ThomMi04
430,430,MichaelWalker,JAX,23,WR,7,3,2,66.7%,15,7.5,0,5.0,0.3,2.1,WalkMi00
439,439,VentellBryant,DAL,23,WR,12,1,1,100.0%,15,15.0,1,15.0,0.1,1.3,BryaVe00
441,441,AustinCarr,NOR,26,WR,6,4,1,25.0%,9,9.0,0,2.3,0.2,1.5,CarrAu00
446,446,RashardDavis,TEN,24,WR,1,1,1,100.0%,16,16.0,0,16.0,1.0,16.0,DaviRa01
450,450,QuincyEnunwa,NYJ,27,WR,1,3,1,33.3%,-4,-4.0,0,-1.3,1.0,-4.0,EnunQu00
452,452,CyrilGrayson,TAM,26,WR,2,1,1,100.0%,3,3.0,0,3.0,0.5,1.5,GrayCy01
454,454,DwayneHarris,LVR,32,WR,3,1,1,100.0%,7,7.0,0,7.0,0.3,2.3,HarrDw00
456,456,KrishawnHogan,NOR,24,WR,8,1,1,100.0%,4,4.0,0,4.0,0.1,0.5,HogaKr00
475,475,JaleelScott,BAL,24,WR,3,3,1,33.3%,6,6.0,0,2.0,0.3,2.0,ScotJa02
477,477,DarriusShepherd,GNB,24,WR,6,2,1,50.0%,1,1.0,0,0.5,0.2,0.2,ShepDa00
478,478,JeffSmith,NYJ,22,WR,1,2,1,50.0%,12,12.0,0,6.0,1.0,12.0,SmitJe03
485,485,JohnUrsua,SEA,25,WR,3,1,1,100.0%,11,11.0,0,11.0,0.3,3.7,UrsuJo00
497,497,TravisFulgham,DET,24,WR,3,3,0,0.0%,0,,0,0.0,0.0,0.0,FulgTr00
498,498,JalenGuyton,LAC,22,WR,3,2,0,0.0%,0,,0,0.0,0.0,0.0,GuytJa01
499,499,JustinHardee,NOR,25,WR,16,1,0,0.0%,0,,0,0.0,0.0,0.0,HardJu01
500,500,LilJordanHumphrey,NOR,21,WR,5,1,0,0.0%,0,,0,0.0,0.0,0.0,HumpLi01
505,505,TaywanTaylor,CLE,24,WR,3,1,0,0.0%,0,,0,0.0,0.0,0.0,TaylTa00
507,507,ChadWilliams,IND,25,WR,1,1,0,0.0%,0,,0,0.0,0.0,0.0,WillCh05
