,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional,Cmp,Att,P_Yds,P_TD,Year
0,0,PierreGarcon,WAS,27,WR,16,181,113,62.4%,1346,11.9,5,7.4,7.1,84.1,GarcPi00,355.0,611.0,3751.0,20.0,2013
1,1,SantanaMoss,WAS,34,WR,16,79,42,53.2%,452,10.8,2,5.7,2.6,28.3,MossSa00,355.0,611.0,3751.0,20.0,2013
2,2,LeonardHankerson,WAS,24,WR,10,50,30,60.0%,375,12.5,3,7.5,3.0,37.5,HankLe00,355.0,611.0,3751.0,20.0,2013
3,3,JoshMorgan,WAS,28,WR,14,34,20,58.8%,214,10.7,0,6.3,1.4,15.3,MorgJo00,355.0,611.0,3751.0,20.0,2013
4,4,AldrickRobinson,WAS,25,WR,16,46,18,39.1%,365,20.3,2,7.9,1.1,22.8,RobiAl00,355.0,611.0,3751.0,20.0,2013
5,5,NilesPaul,WAS,24,WR,15,8,4,50.0%,51,12.8,0,6.4,0.3,3.4,PaulNi00,355.0,611.0,3751.0,20.0,2013
6,6,NickWilliams,WAS,23,WR,5,11,3,27.3%,15,5.0,0,1.4,0.6,3.0,WillNi02,355.0,611.0,3751.0,20.0,2013
7,7,AntonioBrown,PIT,25,WR,16,167,110,65.9%,1499,13.6,8,9.0,6.9,93.7,BrowAn04,377.0,586.0,4017.0,28.0,2013
8,8,EmmanuelSanders,PIT,26,WR,16,113,67,59.3%,740,11.0,6,6.5,4.2,46.3,SandEm00,377.0,586.0,4017.0,28.0,2013
9,9,JerrichoCotchery,PIT,31,WR,16,76,46,60.5%,602,13.1,10,7.9,2.9,37.6,CotcJe00,377.0,586.0,4017.0,28.0,2013
10,10,MarkusWheaton,PIT,22,WR,12,13,6,46.2%,64,10.7,0,4.9,0.5,5.3,WheaMa00,377.0,586.0,4017.0,28.0,2013
