,Unnamed: 0,Unnamed: 0.1_x,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional,Unnamed: 0.1_y,Cmp,Att,P_Yds,P_TD,Year
0,0,0,JustinJefferson,MIN,23,WR,17,184,128,69.6%,1809,14.1,8,9.8,7.5,106.4,JeffJu00,4.0,448.0,672.0,4484.0,30.0,2022
1,1,36,AdamThielen,MIN,32,WR,17,107,70,65.4%,716,10.2,6,6.7,4.1,42.1,ThieAd00,4.0,448.0,672.0,4484.0,30.0,2022
2,2,53,KJOsborn,MIN,25,WR,17,90,60,66.7%,650,10.8,5,7.2,3.5,38.2,OsboKJ00,4.0,448.0,672.0,4484.0,30.0,2022
3,3,299,JalenNailor,MIN,23,WR,15,13,9,69.2%,179,19.9,1,13.8,0.6,11.9,NailJa00,4.0,448.0,672.0,4484.0,30.0,2022
4,4,311,JalenReagor,MIN,23,WR,17,13,8,61.5%,104,13.0,1,8.0,0.5,6.1,ReagJa00,4.0,448.0,672.0,4484.0,30.0,2022
5,5,1,TyreekHill,MIA,28,WR,17,170,119,70.0%,1710,14.4,7,10.1,7.0,100.6,HillTy00,3.0,368.0,584.0,4511.0,30.0,2022
6,6,27,JaylenWaddle,MIA,24,WR,17,117,75,64.1%,1356,18.1,8,11.6,4.4,79.8,WaddJa00,3.0,368.0,584.0,4511.0,30.0,2022
7,7,149,TrentSherfield,MIA,26,WR,17,51,30,58.8%,417,13.9,2,8.2,1.8,24.5,SherTr00,3.0,368.0,584.0,4511.0,30.0,2022
8,8,265,CedrickWilsonJr,MIA,27,WR,15,18,12,66.7%,136,11.3,0,7.6,0.8,9.1,WilsCe01,3.0,368.0,584.0,4511.0,30.0,2022
9,9,290,RiverCracraft,MIA,28,WR,11,14,9,64.3%,102,11.3,2,7.3,0.8,9.3,CracRi00,3.0,368.0,584.0,4511.0,30.0,2022
10,10,431,BraylonSanders,MIA,23,WR,3,3,2,66.7%,17,8.5,0,5.7,0.7,5.7,SandBr00,3.0,368.0,584.0,4511.0,30.0,2022
11,11,457,ErikEzukanma,MIA,22,WR,1,1,1,100.0%,3,3.0,0,3.0,1.0,3.0,EzukEr00,3.0,368.0,584.0,4511.0,30.0,2022
12,12,3,StefonDiggs,BUF,29,WR,16,154,108,70.1%,1429,13.2,11,9.3,6.8,89.3,DiggSt00,7.0,361.0,574.0,4129.0,35.0,2022
13,13,78,GabrielDavis,BUF,23,WR,15,93,48,51.6%,836,17.4,7,9.0,3.2,55.7,DaviGa01,7.0,361.0,574.0,4129.0,35.0,2022
14,14,94,IsaiahMcKenzie,BUF,27,WR,15,65,42,64.6%,423,10.1,4,6.5,2.8,28.2,McKeIs00,7.0,361.0,574.0,4129.0,35.0,2022
15,15,286,KhalilShakir,BUF,22,WR,14,20,10,50.0%,161,16.1,1,8.1,0.7,11.5,ShakKh00,7.0,361.0,574.0,4129.0,35.0,2022
16,16,329,JamisonCrowder,BUF,29,WR,4,13,6,46.2%,60,10.0,0,4.6,1.5,15.0,CrowJa00,7.0,361.0,574.0,4129.0,35.0,2022
17,17,371,JakeKumerow,BUF,30,WR,6,7,4,57.1%,64,16.0,0,9.1,0.7,10.7,KumeJa00,7.0,361.0,574.0,4129.0,35.0,2022
18,18,450,JohnBrown,BUF,32,WR,3,2,1,50.0%,42,42.0,1,21.0,0.3,14.0,BrowJo02,7.0,361.0,574.0,4129.0,35.0,2022
19,19,498,TannerGentry,BUF,28,WR,3,1,0,0.0%,0,,0,0.0,0.0,0.0,GentTa00,7.0,361.0,574.0,4129.0,35.0,2022
