,Unnamed: 0.1,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional
37,37,37,PierreGarcon,WAS,28,WR,16,105.0,68,64.8%,752,11.1,3,7.2,4.3,47.0,GarcPi00
39,39,39,JordanMatthews,PHI,22,WR,16,103.0,67,65.0%,872,13.0,8,8.5,4.2,54.5,MattJo00
40,40,40,MikeWallace,MIA,28,WR,16,115.0,67,58.3%,862,12.9,10,7.5,4.2,53.9,WallMi00
41,41,41,DougBaldwin,SEA,26,WR,16,98.0,66,67.3%,825,12.5,3,8.4,4.1,51.6,BaldDo00
44,44,44,SammyWatkins,BUF,21,WR,16,128.0,65,50.8%,982,15.1,6,7.7,4.1,61.4,WatkSa00
45,45,45,RobertWoods,BUF,22,WR,16,104.0,65,62.5%,699,10.8,5,6.7,4.1,43.7,WoodRo02
46,46,46,ReggieWayne,IND,36,WR,15,116.0,64,55.2%,779,12.2,2,6.7,4.3,51.9,WaynRe00
49,49,49,LarryFitzgerald,ARI,31,WR,14,103.0,63,61.2%,784,12.4,2,7.6,4.5,56.0,FitzLa00
50,50,50,AndrewHawkins,CLE,28,WR,15,112.0,63,56.3%,824,13.1,2,7.4,4.2,54.9,HawkAn00
51,51,51,KennyStills,NOR,22,WR,15,83.0,63,75.9%,931,14.8,3,11.2,4.2,62.1,StilKe00
54,54,54,EddieRoyal,LAC,28,WR,16,91.0,62,68.1%,778,12.5,7,8.5,3.9,48.6,RoyaEd00
55,55,55,BrandonMarshall,CHI,30,WR,13,106.0,61,57.5%,721,11.8,8,6.8,4.7,55.5,MarsBr00
56,56,56,DwayneBowe,KAN,30,WR,15,95.0,60,63.2%,754,12.6,0,7.9,4.0,50.3,BoweDw00
57,57,57,MarquesColston,NOR,31,WR,16,100.0,59,59.0%,902,15.3,5,9.0,3.7,56.4,ColsMa00
58,58,58,GregJennings,MIN,31,WR,16,92.0,59,64.1%,742,12.6,6,8.1,3.7,46.4,JennGr00
63,63,63,KendallWright,TEN,25,WR,14,93.0,57,61.3%,715,12.5,6,7.7,4.1,51.1,WrigKe01
64,64,64,DeSeanJackson,WAS,28,WR,15,95.0,56,58.9%,1169,20.9,6,12.3,3.7,77.9,JackDe00
65,65,65,MohamedSanu,CIN,25,WR,16,98.0,56,57.1%,790,14.1,5,8.1,3.5,49.4,SanuMo00
66,66,66,RileyCooper,PHI,27,WR,16,95.0,55,57.9%,577,10.5,3,6.1,3.4,36.1,CoopRi00
67,67,67,BrandinCooks,NOR,21,WR,10,69.0,53,76.8%,550,10.4,3,8.0,5.3,55.0,CookBr00
68,68,68,CecilShorts,JAX,27,WR,13,110.0,53,48.2%,557,10.5,1,5.1,4.1,42.8,ShorCe00
69,69,69,MarkusWheaton,PIT,23,WR,16,86.0,53,61.6%,644,12.2,2,7.5,3.3,40.3,WheaMa00
71,71,71,MalcomFloyd,LAC,33,WR,16,92.0,52,56.5%,856,16.5,6,9.3,3.3,53.5,FloyMa00
73,73,73,HarryDouglas,ATL,30,WR,12,74.0,51,68.9%,556,10.9,2,7.5,4.3,46.3,DougHa00
75,75,75,PercyHarvin,2TM,26,WR,13,78.0,51,65.4%,483,9.5,1,6.2,3.9,37.2,HarvPe00
76,76,76,AllenHurns,JAX,23,WR,16,97.0,51,52.6%,677,13.3,6,7.0,3.2,42.3,HurnAl01
78,78,78,TorreySmith,BAL,25,WR,16,92.0,49,53.3%,767,15.7,11,8.3,3.1,47.9,SmitTo02
79,79,79,WesWelker,DEN,33,WR,14,64.0,49,76.6%,464,9.5,2,7.3,3.5,33.1,WelkWe00
80,80,80,KennyBritt,LAR,26,WR,16,84.0,48,57.1%,748,15.6,3,8.9,3.0,46.8,BritKe00
81,81,81,JohnBrown,ARI,24,WR,16,102.0,48,47.1%,696,14.5,5,6.8,3.0,43.5,BrowJo02
82,82,82,JerrichoCotchery,CAR,32,WR,15,78.0,48,61.5%,580,12.1,1,7.4,3.2,38.7,CotcJe00
84,84,84,AllenRobinson,JAX,21,WR,10,81.0,48,59.3%,548,11.4,2,6.8,4.8,54.8,RobiAl02
85,85,85,MilesAustin,CLE,30,WR,12,73.0,47,64.4%,568,12.1,2,7.8,3.9,47.3,AustMi00
87,87,87,MichaelFloyd,ARI,25,WR,16,99.0,47,47.5%,841,17.9,6,8.5,2.9,52.6,FloyMi00
88,88,88,AndreHolmes,LVR,26,WR,16,99.0,47,47.5%,693,14.7,4,7.0,2.9,43.3,HolmAn00
98,98,98,JariusWright,MIN,25,WR,16,62.0,42,67.7%,588,14.0,2,9.5,2.6,36.8,WrigJa02
99,99,99,ChrisHogan,BUF,27,WR,16,61.0,41,67.2%,426,10.4,4,7.0,2.6,26.6,HogaCh00
103,103,103,NateWashington,TEN,31,WR,16,72.0,40,55.6%,647,16.2,2,9.0,2.5,40.4,WashNa00
104,104,104,BrianHartline,MIA,28,WR,16,63.0,39,61.9%,474,12.2,2,7.5,2.4,29.6,HartBr00
106,106,106,DavanteAdams,GNB,22,WR,16,66.0,38,57.6%,446,11.7,3,6.8,2.4,27.9,AdamDa01
112,112,112,JermaineKearse,SEA,24,WR,15,69.0,38,55.1%,537,14.1,1,7.8,2.5,35.8,KearJe01
113,113,113,JeremyKerley,NYJ,26,WR,16,75.0,38,50.7%,409,10.8,1,5.5,2.4,25.6,KerlJe00
115,115,115,HakeemNicks,IND,26,WR,16,68.0,38,55.9%,405,10.7,4,6.0,2.4,25.3,NickHa01
116,116,116,ColeBeasley,DAL,25,WR,16,49.0,37,75.5%,420,11.4,4,8.6,2.3,26.3,BeasCo00
117,117,117,MarqiseLee,JAX,23,WR,13,69.0,37,53.6%,422,11.4,1,6.1,2.8,32.5,LeexMa00
120,120,120,TerranceWilliams,DAL,25,WR,16,66.0,37,56.1%,621,16.8,8,9.4,2.3,38.8,WillTe01
121,121,121,TaylorGabriel,CLE,23,WR,16,72.0,36,50.0%,621,17.3,1,8.6,2.3,38.8,GabrTa00
124,124,124,PrestonParker,NYG,27,WR,16,56.0,36,64.3%,418,11.6,2,7.5,2.3,26.1,ParkPr00
125,125,125,AndreRoberts,WAS,26,WR,16,73.0,36,49.3%,453,12.6,2,6.2,2.3,28.3,RobeAn00
126,126,126,SteveJohnson,SFO,28,WR,13,50.0,35,70.0%,435,12.4,3,8.7,2.7,33.5,JohnSt00
128,128,128,JasonAvant,2TM,31,WR,16,62.0,34,54.8%,353,10.4,1,5.7,2.1,22.1,AvanJa00
132,132,132,CordarrellePatterson,MIN,23,WR,16,67.0,33,49.3%,384,11.6,1,5.7,2.1,24.0,PattCo00
135,135,135,DonteMoncrief,IND,21,WR,16,49.0,32,65.3%,444,13.9,3,9.1,2.0,27.8,MoncDo00
136,136,136,TavonAustin,LAR,24,WR,15,44.0,31,70.5%,242,7.8,0,5.5,2.1,16.1,AustTa00
137,137,137,CharlesJohnson,MIN,25,WR,12,59.0,31,52.5%,475,15.3,2,8.1,2.6,39.6,JohnCh08
138,138,138,DamarisJohnson,HOU,25,WR,16,49.0,31,63.3%,331,10.7,1,6.8,1.9,20.7,JohnDa04
139,139,139,LouisMurphy,TAM,27,WR,11,56.0,31,55.4%,380,12.3,2,6.8,2.8,34.5,MurpLo00
141,141,141,StedmanBailey,LAR,24,WR,14,46.0,30,65.2%,435,14.5,1,9.5,2.1,31.1,BailSt01
146,146,146,BrandonGibson,MIA,27,WR,14,51.0,29,56.9%,295,10.2,1,5.8,2.1,21.1,GibsBr00
149,149,149,PaulRichardson,SEA,22,WR,15,44.0,29,65.9%,271,9.3,1,6.2,1.9,18.1,RichPa01
151,151,151,JustinHunter,TEN,23,WR,12,67.0,28,41.8%,498,17.8,3,7.4,2.3,41.5,HuntJu00
153,153,153,DannyAmendola,NWE,29,WR,16,42.0,27,64.3%,200,7.4,1,4.8,1.7,12.5,AmenDa00
158,158,158,MartavisBryant,PIT,23,WR,10,48.0,26,54.2%,549,21.1,8,11.4,2.6,54.9,BryaMa00
161,161,161,DexterMcCluster,TEN,25,WR,14,36.0,26,72.2%,197,7.6,1,5.5,1.9,14.1,McClDe00
165,165,165,BrianQuick,LAR,25,WR,7,39.0,25,64.1%,375,15.0,3,9.6,3.6,53.6,QuicBr00
168,168,168,KamarAiken,BAL,25,WR,16,32.0,24,75.0%,267,11.1,3,8.3,1.5,16.7,AikeKa00
169,169,169,MarlonBrown,BAL,23,WR,14,31.0,24,77.4%,255,10.6,0,8.2,1.7,18.2,BrowMa00
171,171,171,JoshGordon,CLE,23,WR,5,47.0,24,51.1%,303,12.6,0,6.4,4.8,60.6,GordJo02
173,173,173,JeremyRoss,DET,26,WR,16,35.0,24,68.6%,314,13.1,1,9.0,1.5,19.6,RossJe01
176,176,176,VictorCruz,NYG,28,WR,6,41.0,23,56.1%,337,14.7,1,8.2,3.8,56.2,CruzVi00
181,181,181,JaronBrown,ARI,24,WR,16,32.0,22,68.8%,229,10.4,2,7.2,1.4,14.3,BrowJa03
185,185,185,CoreyBrown,CAR,23,WR,13,36.0,21,58.3%,296,14.1,2,8.2,1.6,22.8,BrowPh00
186,186,186,BriceButler,LVR,24,WR,15,35.0,21,60.0%,280,13.3,2,8.0,1.4,18.7,ButlBr00
190,190,190,KenbrellThompkins,2TM,26,WR,14,48.0,21,43.8%,262,12.5,0,5.5,1.5,18.7,ThomKe02
198,198,198,DerekHagan,TEN,30,WR,16,34.0,19,55.9%,254,13.4,1,7.5,1.2,15.9,HagaDe00
202,202,202,TravisBenjamin,CLE,25,WR,16,46.0,18,39.1%,314,17.4,3,6.8,1.1,19.6,BenjTr00
216,216,216,BrandonTate,CIN,27,WR,16,26.0,17,65.4%,193,11.4,1,7.4,1.1,12.1,TateBr00
217,217,217,NickToon,NOR,26,WR,8,23.0,17,73.9%,215,12.6,1,9.3,2.1,26.9,ToonNi00
218,218,218,MarquessWilson,CHI,22,WR,7,32.0,17,53.1%,140,8.2,1,4.4,2.4,20.0,WilsMa02
226,226,226,AlbertWilson,KAN,22,WR,12,28.0,16,57.1%,260,16.3,0,9.3,1.3,21.7,WilsAl02
227,227,227,DonnieAvery,KAN,30,WR,6,26.0,15,57.7%,176,11.7,0,6.8,2.5,29.3,AverDo00
229,229,229,CoreyFuller,DET,24,WR,16,31.0,14,45.2%,212,15.1,1,6.8,0.9,13.3,FullCo00
230,230,230,TedGinnJr,ARI,29,WR,16,26.0,14,53.8%,190,13.6,0,7.3,0.9,11.9,GinnTe00
232,232,232,BrandonLloyd,SFO,33,WR,14,35.0,14,40.0%,294,21.0,1,8.4,1.0,21.0,LloyBr00
233,233,233,LanceMoore,PIT,31,WR,14,26.0,14,53.8%,198,14.1,2,7.6,1.0,14.1,MoorLa00
236,236,236,BrentonBersin,CAR,24,WR,15,20.0,13,65.0%,151,11.6,1,7.6,0.9,10.1,BersBr00
241,241,241,JustinBrown,PIT,23,WR,8,21.0,12,57.1%,94,7.8,0,4.5,1.5,11.8,BrowJu00
242,242,242,VincentBrown,LVR,25,WR,7,21.0,12,57.1%,118,9.8,0,5.6,1.7,16.9,BrowVi00
244,244,244,JuniorHemingway,KAN,26,WR,14,22.0,12,54.5%,108,9.0,0,4.9,0.9,7.7,HemiJu00
246,246,246,DontrelleInman,LAC,25,WR,7,17.0,12,70.6%,158,13.2,0,9.3,1.7,22.6,InmaDo00
247,247,247,RishardMatthews,MIA,25,WR,14,22.0,12,54.5%,135,11.3,2,6.1,0.9,9.6,MattRi00
248,248,248,DenariusMoore,LVR,26,WR,10,27.0,12,44.4%,115,9.6,0,4.3,1.2,11.5,MoorDe02
249,249,249,AustinPettis,2TM,26,WR,9,17.0,12,70.6%,118,9.8,1,6.9,1.3,13.1,PettAu00
251,251,251,ChrisGivens,LAR,25,WR,14,20.0,11,55.0%,159,14.5,1,8.0,0.8,11.4,GiveCh00
254,254,254,RicardoLockette,SEA,28,WR,16,15.0,11,73.3%,195,17.7,2,13.0,0.7,12.2,LockRi00
265,265,265,JoshMorgan,CHI,29,WR,14,19.0,10,52.6%,70,7.0,1,3.7,0.7,5.0,MorgJo00
266,266,266,SantanaMoss,WAS,35,WR,10,15.0,10,66.7%,116,11.6,0,7.7,1.0,11.6,MossSa00
269,269,269,EricWeems,ATL,29,WR,16,11.0,10,90.9%,102,10.2,2,9.3,0.6,6.4,WeemEr00
278,278,278,AJJenkins,KAN,25,WR,9,15.0,9,60.0%,93,10.3,0,6.2,1.0,10.3,JenkA.00
279,279,279,JacobyJones,BAL,30,WR,16,18.0,9,50.0%,131,14.6,0,7.3,0.6,8.2,JoneJa03
282,282,282,KevinNorwood,SEA,25,WR,9,10.0,9,90.0%,102,11.3,0,10.2,1.0,11.3,NorwKe00
283,283,283,DaneSanzenbacher,CIN,26,WR,10,15.0,9,60.0%,105,11.7,0,7.0,0.9,10.5,SanzDa00
284,284,284,RodStreater,LVR,26,WR,3,13.0,9,69.2%,84,9.3,1,6.5,3.0,28.0,StreRo00
288,288,288,SantonioHolmes,CHI,30,WR,9,14.0,8,57.1%,67,8.4,0,4.8,0.9,7.4,HolmSa00
289,289,289,JoshHuff,PHI,23,WR,12,18.0,8,44.4%,98,12.3,0,5.4,0.7,8.2,HuffJo00
292,292,292,DavidNelson,NYJ,28,WR,6,16.0,8,50.0%,65,8.1,0,4.1,1.3,10.8,NelsDa01
295,295,295,GregSalas,NYJ,26,WR,10,23.0,8,34.8%,167,20.9,0,7.3,0.8,16.7,SalaGr00
297,297,297,AdamThielen,MIN,24,WR,16,13.0,8,61.5%,137,17.1,1,10.5,0.5,8.6,ThieAd00
298,298,298,MikeWilliams,BUF,27,WR,9,19.0,8,42.1%,142,17.8,1,7.5,0.9,15.8,WillMi04
299,299,299,DriArcher,PIT,23,WR,12,10.0,7,70.0%,23,3.3,0,2.3,0.6,1.9,ArchDr00
300,300,300,MikeBrown,JAX,25,WR,5,15.0,7,46.7%,88,12.6,0,5.9,1.4,17.6,BrowMi00
302,302,302,MichaelCampanaro,BAL,23,WR,4,9.0,7,77.8%,102,14.6,1,11.3,1.8,25.5,CampMi02
304,304,304,RyanGrant,WAS,24,WR,16,15.0,7,46.7%,68,9.7,0,4.5,0.4,4.3,GranRy01
306,306,306,DwayneHarris,DAL,27,WR,16,12.0,7,58.3%,116,16.6,0,9.7,0.4,7.3,HarrDw00
307,307,307,RobertMeachem,NOR,30,WR,11,20.0,7,35.0%,114,16.3,0,5.7,0.6,10.4,MeacRo00
313,313,313,KrisDurham,TEN,26,WR,4,11.0,6,54.5%,54,9.0,0,4.9,1.5,13.5,DurhKr00
314,314,314,BruceEllington,SFO,23,WR,13,12.0,6,50.0%,62,10.3,2,5.2,0.5,4.8,ElliBr00
318,318,318,RobertHerron,TAM,22,WR,8,12.0,6,50.0%,58,9.7,1,4.8,0.8,7.3,HerrRo00
319,319,319,JerrelJernigan,NYG,25,WR,2,9.0,6,66.7%,40,6.7,0,4.4,3.0,20.0,JernJe00
322,322,322,GregLittle,CIN,25,WR,6,12.0,6,50.0%,69,11.5,0,5.8,1.0,11.5,LittGr00
323,323,323,KeshawnMartin,HOU,24,WR,16,12.0,6,50.0%,78,13.0,0,6.5,0.4,4.9,MartKe01
326,326,326,ChrisOwusu,2TM,24,WR,8,6.0,6,100.0%,78,13.0,1,13.0,0.8,9.8,OwusCh00
327,327,327,AceSanders,JAX,23,WR,12,7.0,6,85.7%,55,9.2,0,7.9,0.5,4.6,SandAc00
330,330,330,BryanWalters,SEA,27,WR,13,11.0,6,54.5%,57,9.5,0,5.2,0.5,4.4,WaltBr00
334,334,334,AndreCaldwell,DEN,29,WR,16,15.0,5,33.3%,47,9.4,0,3.1,0.3,2.9,CaldAn00
339,339,339,JeffMaehl,PHI,25,WR,8,5.0,5,100.0%,46,9.2,0,9.2,0.6,5.8,MaehJe00
340,340,340,KevinOgletree,NYG,27,WR,7,9.0,5,55.6%,50,10.0,0,5.6,0.7,7.1,OgleKe00
346,346,346,BrianTyms,NWE,25,WR,11,11.0,5,45.5%,82,16.4,1,7.5,0.5,7.5,TymsBr00
347,347,347,CoreyWashington,NYG,23,WR,14,8.0,5,62.5%,52,10.4,1,6.5,0.4,3.7,WashCo01
352,352,352,JamesWright,CIN,23,WR,11,16.0,5,31.3%,91,18.2,0,5.7,0.5,8.3,WrigJa03
353,353,353,SeyiAjirotutu,LAC,27,WR,16,12.0,4,33.3%,45,11.3,0,3.8,0.3,2.8,AjirSe00
355,355,355,FrankieHammond,KAN,24,WR,16,11.0,4,36.4%,45,11.3,0,4.1,0.3,2.8,HammFr00
358,358,358,JoeMorgan,NOR,26,WR,5,10.0,4,40.0%,92,23.0,0,9.2,0.8,18.4,MorgJo01
361,361,361,RussellShepard,TAM,24,WR,16,8.0,4,50.0%,63,15.8,0,7.9,0.3,3.9,ShepRu00
365,365,365,JarrettBoykin,GNB,25,WR,13,12.0,3,25.0%,23,7.7,0,1.9,0.2,1.8,BoykJa00
367,367,367,AaronDobson,NWE,23,WR,4,5.0,3,60.0%,38,12.7,0,7.6,0.8,9.5,DobsAa00
369,369,369,TJGraham,NYJ,25,WR,12,8.0,3,37.5%,87,29.0,1,10.9,0.3,7.3,GrahT.00
371,371,371,DarriusHeywardBey,PIT,27,WR,16,5.0,3,60.0%,33,11.0,0,6.6,0.2,2.1,HeywDa00
375,375,375,QuintonPatton,SFO,24,WR,4,8.0,3,37.5%,44,14.7,0,5.5,0.8,11.0,PattQu00
384,384,384,DavidAusberry,LVR,27,WR,6,4.0,2,50.0%,14,7.0,0,3.5,0.3,2.3,AusbDa00
388,388,388,RyanBroyles,DET,26,WR,5,5.0,2,40.0%,25,12.5,0,5.0,0.4,5.0,BroyRy00
396,396,396,JeffJanis,GNB,23,WR,3,2.0,2,100.0%,16,8.0,0,8.0,0.7,5.3,JaniJe00
398,398,398,TavarresKing,TAM,24,WR,2,3.0,2,66.7%,13,6.5,0,4.3,1.0,6.5,KingTa00
399,399,399,CodyLatimer,DEN,22,WR,8,4.0,2,50.0%,23,11.5,0,5.8,0.3,2.9,LatiCo00
406,406,406,DevinStreet,DAL,23,WR,16,7.0,2,28.6%,18,9.0,0,2.6,0.1,1.1,StreDe00
408,408,408,GriffWhalen,IND,24,WR,10,3.0,2,66.7%,23,11.5,0,7.7,0.2,2.3,WhalGr00
417,417,417,JoshCribbs,IND,31,WR,6,1.0,1,100.0%,8,8.0,0,8.0,0.2,1.3,CribJo01
419,419,419,KevinDorsey,GNB,24,WR,3,2.0,1,50.0%,4,4.0,0,2.0,0.3,1.3,DorsKe01
420,420,420,MarquiseGoodwin,BUF,24,WR,10,9.0,1,11.1%,42,42.0,0,4.7,0.1,4.2,GoodMa00
438,438,438,DeVierPosey,HOU,24,WR,1,1.0,1,100.0%,30,30.0,0,30.0,1.0,30.0,PoseDe00
441,441,441,AldrickRobinson,WAS,26,WR,5,,1,0.0%,6,6.0,0,,0.2,1.2,RobiAl00
442,442,442,CourtneyRoby,ATL,31,WR,4,2.0,1,50.0%,11,11.0,0,5.5,0.3,2.8,RobyCo00
443,443,443,JalenSaunders,4TM,22,WR,15,1.0,1,100.0%,7,7.0,0,7.0,0.1,0.5,SaunJa00
445,445,445,BradSmith,PHI,31,WR,13,3.0,1,33.3%,11,11.0,0,3.7,0.1,0.8,SmitBr01
446,446,446,MichealSpurlock,CHI,31,WR,1,3.0,1,33.3%,8,8.0,0,2.7,1.0,8.0,SpurMi00
450,450,450,DamianWilliams,2TM,26,WR,3,1.0,1,100.0%,14,14.0,0,14.0,0.3,4.7,WillDa04
453,453,453,JoshBellamy,CHI,25,WR,4,1.0,0,0.0%,0,,0,0.0,0.0,0.0,BellJo02
455,455,455,IsaiahBurse,DEN,23,WR,12,1.0,0,0.0%,0,,0,0.0,0.0,0.0,BursIs01
461,461,461,LeonardHankerson,WAS,25,WR,1,1.0,0,0.0%,0,,0,0.0,0.0,0.0,HankLe00
464,464,464,FreddieMartino,ATL,23,WR,1,1.0,0,0.0%,0,,0,0.0,0.0,0.0,MartFr00
467,467,467,KassimOsgood,SFO,34,WR,13,1.0,0,0.0%,0,,0,0.0,0.0,0.0,OsgoKa00
471,471,471,GerellRobinson,2TM,25,WR,3,1.0,0,0.0%,0,,0,0.0,0.0,0.0,RobiGe00
474,474,474,RodneySmith,2TM,24,WR,4,1.0,0,0.0%,0,,0,0.0,0.0,0.0,SmitRo05
475,475,475,TommyStreeter,JAX,25,WR,2,1.0,0,0.0%,0,,0,0.0,0.0,0.0,StreTo00
