,Unnamed: 0.1,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional
0,0,0,AntonioBrown,PIT,26,WR,16,181.0,129,71.3%,1698,13.2,13,9.4,8.1,106.1,BrowAn04
1,1,1,DemaryiusThomas,DEN,27,WR,16,184.0,111,60.3%,1619,14.6,11,8.8,6.9,101.2,ThomDe03
2,2,2,JulioJones,ATL,25,WR,15,163.0,104,63.8%,1593,15.3,6,9.8,6.9,106.2,JoneJu02
4,4,4,EmmanuelSanders,DEN,27,WR,16,141.0,101,71.6%,1404,13.9,9,10.0,6.3,87.8,SandEm00
5,5,5,GoldenTate,DET,26,WR,16,144.0,99,68.8%,1331,13.4,4,9.2,6.2,83.2,TateGo00
6,6,6,JordyNelson,GNB,29,WR,16,151.0,98,64.9%,1519,15.5,13,10.1,6.1,94.9,NelsJo00
7,7,7,JulianEdelman,NWE,28,WR,14,134.0,92,68.7%,972,10.6,4,7.3,6.6,69.4,EdelJu00
8,8,8,OdellBeckhamJr,NYG,22,WR,12,130.0,91,70.0%,1305,14.3,12,10.0,7.6,108.8,BeckOd00
9,9,9,RandallCobb,GNB,24,WR,16,127.0,91,71.7%,1287,14.1,12,10.1,5.7,80.4,CobbRa00
11,11,11,DezBryant,DAL,26,WR,16,136.0,88,64.7%,1320,15.0,16,9.7,5.5,82.5,BryaDe01
13,13,13,AlshonJeffery,CHI,24,WR,16,145.0,85,58.6%,1133,13.3,10,7.8,5.3,70.8,JeffAl00
14,14,14,AndreJohnson,HOU,33,WR,15,146.0,85,58.2%,936,11.0,3,6.4,5.7,62.4,JohnAn02
15,15,15,JeremyMaclin,PHI,26,WR,16,143.0,85,59.4%,1318,15.5,10,9.2,5.3,82.4,MaclJe00
16,16,16,JarvisLandry,MIA,22,WR,16,112.0,84,75.0%,758,9.0,5,6.8,5.3,47.4,LandJa00
19,19,19,AnquanBoldin,SFO,34,WR,16,130.0,83,63.8%,1062,12.8,5,8.2,5.2,66.4,BoldAn00
21,21,21,TYHilton,IND,25,WR,15,131.0,82,62.6%,1345,16.4,7,10.3,5.5,89.7,HiltT.00
22,22,22,RoddyWhite,ATL,33,WR,14,125.0,80,64.0%,921,11.5,7,7.4,5.7,65.8,WhitRo00
23,23,23,SteveSmithSr,BAL,35,WR,16,134.0,79,59.0%,1065,13.5,6,7.9,4.9,66.6,SmitSt01
24,24,24,KeenanAllen,LAC,22,WR,14,121.0,77,63.6%,783,10.2,4,6.5,5.5,55.9,AlleKe00
25,25,25,DeAndreHopkins,HOU,22,WR,16,127.0,76,59.8%,1210,15.9,6,9.5,4.8,75.6,HopkDe00
26,26,26,EricDecker,NYJ,27,WR,15,115.0,74,64.3%,962,13.0,5,8.4,4.9,64.1,DeckEr00
27,27,27,BrandonLaFell,NWE,28,WR,16,119.0,74,62.2%,953,12.9,7,8.0,4.6,59.6,LaFeBr00
28,28,28,KelvinBenjamin,CAR,23,WR,16,145.0,73,50.3%,1008,13.8,9,7.0,4.6,63.0,BenjKe00
29,29,29,JamesJones,LVR,30,WR,16,112.0,73,65.2%,666,9.1,6,5.9,4.6,41.6,JoneJa04
30,30,30,CalvinJohnson,DET,29,WR,13,128.0,71,55.5%,1077,15.2,8,8.4,5.5,82.8,JohnCa00
31,31,31,RuebenRandle,NYG,23,WR,16,127.0,71,55.9%,938,13.2,3,7.4,4.4,58.6,RandRu00
32,32,32,VincentJackson,TAM,31,WR,16,142.0,70,49.3%,1002,14.3,2,7.1,4.4,62.6,JackVi00
34,34,34,AJGreen,CIN,26,WR,13,117.0,69,59.0%,1041,15.1,6,8.9,5.3,80.1,GreeA.00
35,35,35,MichaelCrabtree,SFO,27,WR,16,108.0,68,63.0%,698,10.3,4,6.5,4.3,43.6,CrabMi00
36,36,36,MikeEvans,TAM,21,WR,15,122.0,68,55.7%,1051,15.5,12,8.6,4.5,70.1,EvanMi00
