,Tm,Cmp,Att,P_Yds,P_TD
0,DEN,461,675,5444,55
1,NOR,446,651,4918,39
2,DET,371,634,4482,29
3,LAC,378,544,4328,32
4,CHI,373,579,4281,32
5,GNB,366,570,4268,25
6,ATL,445,659,4243,26
7,CIN,364,587,4136,33
8,PHI,310,508,4110,32
9,NWE,380,628,4087,25
10,CLE,379,681,4040,26
11,PIT,377,586,4017,28
12,ARI,363,574,4002,24
13,DAL,375,586,3954,33
14,HOU,371,633,3813,19
15,WAS,355,611,3751,20
16,IND,350,582,3725,23
17,BAL,363,619,3590,19
18,NYG,325,567,3588,18
19,MIA,357,594,3567,24
20,TEN,328,533,3496,22
21,JAX,349,592,3441,16
22,MIN,325,546,3427,18
23,LVR,298,519,3340,17
24,KAN,333,546,3340,24
25,SEA,267,420,3236,27
26,LAR,301,506,3125,22
27,BUF,299,522,3103,16
28,CAR,292,473,3043,24
29,SFO,244,417,2979,21
30,NYJ,266,480,2932,13
31,TAM,291,514,2820,22
