,Unnamed: 0,Unnamed: 0.1_x,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional,Unnamed: 0.1_y,Cmp,Att,P_Yds,P_TD,Year
17,17,93,RishardMatthews,MIA,26,WR,11,61,43,70.5%,662,15.4,4,10.9,3.9,60.2,MattRi00,18.0,365.0,588.0,3811.0,24.0,2015
18,18,165,KennyStills,MIA,23,WR,16,63,27,42.9%,440,16.3,3,7.0,1.7,27.5,StilKe00,18.0,365.0,588.0,3811.0,24.0,2015
19,19,170,DeVanteParker,MIA,22,WR,14,50,26,52.0%,494,19.0,3,9.9,1.9,35.3,ParkDe01,18.0,365.0,588.0,3811.0,24.0,2015
20,20,213,GregJennings,MIA,32,WR,16,36,19,52.8%,208,10.9,1,5.8,1.2,13.0,JennGr00,18.0,365.0,588.0,3811.0,24.0,2015
21,21,474,MattHazel,MIA,23,WR,5,1,0,0.0%,0,,0,0.0,0.0,0.0,HazeMa01,18.0,365.0,588.0,3811.0,24.0,2015
22,22,4,LarryFitzgerald,ARI,32,WR,16,145,109,75.2%,1215,11.1,9,8.4,6.8,75.9,FitzLa00,1.0,353.0,562.0,4616.0,35.0,2015
23,23,42,JohnBrown,ARI,25,WR,15,101,65,64.4%,1003,15.4,7,9.9,4.3,66.9,BrowJo02,1.0,353.0,562.0,4616.0,35.0,2015
24,24,64,MichaelFloyd,ARI,26,WR,15,89,52,58.4%,849,16.3,6,9.5,3.5,56.6,FloyMi00,1.0,353.0,562.0,4616.0,35.0,2015
25,25,274,JaronBrown,ARI,25,WR,16,23,11,47.8%,144,13.1,1,6.3,0.7,9.0,BrowJa03,1.0,353.0,562.0,4616.0,35.0,2015
26,26,281,JJNelson,ARI,23,WR,11,27,11,40.7%,299,27.2,2,11.1,1.0,27.2,NelsJJ00,1.0,353.0,562.0,4616.0,35.0,2015
27,27,434,BrittanGolden,ARI,27,WR,14,1,1,100.0%,5,5.0,0,5.0,0.1,0.4,GoldBr00,1.0,353.0,562.0,4616.0,35.0,2015
28,28,5,BrandonMarshall,NYJ,31,WR,16,173,109,63.0%,1502,13.8,14,8.7,6.8,93.9,MarsBr00,12.0,362.0,604.0,4057.0,33.0,2015
29,29,17,EricDecker,NYJ,28,WR,15,132,80,60.6%,1027,12.8,12,7.8,5.3,68.5,DeckEr00,12.0,362.0,604.0,4057.0,33.0,2015
30,30,183,QuincyEnunwa,NYJ,23,WR,12,46,22,47.8%,315,14.3,0,6.8,1.8,26.3,EnunQu00,12.0,362.0,604.0,4057.0,33.0,2015
31,31,229,KenbrellThompkins,NYJ,27,WR,7,33,17,51.5%,165,9.7,0,5.0,2.4,23.6,ThomKe02,12.0,362.0,604.0,4057.0,33.0,2015
32,32,235,JeremyKerley,NYJ,27,WR,16,26,16,61.5%,152,9.5,2,5.8,1.0,9.5,KerlJe00,12.0,362.0,604.0,4057.0,33.0,2015
33,33,307,DevinSmith,NYJ,23,WR,10,28,9,32.1%,115,12.8,1,4.1,0.9,11.5,SmitDe04,12.0,362.0,604.0,4057.0,33.0,2015
34,34,347,ChrisOwusu,NYJ,25,WR,3,13,6,46.2%,80,13.3,0,6.2,2.0,26.7,OwusCh00,12.0,362.0,604.0,4057.0,33.0,2015
35,35,6,DemaryiusThomas,DEN,28,WR,16,177,105,59.3%,1304,12.4,6,7.4,6.6,81.5,ThomDe03,13.0,368.0,606.0,3970.0,19.0,2015
36,36,26,EmmanuelSanders,DEN,28,WR,15,136,76,55.9%,1135,14.9,6,8.3,5.1,75.7,SandEm00,13.0,368.0,606.0,3970.0,19.0,2015
37,37,188,JordanNorwood,DEN,29,WR,11,32,22,68.8%,207,9.4,0,6.5,2.0,18.8,NorwJo00,13.0,368.0,606.0,3970.0,19.0,2015
38,38,233,BennieFowler,DEN,24,WR,16,25,16,64.0%,203,12.7,0,8.1,1.0,12.7,FowlBe00,13.0,368.0,606.0,3970.0,19.0,2015
39,39,287,AndreCaldwell,DEN,30,WR,14,22,10,45.5%,72,7.2,2,3.3,0.7,5.1,CaldAn00,13.0,368.0,606.0,3970.0,19.0,2015
40,40,344,CodyLatimer,DEN,23,WR,14,11,6,54.5%,59,9.8,1,5.4,0.4,4.2,LatiCo00,13.0,368.0,606.0,3970.0,19.0,2015
41,41,7,OdellBeckhamJr,NYG,23,WR,15,158,96,60.8%,1450,15.1,13,9.2,6.4,96.7,BeckOd00,6.0,392.0,623.0,4343.0,36.0,2015
42,42,54,RuebenRandle,NYG,24,WR,16,90,57,63.3%,797,14.0,8,8.9,3.6,49.8,RandRu00,6.0,392.0,623.0,4343.0,36.0,2015
43,43,113,DwayneHarris,NYG,28,WR,15,57,36,63.2%,396,11.0,4,6.9,2.4,26.4,HarrDw00,6.0,392.0,623.0,4343.0,36.0,2015
44,44,327,HakeemNicks,NYG,27,WR,6,14,7,50.0%,54,7.7,0,3.9,1.2,9.0,NickHa01,6.0,392.0,623.0,4343.0,36.0,2015
45,45,332,MylesWhite,NYG,25,WR,12,20,7,35.0%,88,12.6,1,4.4,0.6,7.3,WhitMy00,6.0,392.0,623.0,4343.0,36.0,2015
46,46,360,PrestonParker,NYG,28,WR,2,12,5,41.7%,40,8.0,0,3.3,2.5,20.0,ParkPr00,6.0,392.0,623.0,4343.0,36.0,2015
47,47,397,GeremyDavis,NYG,23,WR,10,3,2,66.7%,21,10.5,0,7.0,0.2,2.1,DaviGe00,6.0,392.0,623.0,4343.0,36.0,2015
48,48,430,BenEdwards,NYG,23,WR,2,2,1,50.0%,9,9.0,0,4.5,0.5,4.5,EdwaBe00,6.0,392.0,623.0,4343.0,36.0,2015
49,49,9,GoldenTate,DET,27,WR,16,128,90,70.3%,813,9.0,6,6.4,5.6,50.8,TateGo00,8.0,420.0,632.0,4212.0,33.0,2015
50,50,10,CalvinJohnson,DET,30,WR,16,149,88,59.1%,1214,13.8,9,8.1,5.5,75.9,JohnCa00,8.0,420.0,632.0,4212.0,33.0,2015
51,51,156,LanceMoore,DET,32,WR,14,43,29,67.4%,337,11.6,4,7.8,2.1,24.1,MoorLa00,8.0,420.0,632.0,4212.0,33.0,2015
52,52,288,TJJones,DET,23,WR,10,18,10,55.6%,132,13.2,1,7.3,1.0,13.2,JoneT.00,8.0,420.0,632.0,4212.0,33.0,2015
53,53,367,CoreyFuller,DET,25,WR,12,9,4,44.4%,76,19.0,0,8.4,0.3,6.3,FullCo00,8.0,420.0,632.0,4212.0,33.0,2015
54,54,11,JeremyMaclin,KAN,27,WR,15,124,87,70.2%,1088,12.5,8,8.8,5.8,72.5,MaclJe00,29.0,310.0,473.0,3255.0,20.0,2015
55,55,122,AlbertWilson,KAN,23,WR,14,57,35,61.4%,451,12.9,2,7.9,2.5,32.2,WilsAl02,29.0,310.0,473.0,3255.0,20.0,2015
56,56,224,ChrisConley,KAN,23,WR,16,31,17,54.8%,199,11.7,1,6.4,1.1,12.4,ConlCh00,29.0,310.0,473.0,3255.0,20.0,2015
57,57,239,JasonAvant,KAN,32,WR,16,24,15,62.5%,119,7.9,0,5.0,0.9,7.4,AvanJa00,29.0,310.0,473.0,3255.0,20.0,2015
58,58,13,AJGreen,CIN,27,WR,16,132,86,65.2%,1297,15.1,10,9.8,5.4,81.1,GreeA.00,14.0,334.0,505.0,3923.0,31.0,2015
59,59,43,MarvinJones,CIN,25,WR,16,103,65,63.1%,816,12.6,4,7.9,4.1,51.0,JoneMa02,14.0,334.0,505.0,3923.0,31.0,2015
60,60,131,MohamedSanu,CIN,26,WR,16,49,33,67.3%,394,11.9,0,8.0,2.1,24.6,SanuMo00,14.0,334.0,505.0,3923.0,31.0,2015
61,61,409,BrandonTate,CIN,28,WR,16,3,2,66.7%,59,29.5,1,19.7,0.1,3.7,TateBr00,14.0,334.0,505.0,3923.0,31.0,2015
62,62,418,MarioAlford,CIN,23,WR,1,1,1,100.0%,15,15.0,0,15.0,1.0,15.0,AlfoMa00,14.0,334.0,505.0,3923.0,31.0,2015
63,63,14,MichaelCrabtree,LVR,28,WR,16,146,85,58.2%,922,10.8,9,6.3,5.3,57.6,CrabMi00,15.0,373.0,605.0,3879.0,34.0,2015
64,64,32,AmariCooper,LVR,21,WR,16,130,72,55.4%,1070,14.9,6,8.2,4.5,66.9,CoopAm00,15.0,373.0,605.0,3879.0,34.0,2015
65,65,137,SethRoberts,LVR,24,WR,16,55,32,58.2%,480,15.0,5,8.7,2.0,30.0,RobeSe00,15.0,373.0,605.0,3879.0,34.0,2015
66,66,248,AndreHolmes,LVR,27,WR,16,33,14,42.4%,201,14.4,4,6.1,0.9,12.6,HolmAn00,15.0,373.0,605.0,3879.0,34.0,2015
67,67,459,RodStreater,LVR,27,WR,1,1,1,100.0%,8,8.0,0,8.0,1.0,8.0,StreRo00,15.0,373.0,605.0,3879.0,34.0,2015
68,68,15,JordanMatthews,PHI,23,WR,16,126,85,67.5%,997,11.7,8,7.9,5.3,62.3,MattJo00,11.0,405.0,623.0,4087.0,23.0,2015
69,69,163,JoshHuff,PHI,24,WR,15,42,27,64.3%,312,11.6,3,7.4,1.8,20.8,HuffJo00,11.0,405.0,623.0,4087.0,23.0,2015
70,70,178,NelsonAgholor,PHI,22,WR,13,44,23,52.3%,283,12.3,1,6.4,1.8,21.8,AghoNe00,11.0,405.0,623.0,4087.0,23.0,2015
71,71,191,RileyCooper,PHI,28,WR,16,41,21,51.2%,327,15.6,2,8.0,1.3,20.4,CoopRi00,11.0,405.0,623.0,4087.0,23.0,2015
72,72,253,MilesAustin,PHI,31,WR,11,31,13,41.9%,224,17.2,1,7.2,1.2,20.4,AustMi00,11.0,405.0,623.0,4087.0,23.0,2015
73,73,403,JonathanKrause,PHI,23,WR,2,4,2,50.0%,11,5.5,0,2.8,1.0,5.5,KrauJo00,11.0,405.0,623.0,4087.0,23.0,2015
74,74,417,SeyiAjirotutu,PHI,28,WR,13,3,1,33.3%,4,4.0,0,1.3,0.1,0.3,AjirSe00,11.0,405.0,623.0,4087.0,23.0,2015
75,75,16,BrandinCooks,NOR,22,WR,16,129,84,65.1%,1138,13.5,9,8.8,5.3,71.1,CookBr00,0.0,460.0,667.0,4970.0,32.0,2015
76,76,38,WillieSnead,NOR,23,WR,15,101,69,68.3%,984,14.3,3,9.7,4.6,65.6,SneaWi00,0.0,460.0,667.0,4970.0,32.0,2015
77,77,87,MarquesColston,NOR,32,WR,13,67,45,67.2%,520,11.6,4,7.8,3.5,40.0,ColsMa00,0.0,460.0,667.0,4970.0,32.0,2015
78,78,146,BrandonColeman,NOR,23,WR,16,49,30,61.2%,454,15.1,2,9.3,1.9,28.4,ColeBr00,0.0,460.0,667.0,4970.0,32.0,2015
79,79,369,TJGraham,NOR,26,WR,4,4,4,100.0%,24,6.0,0,6.0,1.0,6.0,GrahT.00,0.0,460.0,667.0,4970.0,32.0,2015
80,80,475,SeantaviusJones,NOR,23,WR,3,1,0,0.0%,0,,0,0.0,0.0,0.0,JoneSe01,0.0,460.0,667.0,4970.0,32.0,2015
81,81,19,AllenRobinson,JAX,22,WR,16,151,80,53.0%,1400,17.5,14,9.3,5.0,87.5,RobiAl02,9.0,355.0,607.0,4108.0,35.0,2015
82,82,44,AllenHurns,JAX,24,WR,15,105,64,61.0%,1031,16.1,10,9.8,4.3,68.7,HurnAl01,9.0,355.0,607.0,4108.0,35.0,2015
83,83,138,BryanWalters,JAX,28,WR,11,45,32,71.1%,368,11.5,1,8.2,2.9,33.5,WaltBr00,9.0,355.0,607.0,4108.0,35.0,2015
84,84,198,DenardRobinson,JAX,25,WR,13,30,21,70.0%,164,7.8,0,5.5,1.6,12.6,RobiDe00,9.0,355.0,607.0,4108.0,35.0,2015
85,85,211,RashadGreene,JAX,23,WR,9,35,19,54.3%,93,4.9,2,2.7,2.1,10.3,GreeRa00,9.0,355.0,607.0,4108.0,35.0,2015
86,86,244,MarqiseLee,JAX,24,WR,10,32,15,46.9%,191,12.7,1,6.0,1.5,19.1,LeexMa00,9.0,355.0,607.0,4108.0,35.0,2015
87,87,22,RandallCobb,GNB,25,WR,16,129,79,61.2%,829,10.5,6,6.4,4.9,51.8,CobbRa00,25.0,348.0,573.0,3503.0,31.0,2015
88,88,69,DavanteAdams,GNB,23,WR,13,94,50,53.2%,483,9.7,1,5.1,3.8,37.2,AdamDa01,25.0,348.0,573.0,3503.0,31.0,2015
89,89,72,JamesJones,GNB,31,WR,16,99,50,50.5%,890,17.8,8,9.0,3.1,55.6,JoneJa04,25.0,348.0,573.0,3503.0,31.0,2015
90,90,245,TyMontgomery,GNB,22,WR,6,19,15,78.9%,136,9.1,2,7.2,2.5,22.7,MontTy01,25.0,348.0,573.0,3503.0,31.0,2015
91,91,296,JaredAbbrederis,GNB,25,WR,10,16,9,56.3%,111,12.3,0,6.9,0.9,11.1,AbbrJa00,25.0,348.0,573.0,3503.0,31.0,2015
92,92,401,JeffJanis,GNB,24,WR,16,12,2,16.7%,79,39.5,0,6.6,0.1,4.9,JaniJe00,25.0,348.0,573.0,3503.0,31.0,2015
93,93,23,DougBaldwin,SEA,27,WR,16,103,78,75.7%,1069,13.7,14,10.4,4.9,66.8,BaldDo00,19.0,333.0,489.0,3790.0,34.0,2015
94,94,67,TylerLockett,SEA,23,WR,16,69,51,73.9%,664,13.0,6,9.6,3.2,41.5,LockTy00,19.0,333.0,489.0,3790.0,34.0,2015
95,95,74,JermaineKearse,SEA,25,WR,16,68,49,72.1%,685,14.0,5,10.1,3.1,42.8,KearJe01,19.0,333.0,489.0,3790.0,34.0,2015
96,96,372,RicardoLockette,SEA,29,WR,8,7,4,57.1%,69,17.3,1,9.9,0.5,8.6,LockRi00,19.0,333.0,489.0,3790.0,34.0,2015
97,97,390,KevinSmith,SEA,24,WR,7,5,3,60.0%,43,14.3,0,8.6,0.4,6.1,SmitKe04,19.0,333.0,489.0,3790.0,34.0,2015
98,98,453,PaulRichardson,SEA,23,WR,1,1,1,100.0%,40,40.0,0,40.0,1.0,40.0,RichPa01,19.0,333.0,489.0,3790.0,34.0,2015
99,99,469,KasenWilliams,SEA,23,WR,2,1,1,100.0%,8,8.0,0,8.0,0.5,4.0,WillKa02,19.0,333.0,489.0,3790.0,34.0,2015
100,100,27,KamarAiken,BAL,26,WR,16,127,75,59.1%,944,12.6,5,7.4,4.7,59.0,AikeKa00,7.0,426.0,676.0,4271.0,21.0,2015
101,101,84,SteveSmithSr,BAL,36,WR,7,73,46,63.0%,670,14.6,3,9.2,6.6,95.7,SmitSt01,7.0,426.0,676.0,4271.0,21.0,2015
102,102,142,JeremyButler,BAL,24,WR,8,44,31,70.5%,363,11.7,0,8.3,3.9,45.4,ButlJe01,7.0,426.0,676.0,4271.0,21.0,2015
103,103,246,MarlonBrown,BAL,24,WR,10,30,14,46.7%,112,8.0,0,3.7,1.4,11.2,BrowMa00,7.0,426.0,676.0,4271.0,21.0,2015
104,104,334,DanielBrown,BAL,23,WR,6,11,6,54.5%,64,10.7,0,5.8,1.0,10.7,BrowDa04,7.0,426.0,676.0,4271.0,21.0,2015
105,105,355,MichaelCampanaro,BAL,24,WR,4,6,5,83.3%,35,7.0,0,5.8,1.3,8.8,CampMi02,7.0,426.0,676.0,4271.0,21.0,2015
106,106,412,DarrenWaller,BAL,23,WR,6,6,2,33.3%,18,9.0,0,3.0,0.3,3.0,WallDa01,7.0,426.0,676.0,4271.0,21.0,2015
107,107,29,MikeEvans,TAM,22,WR,15,148,74,50.0%,1206,16.3,3,8.1,4.9,80.4,EvanMi00,16.0,312.0,535.0,3852.0,22.0,2015
108,108,129,VincentJackson,TAM,32,WR,10,62,33,53.2%,543,16.5,3,8.8,3.3,54.3,JackVi00,16.0,312.0,535.0,3852.0,22.0,2015
109,109,164,AdamHumphries,TAM,22,WR,13,40,27,67.5%,260,9.6,1,6.5,2.1,20.0,HumpAd00,16.0,312.0,535.0,3852.0,22.0,2015
110,110,275,DonteeaDye,TAM,22,WR,10,30,11,36.7%,132,12.0,1,4.4,1.1,13.2,DyexDo00,16.0,312.0,535.0,3852.0,22.0,2015
111,111,291,LouisMurphy,TAM,28,WR,6,18,10,55.6%,198,19.8,0,11.0,1.7,33.0,MurpLo00,16.0,312.0,535.0,3852.0,22.0,2015
112,112,389,RussellShepard,TAM,25,WR,13,9,3,33.3%,28,9.3,1,3.1,0.2,2.2,ShepRu00,16.0,312.0,535.0,3852.0,22.0,2015
113,113,33,PierreGarcon,WAS,29,WR,16,111,72,64.9%,777,10.8,6,7.0,4.5,48.6,GarcPi00,10.0,386.0,555.0,4095.0,30.0,2015
114,114,50,JamisonCrowder,WAS,22,WR,16,78,59,75.6%,604,10.2,2,7.7,3.7,37.8,CrowJa00,10.0,386.0,555.0,4095.0,30.0,2015
115,115,149,DeSeanJackson,WAS,29,WR,9,49,30,61.2%,528,17.6,4,10.8,3.3,58.7,JackDe00,10.0,386.0,555.0,4095.0,30.0,2015
116,116,181,RyanGrant,WAS,25,WR,16,42,23,54.8%,268,11.7,2,6.4,1.4,16.8,GranRy01,10.0,386.0,555.0,4095.0,30.0,2015
117,117,283,AndreRoberts,WAS,27,WR,9,21,11,52.4%,135,12.3,0,6.4,1.2,15.0,RobeAn00,10.0,386.0,555.0,4095.0,30.0,2015
118,118,320,RashadRoss,WAS,25,WR,13,13,8,61.5%,184,23.0,1,14.2,0.6,14.2,RossRa00,10.0,386.0,555.0,4095.0,30.0,2015
119,119,36,AnquanBoldin,SFO,35,WR,14,111,69,62.2%,789,11.4,4,7.1,4.9,56.4,BoldAn00,28.0,322.0,526.0,3316.0,16.0,2015
120,120,132,TorreySmith,SFO,26,WR,16,62,33,53.2%,663,20.1,4,10.7,2.1,41.4,SmitTo02,28.0,322.0,526.0,3316.0,16.0,2015
121,121,151,QuintonPatton,SFO,25,WR,16,57,30,52.6%,394,13.1,1,6.9,1.9,24.6,PattQu00,28.0,322.0,526.0,3316.0,16.0,2015
122,122,256,BruceEllington,SFO,24,WR,13,19,13,68.4%,153,11.8,0,8.1,1.0,11.8,ElliBr00,28.0,322.0,526.0,3316.0,16.0,2015
123,123,322,MikeDavis,SFO,22,WR,6,13,7,53.8%,38,5.4,0,2.9,1.2,6.3,DaviMi01,28.0,322.0,526.0,3316.0,16.0,2015
124,124,361,JeromeSimpson,SFO,29,WR,6,19,5,26.3%,54,10.8,1,2.8,0.8,9.0,SimpJe00,28.0,322.0,526.0,3316.0,16.0,2015
125,125,413,DeAndrewWhite,SFO,24,WR,4,2,2,100.0%,18,9.0,0,9.0,0.5,4.5,WhitDe01,28.0,322.0,526.0,3316.0,16.0,2015
126,126,37,TYHilton,IND,26,WR,16,134,69,51.5%,1124,16.3,5,8.4,4.3,70.3,HiltT.00,21.0,355.0,619.0,3704.0,26.0,2015
127,127,45,DonteMoncrief,IND,22,WR,16,105,64,61.0%,733,11.5,6,7.0,4.0,45.8,MoncDo00,21.0,355.0,619.0,3704.0,26.0,2015
128,128,98,AndreJohnson,IND,34,WR,16,77,41,53.2%,503,12.3,4,6.5,2.6,31.4,JohnAn02,21.0,355.0,619.0,3704.0,26.0,2015
129,129,215,GriffWhalen,IND,25,WR,14,26,19,73.1%,205,10.8,1,7.9,1.4,14.6,WhalGr00,21.0,355.0,619.0,3704.0,26.0,2015
130,130,217,PhillipDorsett,IND,22,WR,11,39,18,46.2%,225,12.5,1,5.8,1.6,20.5,DorsPh00,21.0,355.0,619.0,3704.0,26.0,2015
131,131,39,TravisBenjamin,CLE,26,WR,16,125,68,54.4%,966,14.2,5,7.7,4.3,60.4,BenjTr00,20.0,371.0,609.0,3782.0,20.0,2015
132,132,83,BrianHartline,CLE,29,WR,12,77,46,59.7%,523,11.4,2,6.8,3.8,43.6,HartBr00,20.0,371.0,609.0,3782.0,20.0,2015
133,133,157,TaylorGabriel,CLE,24,WR,13,48,28,58.3%,241,8.6,0,5.0,2.2,18.5,GabrTa00,20.0,371.0,609.0,3782.0,20.0,2015
134,134,162,AndrewHawkins,CLE,29,WR,8,43,27,62.8%,276,10.2,0,6.4,3.4,34.5,HawkAn00,20.0,371.0,609.0,3782.0,20.0,2015
135,135,249,DariusJennings,CLE,23,WR,4,21,14,66.7%,117,8.4,0,5.6,3.5,29.3,JennDa00,20.0,371.0,609.0,3782.0,20.0,2015
136,136,326,MarlonMoore,CLE,28,WR,14,10,7,70.0%,81,11.6,1,8.1,0.5,5.8,MoorMa02,20.0,371.0,609.0,3782.0,20.0,2015
137,137,354,DwayneBowe,CLE,31,WR,7,13,5,38.5%,53,10.6,0,4.1,0.7,7.6,BoweDw00,20.0,371.0,609.0,3782.0,20.0,2015
138,138,452,TerrellePryor,CLE,26,WR,3,8,1,12.5%,42,42.0,0,5.3,0.3,14.0,PryoTe00,20.0,371.0,609.0,3782.0,20.0,2015
139,139,40,KeenanAllen,LAC,23,WR,8,89,67,75.3%,725,10.8,4,8.1,8.4,90.6,AlleKe00,3.0,442.0,667.0,4591.0,30.0,2015
140,140,88,SteveJohnson,LAC,29,WR,10,65,45,69.2%,497,11.0,3,7.6,4.5,49.7,JohnSt00,3.0,442.0,667.0,4591.0,30.0,2015
141,141,120,DontrelleInman,LAC,26,WR,14,63,35,55.6%,486,13.9,3,7.7,2.5,34.7,InmaDo00,3.0,442.0,667.0,4591.0,30.0,2015
142,142,147,MalcomFloyd,LAC,34,WR,15,68,30,44.1%,561,18.7,3,8.3,2.0,37.4,FloyMa00,3.0,442.0,667.0,4591.0,30.0,2015
143,143,175,JavonteeHerndon,LAC,24,WR,8,33,24,72.7%,195,8.1,0,5.9,3.0,24.4,HernJa00,3.0,442.0,667.0,4591.0,30.0,2015
