,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional,Cmp,Att,P_Yds,P_TD,Year
0,0,MichaelThomas,NOR,25,WR,16,147,125,85.0%,1405,11.2,9,9.6,7.8,87.8,ThomMi05,381.0,519.0,4042.0,33.0,2018
1,1,TreQuanSmith,NOR,22,WR,15,44,28,63.6%,427,15.3,5,9.7,1.9,28.5,SmitTr03,381.0,519.0,4042.0,33.0,2018
2,2,TedGinnJr,NOR,33,WR,5,30,17,56.7%,209,12.3,2,7.0,3.4,41.8,GinnTe00,381.0,519.0,4042.0,33.0,2018
3,3,KeithKirkwood,NOR,24,WR,8,21,13,61.9%,209,16.1,2,10.0,1.6,26.1,KirkKe00,381.0,519.0,4042.0,33.0,2018
4,4,DanArnold,NOR,23,WR,10,19,12,63.2%,150,12.5,1,7.9,1.2,15.0,ArnoDa00,381.0,519.0,4042.0,33.0,2018
5,5,AustinCarr,NOR,25,WR,14,14,9,64.3%,97,10.8,2,6.9,0.6,6.9,CarrAu00,381.0,519.0,4042.0,33.0,2018
6,6,CameronMeredith,NOR,26,WR,6,10,9,90.0%,114,12.7,1,11.4,1.5,19.0,MereCa00,381.0,519.0,4042.0,33.0,2018
7,7,TommyleeLewis,NOR,26,WR,7,3,3,100.0%,60,20.0,1,20.0,0.4,8.6,LewiTo00,381.0,519.0,4042.0,33.0,2018
8,8,JustinHardee,NOR,24,WR,16,1,1,100.0%,10,10.0,0,10.0,0.1,0.6,HardJu01,381.0,519.0,4042.0,33.0,2018
9,9,DeAndreHopkins,HOU,26,WR,16,163,115,70.6%,1572,13.7,11,9.6,7.2,98.3,HopkDe00,345.0,506.0,3781.0,26.0,2018
10,10,WillFuller,HOU,24,WR,7,45,32,71.1%,503,15.7,4,11.2,4.6,71.9,FullWi01,345.0,506.0,3781.0,26.0,2018
11,11,KekeCoutee,HOU,21,WR,6,41,28,68.3%,287,10.3,1,7.0,4.7,47.8,CoutKe00,345.0,506.0,3781.0,26.0,2018
12,12,VyncintSmith,HOU,22,WR,7,10,5,50.0%,91,18.2,1,9.1,0.7,13.0,SmitVy00,345.0,506.0,3781.0,26.0,2018
13,13,SammieCoates,HOU,25,WR,12,2,1,50.0%,12,12.0,0,6.0,0.1,1.0,CoatSa00,345.0,506.0,3781.0,26.0,2018
14,14,JulioJones,ATL,29,WR,16,170,113,66.5%,1677,14.8,8,9.9,7.1,104.8,JoneJu02,428.0,617.0,4653.0,36.0,2018
15,15,MohamedSanu,ATL,29,WR,16,94,66,70.2%,838,12.7,4,8.9,4.1,52.4,SanuMo00,428.0,617.0,4653.0,36.0,2018
16,16,CalvinRidley,ATL,24,WR,16,92,64,69.6%,821,12.8,10,8.9,4.0,51.3,RidlCa00,428.0,617.0,4653.0,36.0,2018
17,17,JustinHardy,ATL,27,WR,16,22,14,63.6%,133,9.5,2,6.0,0.9,8.3,HardJu00,428.0,617.0,4653.0,36.0,2018
18,18,MarvinHall,ATL,25,WR,16,19,10,52.6%,149,14.9,1,7.8,0.6,9.3,HallMa02,428.0,617.0,4653.0,36.0,2018
19,19,RussellGage,ATL,22,WR,15,10,6,60.0%,63,10.5,0,6.3,0.4,4.2,GageRu00,428.0,617.0,4653.0,36.0,2018
20,20,AdamThielen,MIN,28,WR,16,153,113,73.9%,1373,12.2,9,9.0,7.1,85.8,ThieAd00,425.0,606.0,4036.0,30.0,2018
21,21,StefonDiggs,MIN,25,WR,15,149,102,68.5%,1021,10.0,9,6.9,6.8,68.1,DiggSt00,425.0,606.0,4036.0,30.0,2018
22,22,LaquonTreadwell,MIN,23,WR,15,53,35,66.0%,302,8.6,1,5.7,2.3,20.1,TreaLa00,425.0,606.0,4036.0,30.0,2018
23,23,AldrickRobinson,MIN,30,WR,14,35,17,48.6%,231,13.6,5,6.6,1.2,16.5,RobiAl00,425.0,606.0,4036.0,30.0,2018
24,24,ChadBeebe,MIN,24,WR,3,4,4,100.0%,39,9.8,0,9.8,1.3,13.0,BeebCh00,425.0,606.0,4036.0,30.0,2018
25,25,BrandonZylstra,MIN,25,WR,16,2,1,50.0%,23,23.0,0,11.5,0.1,1.4,ZylsBr00,425.0,606.0,4036.0,30.0,2018
26,26,DavanteAdams,GNB,26,WR,15,169,111,65.7%,1386,12.5,13,8.2,7.4,92.4,AdamDa01,392.0,640.0,4238.0,25.0,2018
27,27,RandallCobb,GNB,28,WR,9,61,38,62.3%,383,10.1,2,6.3,4.2,42.6,CobbRa00,392.0,640.0,4238.0,25.0,2018
28,28,MarquezValdesScantling,GNB,24,WR,16,73,38,52.1%,581,15.3,2,8.0,2.4,36.3,ValdMa00,392.0,640.0,4238.0,25.0,2018
29,29,EquanimeousStBrown,GNB,22,WR,12,36,21,58.3%,328,15.6,0,9.1,1.8,27.3,St.BEq00,392.0,640.0,4238.0,25.0,2018
30,30,GeronimoAllison,GNB,24,WR,5,30,20,66.7%,303,15.2,2,10.1,4.0,60.6,AlliGe01,392.0,640.0,4238.0,25.0,2018
31,31,JakeKumerow,GNB,26,WR,5,11,8,72.7%,103,12.9,1,9.4,1.6,20.6,KumeJa00,392.0,640.0,4238.0,25.0,2018
32,32,JMonMoore,GNB,23,WR,12,3,2,66.7%,15,7.5,0,5.0,0.2,1.3,MoorJM00,392.0,640.0,4238.0,25.0,2018
33,33,AllenLazard,GNB,23,WR,1,1,1,100.0%,7,7.0,0,7.0,1.0,7.0,LazaAl00,392.0,640.0,4238.0,25.0,2018
34,34,JuJuSmithSchuster,PIT,22,WR,16,166,111,66.9%,1426,12.8,7,8.6,6.9,89.1,SmitJu00,459.0,689.0,5008.0,35.0,2018
35,35,AntonioBrown,PIT,30,WR,15,168,104,61.9%,1297,12.5,15,7.7,6.9,86.5,BrowAn04,459.0,689.0,5008.0,35.0,2018
36,36,RyanSwitzer,PIT,24,WR,16,44,36,81.8%,253,7.0,1,5.8,2.3,15.8,SwitRy00,459.0,689.0,5008.0,35.0,2018
37,37,JamesWashington,PIT,22,WR,14,38,16,42.1%,217,13.6,1,5.7,1.1,15.5,WashJa00,459.0,689.0,5008.0,35.0,2018
38,38,EliRogers,PIT,26,WR,3,14,12,85.7%,79,6.6,0,5.6,4.0,26.3,RogeEl00,459.0,689.0,5008.0,35.0,2018
39,39,JustinHunter,PIT,27,WR,5,13,3,23.1%,21,7.0,0,1.6,0.6,4.2,HuntJu00,459.0,689.0,5008.0,35.0,2018
40,40,DarriusHeywardBey,PIT,31,WR,14,2,1,50.0%,9,9.0,0,4.5,0.1,0.6,HeywDa00,459.0,689.0,5008.0,35.0,2018
41,41,KeenanAllen,LAC,26,WR,16,136,97,71.3%,1196,12.3,6,8.8,6.1,74.8,AlleKe00,348.0,512.0,4089.0,32.0,2018
42,42,MikeWilliams,LAC,24,WR,16,66,43,65.2%,664,15.4,10,10.1,2.7,41.5,WillMi07,348.0,512.0,4089.0,32.0,2018
43,43,TyrellWilliams,LAC,26,WR,16,65,41,63.1%,653,15.9,5,10.0,2.6,40.8,WillTy00,348.0,512.0,4089.0,32.0,2018
44,44,TravisBenjamin,LAC,29,WR,12,24,12,50.0%,186,15.5,1,7.8,1.0,15.5,BenjTr00,348.0,512.0,4089.0,32.0,2018
45,45,GeremyDavis,LAC,26,WR,14,1,0,0.0%,0,,0,0.0,0.0,0.0,DaviGe00,348.0,512.0,4089.0,32.0,2018
46,46,TyreekHill,KAN,24,WR,16,137,87,63.5%,1479,17.0,12,10.8,5.4,92.4,HillTy00,385.0,583.0,4955.0,50.0,2018
47,47,SammyWatkins,KAN,25,WR,10,55,40,72.7%,519,13.0,3,9.4,4.0,51.9,WatkSa00,385.0,583.0,4955.0,50.0,2018
