,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional,Cmp,Att,P_Yds,P_TD,Year
0,0,MichaelThomas,NOR,26,WR,16,185,149,80.5%,1725,11.6,9,9.3,9.3,107.8,ThomMi05,418.0,581.0,4244.0,36.0,2019
1,1,TedGinnJr,NOR,34,WR,16,56,30,53.6%,421,14.0,2,7.5,1.9,26.3,GinnTe00,418.0,581.0,4244.0,36.0,2019
2,2,TaysomHill,NOR,29,WR,16,22,19,86.4%,234,12.3,6,10.6,1.2,14.6,HillTa00,418.0,581.0,4244.0,36.0,2019
3,3,TreQuanSmith,NOR,23,WR,11,25,18,72.0%,234,13.0,5,9.4,1.6,21.3,SmitTr03,418.0,581.0,4244.0,36.0,2019
4,4,DeonteHarty,NOR,22,WR,14,6,6,100.0%,24,4.0,0,4.0,0.4,1.7,HarrDe07,418.0,581.0,4244.0,36.0,2019
5,5,AustinCarr,NOR,26,WR,6,4,1,25.0%,9,9.0,0,2.3,0.2,1.5,CarrAu00,418.0,581.0,4244.0,36.0,2019
6,6,KrishawnHogan,NOR,24,WR,8,1,1,100.0%,4,4.0,0,4.0,0.1,0.5,HogaKr00,418.0,581.0,4244.0,36.0,2019
7,7,JustinHardee,NOR,25,WR,16,1,0,0.0%,0,,0,0.0,0.0,0.0,HardJu01,418.0,581.0,4244.0,36.0,2019
8,8,LilJordanHumphrey,NOR,21,WR,5,1,0,0.0%,0,,0,0.0,0.0,0.0,HumpLi01,418.0,581.0,4244.0,36.0,2019
9,9,KeenanAllen,LAC,27,WR,16,149,104,69.8%,1199,11.5,6,8.0,6.5,74.9,AlleKe00,394.0,597.0,4426.0,24.0,2019
10,10,MikeWilliams,LAC,25,WR,15,90,49,54.4%,1001,20.4,2,11.1,3.3,66.7,WillMi07,394.0,597.0,4426.0,24.0,2019
11,11,TravisBenjamin,LAC,30,WR,5,16,6,37.5%,30,5.0,0,1.9,1.2,6.0,BenjTr00,394.0,597.0,4426.0,24.0,2019
