,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional
198,198,PhillipDorsett,HOU,29,WR,15,40,20,50.0%,257,12.9,1,6.4,1.3,17.1,DorsPh00
208,208,DantePettis,CHI,27,WR,17,41,19,46.3%,245,12.9,3,6.0,1.1,14.4,PettDa00
209,209,TreQuanSmith,NOR,26,WR,15,27,19,70.4%,278,14.6,1,10.3,1.3,18.5,SmitTr03
211,211,TutuAtwell,LAR,23,WR,13,35,18,51.4%,298,16.6,1,8.5,1.4,22.9,AtweTu00
212,212,BraxtonBerrios,NYJ,27,WR,17,32,18,56.3%,145,8.1,0,4.5,1.1,8.5,BerrBr00
223,223,MarquezCallaway,NOR,24,WR,14,32,16,50.0%,158,9.9,1,4.9,1.1,11.3,CallMa01
229,229,MichaelThomas,NOR,29,WR,3,22,16,72.7%,171,10.7,3,7.8,5.3,57.0,ThomMi05
230,230,KadariusToney,2TM,23,WR,9,20,16,80.0%,171,10.7,2,8.6,1.8,19.0,ToneKa00
233,233,RashodBateman,BAL,23,WR,6,28,15,53.6%,285,19.0,2,10.2,2.5,47.5,BateRa00
234,234,AshtonDulin,IND,25,WR,12,22,15,68.2%,207,13.8,1,9.4,1.3,17.3,DuliAs00
236,236,TrentonIrwin,CIN,27,WR,9,23,15,65.2%,231,15.4,4,10.0,1.7,25.7,IrwiTr00
238,238,ZachPascal,PHI,28,WR,17,19,15,78.9%,150,10.0,1,7.9,0.9,8.8,PascZa00
241,241,JustinWatson,KAN,26,WR,17,34,15,44.1%,315,21.0,2,9.3,0.9,18.5,WatsJu01
246,246,RayRayMcCloud,SFO,26,WR,17,25,14,56.0%,243,17.4,1,9.7,0.8,14.3,McClRa00
248,248,StevenSims,PIT,25,WR,12,23,14,60.9%,104,7.4,0,4.5,1.2,8.7,SimsSt00
250,250,DamiereByrd,ATL,29,WR,14,23,13,56.5%,268,20.6,2,11.7,0.9,19.1,ByrdDa00
253,253,KhaDarelHodge,ATL,27,WR,17,20,13,65.0%,202,15.5,1,10.1,0.8,11.9,HodgKh00
256,256,SterlingShepard,NYG,29,WR,3,24,13,54.2%,154,11.8,1,6.4,4.3,51.3,ShepSt00
265,265,CedrickWilsonJr,MIA,27,WR,15,18,12,66.7%,136,11.3,0,7.6,0.8,9.1,WilsCe01
268,268,DenzelMims,NYJ,25,WR,10,25,11,44.0%,186,16.9,0,7.4,1.1,18.6,MimsDe00
273,273,DavidSills,NYG,26,WR,9,17,11,64.7%,106,9.6,0,6.2,1.2,11.8,SillDa01
276,276,MichaelBandy,LAC,25,WR,10,21,10,47.6%,89,8.9,0,4.2,1.0,8.9,BandMi00
278,278,KeelanCole,LVR,29,WR,14,21,10,47.6%,141,14.1,1,6.7,0.7,10.1,ColeKe00
285,285,ByronPringle,CHI,29,WR,11,16,10,62.5%,135,13.5,2,8.4,0.9,12.3,PrinBy00
286,286,KhalilShakir,BUF,22,WR,14,20,10,50.0%,161,16.1,1,8.1,0.7,11.5,ShakKh00
290,290,RiverCracraft,MIA,28,WR,11,14,9,64.3%,102,11.3,2,7.3,0.8,9.3,CracRi00
296,296,DeSeanJackson,BAL,36,WR,7,17,9,52.9%,153,17.0,0,9.0,1.3,21.9,JackDe00
297,297,MarcusJohnson,NYG,28,WR,14,22,9,40.9%,99,11.0,0,4.5,0.6,7.1,JohnMa07
299,299,JalenNailor,MIN,23,WR,15,13,9,69.2%,179,19.9,1,13.8,0.6,11.9,NailJa00
300,300,BreshadPerriman,TAM,29,WR,11,19,9,47.4%,110,12.2,1,5.8,0.8,10.0,PerrBr02
306,306,TomKennedy,DET,26,WR,7,15,8,53.3%,141,17.6,0,9.4,1.1,20.1,KennTo01
309,309,KylePhilips,TEN,23,WR,4,13,8,61.5%,78,9.8,0,6.0,2.0,19.5,PhilKy01
310,310,JamesProche,BAL,26,WR,15,17,8,47.1%,62,7.8,0,3.6,0.5,4.1,ProcJa00
311,311,JalenReagor,MIN,23,WR,17,13,8,61.5%,104,13.0,1,8.0,0.5,6.1,ReagJa00
313,313,CamSims,WAS,26,WR,17,18,8,44.4%,89,11.1,0,4.9,0.5,5.2,SimsCa00
314,314,JeffSmith,NYJ,25,WR,11,11,8,72.7%,134,16.8,0,12.2,0.7,12.2,SmitJe03
315,315,AndreBaccellia,ARI,25,WR,8,10,7,70.0%,45,6.4,0,4.5,0.9,5.6,BaccAn00
317,317,DWayneEskridge,SEA,25,WR,10,13,7,53.8%,58,8.3,0,4.5,0.7,5.8,EskrDW00
318,318,KJHamler,DEN,23,WR,7,14,7,50.0%,165,23.6,0,11.8,1.0,23.6,HamlKJ00
319,319,NKealHarry,CHI,25,WR,7,9,7,77.8%,116,16.6,1,12.9,1.0,16.6,HarrNK00
320,320,TYHilton,DAL,33,WR,3,10,7,70.0%,121,17.3,0,12.1,2.3,40.3,HiltT.00
322,322,VelusJonesJr,CHI,25,WR,12,14,7,50.0%,107,15.3,1,7.6,0.6,8.9,JoneVe00
329,329,JamisonCrowder,BUF,29,WR,4,13,6,46.2%,60,10.0,0,4.6,1.5,15.0,CrowJa00
332,332,KennyGolladay,NYG,29,WR,12,17,6,35.3%,81,13.5,1,4.8,0.5,6.8,GollKe00
333,333,BrandonJohnson,DEN,24,WR,7,14,6,42.9%,42,7.0,1,3.0,0.9,6.0,JohnBr23
337,337,DaxMilne,WAS,23,WR,15,7,6,85.7%,37,6.2,1,5.3,0.4,2.5,MilnDa00
338,338,TrentTaylor,CIN,28,WR,16,10,6,60.0%,62,10.3,0,6.2,0.4,3.9,TaylTr02
339,339,LaquonTreadwell,SEA,27,WR,6,10,6,60.0%,42,7.0,0,4.2,1.0,7.0,TreaLa00
344,344,DyamiBrown,WAS,23,WR,15,14,5,35.7%,143,28.6,2,10.2,0.3,9.5,BrowDy00
353,353,GunnerOlszewski,PIT,26,WR,16,7,5,71.4%,53,10.6,0,7.6,0.3,3.3,OlszGu00
357,357,DevenThompkins,TAM,23,WR,5,10,5,50.0%,32,6.4,0,3.2,1.0,6.4,ThomDe07
358,358,SamoriToure,GNB,24,WR,11,10,5,50.0%,82,16.4,1,8.2,0.5,7.5,TourSa00
360,360,MichaelWoodsII,CLE,22,WR,10,10,5,50.0%,45,9.0,0,4.5,0.5,4.5,WoodMi00
361,361,ChrisConley,2TM,30,WR,9,7,4,57.1%,46,11.5,0,6.6,0.4,5.1,ConlCh00
371,371,JakeKumerow,BUF,30,WR,6,7,4,57.1%,64,16.0,0,9.1,0.7,10.7,KumeJa00
373,373,AnthonySchwartz,CLE,22,WR,11,10,4,40.0%,51,12.8,0,5.1,0.4,4.6,SchwAn00
376,376,TylanWallace,BAL,23,WR,9,7,4,57.1%,33,8.3,0,4.7,0.4,3.7,WallTy00
377,377,MontrellWashington,DEN,23,WR,15,9,4,44.4%,2,0.5,0,0.2,0.3,0.1,WashMo00
383,383,BryanEdwards,ATL,24,WR,7,5,3,60.0%,15,5.0,0,3.0,0.4,2.1,EdwaBr01
386,386,SimiFehoko,DAL,25,WR,5,4,3,75.0%,24,8.0,0,6.0,0.6,4.8,FehoSi00
387,387,PennyHart,SEA,26,WR,9,4,3,75.0%,20,6.7,0,5.0,0.3,2.2,HartPe01
388,388,CodyHollister,TEN,29,WR,11,5,3,60.0%,54,18.0,0,10.8,0.3,4.9,HollCo00
391,391,TimJones,JAX,24,WR,17,4,3,75.0%,30,10.0,0,7.5,0.2,1.8,JoneTi00
393,393,TyMontgomery,NWE,29,WR,1,4,3,75.0%,15,5.0,1,3.8,3.0,15.0,MontTy01
397,397,MikeStrachan,IND,25,WR,13,9,3,33.3%,59,19.7,0,6.6,0.2,4.5,StraMi03
401,401,DaylenBaldwin,CLE,23,WR,1,2,2,100.0%,25,12.5,0,12.5,2.0,25.0,BaldDa01
405,405,MilesBoykin,PIT,26,WR,16,3,2,66.7%,11,5.5,0,3.7,0.1,0.7,BoykMi00
408,408,QuintezCephus,DET,24,WR,4,3,2,66.7%,15,7.5,0,5.0,0.5,3.8,CephQu00
409,409,TyrieCleveland,DEN,25,WR,6,7,2,28.6%,28,14.0,0,4.0,0.3,4.7,ClevTy00
410,410,PharohCooper,ARI,27,WR,5,2,2,100.0%,6,3.0,0,3.0,0.4,1.2,CoopPh00
415,415,JalenGuyton,LAC,25,WR,3,4,2,50.0%,64,32.0,0,16.0,0.7,21.3,GuytJa01
416,416,DeonteHarty,NOR,25,WR,4,2,2,100.0%,13,6.5,0,6.5,0.5,3.3,HarrDe07
418,418,DennisHouston,DAL,23,WR,2,6,2,33.3%,16,8.0,0,2.7,1.0,8.0,HousDe01
419,419,LilJordanHumphrey,NWE,24,WR,6,4,2,50.0%,20,10.0,0,5.0,0.3,3.3,HumpLi01
422,422,CadeJohnson,SEA,24,WR,3,4,2,50.0%,21,10.5,0,5.3,0.7,7.0,JohnCa03
423,423,KeithKirkwood,NOR,28,WR,5,4,2,50.0%,18,9.0,0,4.5,0.4,3.6,KirkKe00
426,426,RaceyMcMath,TEN,23,WR,5,8,2,25.0%,40,20.0,0,5.0,0.4,8.0,McMaRa00
428,428,DezmonPatmon,IND,24,WR,1,6,2,33.3%,24,12.0,0,4.0,2.0,24.0,PatmDe00
431,431,BraylonSanders,MIA,23,WR,3,3,2,66.7%,17,8.5,0,5.7,0.7,5.7,SandBr00
435,435,MikeThomas,CIN,28,WR,10,10,2,20.0%,38,19.0,0,3.8,0.2,3.8,ThomMi04
436,436,JalenTolbert,DAL,23,WR,8,3,2,66.7%,12,6.0,0,4.0,0.3,1.5,TolbJa00
437,437,AustinTrammell,LAR,24,WR,6,4,2,50.0%,13,6.5,0,3.3,0.3,2.2,TramAu00
439,439,JalenVirgil,DEN,24,WR,9,5,2,40.0%,75,37.5,1,15.0,0.2,8.3,VirgJa00
441,441,NsimbaWebster,CHI,26,WR,2,3,2,66.7%,14,7.0,0,4.7,1.0,7.0,WebsNs00
443,443,KevinWhite,NOR,30,WR,7,5,2,40.0%,74,37.0,0,14.8,0.3,10.6,WhitKe00
445,445,DarekeYoung,SEA,23,WR,13,2,2,100.0%,24,12.0,0,12.0,0.2,1.8,YounDa02
447,447,MauriceAlexander,DET,25,WR,4,1,1,100.0%,7,7.0,0,7.0,0.3,1.8,AlexMa02
449,449,CJBoard,TEN,29,WR,4,1,1,100.0%,6,6.0,0,6.0,0.3,1.5,BoarC.00
450,450,JohnBrown,BUF,32,WR,3,2,1,50.0%,42,42.0,1,21.0,0.3,14.0,BrowJo02
452,452,JalenCamp,HOU,24,WR,2,1,1,100.0%,7,7.0,0,7.0,0.5,3.5,CampJa03
453,453,KekeCoutee,IND,25,WR,8,1,1,100.0%,20,20.0,0,20.0,0.1,2.5,CoutKe00
454,454,FrankDarby,ATL,25,WR,5,1,1,100.0%,15,15.0,0,15.0,0.2,3.0,DarbFr00
457,457,ErikEzukanma,MIA,22,WR,1,1,1,100.0%,3,3.0,0,3.0,1.0,3.0,EzukEr00
460,460,DannyGray,SFO,23,WR,13,7,1,14.3%,10,10.0,0,1.4,0.1,0.8,GrayDa02
462,462,JacobHarris,LAR,25,WR,7,1,1,100.0%,6,6.0,0,6.0,0.1,0.9,HarrJa03
464,464,TyronJohnson,2TM,26,WR,4,1,1,100.0%,8,8.0,0,8.0,0.3,2.0,JohnTy03
466,466,MasonKinsey,TEN,24,WR,2,1,1,100.0%,3,3.0,0,3.0,0.5,1.5,KinsMa00
469,469,JasonMoore,LAC,27,WR,6,2,1,50.0%,5,5.0,0,2.5,0.2,0.8,MoorJa02
479,479,KaVontaeTurpin,DAL,26,WR,17,2,1,50.0%,9,9.0,0,4.5,0.1,0.5,TurpKa00
481,481,CodyWhite,PIT,24,WR,1,1,1,100.0%,2,2.0,0,2.0,1.0,2.0,WhitCo05
482,482,JamesonWilliams,DET,21,WR,6,9,1,11.1%,41,41.0,1,4.6,0.2,6.8,WillJa11
486,486,JuwannWinfree,GNB,26,WR,3,4,1,25.0%,17,17.0,0,4.3,0.3,5.7,WinfJu00
488,488,JoshAli,ATL,23,WR,2,1,0,0.0%,0,,0,0.0,0.0,0.0,AlixJo00
498,498,TannerGentry,BUF,28,WR,3,1,0,0.0%,0,,0,0.0,0.0,0.0,GentTa00
499,499,JoshGordon,TEN,31,WR,2,1,0,0.0%,0,,0,0.0,0.0,0.0,GordJo02
500,500,LanceMcCutcheon,LAR,23,WR,10,5,0,0.0%,0,,0,0.0,0.0,0.0,McCuLa01
501,501,StanleyMorganJr,CIN,26,WR,14,1,0,0.0%,0,,0,0.0,0.0,0.0,MorgSt02
505,505,DJTurner,LVR,25,WR,9,1,0,0.0%,0,,0,0.0,0.0,0.0,TurnDJ00
506,506,JamesWashington,DAL,26,WR,2,1,0,0.0%,0,,0,0.0,0.0,0.0,WashJa00
