,Tm,Cmp,Att,P_Yds,P_TD
0,TAM,492,731,5229,43
1,LAC,443,674,4800,38
2,DAL,444,647,4800,40
3,KAN,448,675,4791,37
4,LAR,406,607,4642,41
5,LVR,429,628,4567,23
6,CIN,384,555,4403,36
7,GNB,402,593,4315,39
8,BUF,415,655,4284,36
9,ARI,415,591,4276,27
10,MIN,398,604,4238,34
11,SFO,343,514,4221,26
12,BAL,396,611,3961,21
13,NWE,364,535,3857,24
14,PIT,425,664,3778,23
15,ATL,377,573,3713,20
16,MIA,404,615,3651,21
17,DET,396,593,3598,23
18,DEN,354,541,3593,20
19,NYJ,357,603,3541,20
20,WAS,356,550,3441,21
21,JAX,361,604,3436,12
22,SEA,324,495,3432,30
23,TEN,359,535,3418,22
24,PHI,307,494,3404,20
25,IND,324,521,3361,27
26,CLE,320,520,3320,21
27,HOU,354,546,3305,21
28,CAR,348,599,3239,14
29,CHI,332,542,3207,16
30,NYG,351,593,3196,15
31,NOR,293,504,3186,29
