,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional
51,51,MichaelGallup,DAL,24,WR,16,105,59,56.2%,843,14.3,5,8.0,3.7,52.7,GallMi00
52,52,JakobiMeyers,NWE,24,WR,14,81,59,72.8%,729,12.4,0,9.0,4.2,52.1,MeyeJa01
54,54,MarquiseBrown,BAL,23,WR,16,100,58,58.0%,769,13.3,8,7.7,3.6,48.1,BrowMa04
55,55,LaviskaShenaultJr,JAX,22,WR,14,79,58,73.4%,600,10.3,5,7.6,4.1,42.9,ShenLa00
57,57,TYHilton,IND,31,WR,15,93,56,60.2%,762,13.6,5,8.2,3.7,50.8,HiltT.00
59,59,HunterRenfrow,LVR,25,WR,16,77,56,72.7%,656,11.7,2,8.5,3.5,41.0,RenfHu00
60,60,KeelanCole,JAX,27,WR,16,88,55,62.5%,642,11.7,5,7.3,3.4,40.1,ColeKe00
62,62,LarryFitzgerald,ARI,37,WR,13,72,54,75.0%,409,7.6,1,5.7,4.2,31.5,FitzLa00
64,64,DJChark,JAX,24,WR,13,93,53,57.0%,706,13.3,5,7.6,4.1,54.3,CharDJ00
66,66,WillFuller,HOU,26,WR,11,75,53,70.7%,879,16.6,8,11.7,4.8,79.9,FullWi01
68,68,GregWard,PHI,25,WR,16,79,53,67.1%,419,7.9,6,5.3,3.3,26.2,WardGr02
70,70,JerryJeudy,DEN,21,WR,16,113,52,46.0%,856,16.5,3,7.6,3.3,53.5,JeudJe00
71,71,JoshReynolds,LAR,25,WR,16,81,52,64.2%,618,11.9,2,7.6,3.3,38.6,ReynJo00
73,73,JulioJones,ATL,31,WR,9,68,51,75.0%,771,15.1,3,11.3,5.7,85.7,JoneJu02
74,74,TimPatrick,DEN,27,WR,15,79,51,64.6%,742,14.5,6,9.4,3.4,49.5,PatrTi00
76,76,DariusSlayton,NYG,23,WR,16,96,50,52.1%,751,15.0,3,7.8,3.1,46.9,SlayDa01
77,77,KendrickBourne,SFO,25,WR,15,74,49,66.2%,667,13.6,2,9.0,3.3,44.5,BourKe00
78,78,AnthonyMiller,CHI,26,WR,16,76,49,64.5%,485,9.9,2,6.4,3.1,30.3,MillAn02
81,81,NelsonAgholor,LVR,27,WR,16,82,48,58.5%,896,18.7,8,10.9,3.0,56.0,AghoNe00
82,82,ChristianKirk,ARI,24,WR,14,79,48,60.8%,621,12.9,6,7.9,3.4,44.4,KirkCh01
84,84,MikeWilliams,LAC,26,WR,15,85,48,56.5%,756,15.8,5,8.9,3.2,50.4,WillMi07
86,86,DamiereByrd,NWE,27,WR,16,77,47,61.0%,604,12.9,1,7.8,2.9,37.8,ByrdDa00
87,87,AJGreen,CIN,32,WR,16,104,47,45.2%,523,11.1,2,5.0,2.9,32.7,GreeA.00
89,89,DannyAmendola,DET,35,WR,14,69,46,66.7%,602,13.1,0,8.7,3.3,43.0,AmenDa00
93,93,AntonioBrown,TAM,32,WR,8,62,45,72.6%,483,10.7,4,7.8,5.6,60.4,BrowAn04
95,95,DemarcusRobinson,KAN,26,WR,16,59,45,76.3%,466,10.4,3,7.9,2.8,29.1,RobiDe01
98,98,ZachPascal,IND,26,WR,16,71,44,62.0%,629,14.3,5,8.9,2.8,39.3,PascZa00
101,101,MecoleHardman,KAN,22,WR,16,62,41,66.1%,560,13.7,4,9.0,2.6,35.0,HardMe00
103,103,ChrisConley,JAX,28,WR,15,63,40,63.5%,471,11.8,2,7.5,2.7,31.4,ConlCh00
104,104,MichaelPittmanJr,IND,23,WR,13,61,40,65.6%,503,12.6,1,8.2,3.1,38.7,PittMi01
106,106,MichaelThomas,NOR,27,WR,7,55,40,72.7%,438,11.0,0,8.0,5.7,62.6,ThomMi05
108,108,RandallCobb,HOU,30,WR,10,48,38,79.2%,441,11.6,3,9.2,3.8,44.1,CobbRa00
109,109,TravisFulgham,PHI,25,WR,13,67,38,56.7%,539,14.2,4,8.0,2.9,41.5,FulgTr00
113,113,BraxtonBerrios,NYJ,25,WR,16,55,37,67.3%,394,10.6,3,7.2,2.3,24.6,BerrBr00
116,116,RashardHiggins,CLE,26,WR,13,52,37,71.2%,599,16.2,4,11.5,2.8,46.1,HiggRa00
117,117,SammyWatkins,KAN,27,WR,10,55,37,67.3%,421,11.4,2,7.7,3.7,42.1,WatkSa00
123,123,JakeemGrant,MIA,28,WR,14,54,36,66.7%,373,10.4,1,6.9,2.6,26.6,GranJa00
126,126,GabrielDavis,BUF,21,WR,16,62,35,56.5%,599,17.1,7,9.7,2.2,37.4,DaviGa01
127,127,DavidMoore,SEA,25,WR,16,47,35,74.5%,417,11.9,6,8.9,2.2,26.1,MoorDa03
128,128,GoldenTate,NYG,32,WR,12,52,35,67.3%,388,11.1,2,7.5,2.9,32.3,TateGo00
129,129,TreQuanSmith,NOR,24,WR,14,50,34,68.0%,448,13.2,4,9.0,2.4,32.0,SmitTr03
130,130,JohnBrown,BUF,30,WR,9,52,33,63.5%,458,13.9,3,8.8,3.7,50.9,BrowJo02
131,131,KekeCoutee,HOU,23,WR,8,40,33,82.5%,400,12.1,3,10.0,4.1,50.0,CoutKe00
132,132,NKealHarry,NWE,23,WR,14,57,33,57.9%,309,9.4,2,5.4,2.4,22.1,HarrNK00
135,135,AllenLazard,GNB,25,WR,10,46,33,71.7%,451,13.7,3,9.8,3.3,45.1,LazaAl00
137,137,ScottMiller,TAM,23,WR,16,53,33,62.3%,501,15.2,3,9.5,2.1,31.3,MillSc01
138,138,DeeboSamuel,SFO,24,WR,7,44,33,75.0%,391,11.8,1,8.9,4.7,55.9,SamuDe00
139,139,WillieSnead,BAL,28,WR,13,48,33,68.8%,432,13.1,3,9.0,2.5,33.2,SneaWi00
140,140,MarquezValdesScantling,GNB,26,WR,16,63,33,52.4%,690,20.9,6,11.0,2.1,43.1,ValdMa00
142,142,CamSims,WAS,24,WR,16,48,32,66.7%,477,14.9,1,9.9,2.0,29.8,SimsCa00
146,146,JalenReagor,PHI,21,WR,11,54,31,57.4%,396,12.8,1,7.3,2.8,36.0,ReagJa00
148,148,KJHamler,DEN,21,WR,13,56,30,53.6%,381,12.7,3,6.8,2.3,29.3,HamlKJ00
149,149,IsaiahMcKenzie,BUF,25,WR,16,34,30,88.2%,282,9.4,5,8.3,1.9,17.6,McKeIs00
150,150,BreshadPerriman,NYJ,27,WR,12,60,30,50.0%,505,16.8,3,8.4,2.5,42.1,PerrBr02
152,152,JamesWashington,PIT,24,WR,16,56,30,53.6%,392,13.1,5,7.0,1.9,24.5,WashJa00
154,154,LynnBowdenJr,MIA,23,WR,10,37,28,75.7%,211,7.5,0,5.7,2.8,21.1,BowdLy00
157,157,IsaiahFord,MIA,24,WR,10,44,28,63.6%,276,9.9,0,6.3,2.8,27.6,FordIs00
158,158,JalenGuyton,LAC,23,WR,16,55,28,50.9%,511,18.3,3,9.3,1.8,31.9,GuytJa01
166,166,StevenSims,WAS,23,WR,12,37,27,73.0%,265,9.8,1,7.2,2.3,22.1,SimsSt00
167,167,IsaiahWright,WAS,23,WR,14,35,27,77.1%,197,7.3,0,5.6,1.9,14.1,WrigIs01
169,169,HenryRuggsIII,LVR,21,WR,13,43,26,60.5%,452,17.4,2,10.5,2.0,34.8,RuggHe00
182,182,OdellBeckhamJr,CLE,28,WR,7,43,23,53.5%,319,13.9,3,7.4,3.3,45.6,BeckOd00
185,185,DaeSeanHamilton,DEN,25,WR,16,44,23,52.3%,293,12.7,2,6.7,1.4,18.3,HamiDa01
186,186,AdamHumphries,TEN,27,WR,7,35,23,65.7%,228,9.9,2,6.5,3.3,32.6,HumpAd00
187,187,RichieJames,SFO,25,WR,11,35,23,65.7%,394,17.1,1,11.3,2.1,35.8,JameRi00
189,189,DenzelMims,NYJ,23,WR,9,44,23,52.3%,357,15.5,0,8.1,2.6,39.7,MimsDe00
191,191,MarquezCallaway,NOR,22,WR,11,27,21,77.8%,213,10.1,0,7.9,1.9,19.4,CallMa01
192,192,JulianEdelman,NWE,34,WR,6,39,21,53.8%,315,15.0,0,8.1,3.5,52.5,EdelJu00
195,195,AndyIsabella,ARI,24,WR,13,35,21,60.0%,224,10.7,2,6.4,1.6,17.2,IsabAn00
197,197,CordarrellePatterson,CHI,29,WR,16,25,21,84.0%,132,6.3,0,5.3,1.3,8.3,PattCo00
198,198,ChadBeebe,MIN,26,WR,14,30,20,66.7%,201,10.1,2,6.7,1.4,14.4,BeebCh00
199,199,QuintezCephus,DET,22,WR,13,35,20,57.1%,349,17.5,2,10.0,1.5,26.8,CephQu00
200,200,DevinDuvernay,BAL,23,WR,16,26,20,76.9%,201,10.1,0,7.7,1.3,12.6,DuveDe00
201,201,KennyGolladay,DET,27,WR,5,32,20,62.5%,338,16.9,2,10.6,4.0,67.6,GollKe00
202,202,DeonteHarty,NOR,23,WR,9,25,20,80.0%,186,9.3,1,7.4,2.2,20.7,HarrDe07
203,203,TyronJohnson,LAC,24,WR,12,26,20,76.9%,398,19.9,3,15.3,1.7,33.2,JohnTy03
204,204,RayRayMcCloud,PIT,24,WR,16,22,20,90.9%,77,3.9,0,3.5,1.3,4.8,McClRa00
207,207,OlamideZaccheaus,ATL,23,WR,11,32,20,62.5%,274,13.7,1,8.6,1.8,24.9,ZaccOl01
208,208,MilesBoykin,BAL,24,WR,16,33,19,57.6%,266,14.0,4,8.1,1.2,16.6,BoykMi00
213,213,VanJefferson,LAR,24,WR,16,31,19,61.3%,220,11.6,1,7.1,1.2,13.8,JeffVa00
220,220,MarvinHall,2TM,27,WR,12,32,18,56.3%,302,16.8,2,9.4,1.5,25.2,HallMa02
221,221,DontrelleInman,WAS,31,WR,10,28,18,64.3%,163,9.1,2,5.8,1.8,16.3,InmaDo00
222,222,CollinJohnson,JAX,23,WR,14,31,18,58.1%,272,15.1,2,8.8,1.3,19.4,JohnCo01
225,225,PrestonWilliams,MIA,23,WR,8,35,18,51.4%,288,16.0,4,8.2,2.3,36.0,WillPr01
228,228,ChadHansen,HOU,25,WR,5,24,17,70.8%,236,13.9,1,9.8,3.4,47.2,HansCh00
230,230,MohamedSanu,2TM,31,WR,10,24,17,70.8%,187,11.0,1,7.8,1.7,18.7,SanuMo00
232,232,JeffSmith,NYJ,23,WR,12,37,17,45.9%,167,9.8,0,4.5,1.4,13.9,SmitJe03
233,233,CedrickWilsonJr,DAL,25,WR,16,28,17,60.7%,189,11.1,2,6.8,1.1,11.8,WilsCe01
238,238,MackHollins,MIA,27,WR,16,25,16,64.0%,176,11.0,1,7.0,1.0,11.0,HollMa00
242,242,KeeSeanJohnson,ARI,24,WR,8,23,15,65.2%,173,11.5,0,7.5,1.9,21.6,JohnKe07
247,247,NoahBrown,DAL,24,WR,16,24,14,58.3%,154,11.0,0,6.4,0.9,9.6,BrowNo00
249,249,ChrisHogan,NYJ,33,WR,5,26,14,53.8%,118,8.4,0,4.5,2.8,23.6,HogaCh00
250,250,DeSeanJackson,PHI,34,WR,5,26,14,53.8%,236,16.9,1,9.1,2.8,47.2,JackDe00
252,252,MarcusJohnson,IND,26,WR,11,28,14,50.0%,255,18.2,0,9.1,1.3,23.2,JohnMa07
253,253,OlabisiJohnson,MIN,23,WR,16,19,14,73.7%,189,13.5,0,9.9,0.9,11.8,JohnOl00
254,254,ZayJones,LVR,25,WR,16,20,14,70.0%,154,11.0,1,7.7,0.9,9.6,JoneZa00
256,256,DonovanPeoplesJones,CLE,21,WR,12,20,14,70.0%,304,21.7,2,15.2,1.2,25.3,PeopDo00
257,257,AudenTate,CIN,23,WR,9,22,14,63.6%,150,10.7,0,6.8,1.6,16.7,TateAu00
259,259,JamalAgnew,DET,25,WR,14,20,13,65.0%,89,6.8,0,4.5,0.9,6.4,AgneJa00
260,260,ChristianBlake,ATL,24,WR,16,18,13,72.2%,141,10.8,0,7.8,0.8,8.8,BlakCh00
263,263,ByronPringle,KAN,27,WR,13,17,13,76.5%,160,12.3,1,9.4,1.0,12.3,PrinBy00
264,264,FreddieSwain,SEA,22,WR,16,21,13,61.9%,159,12.2,2,7.6,0.8,9.9,SwaiFr00
265,265,MikeThomas,CIN,26,WR,14,21,13,61.9%,132,10.2,1,6.3,0.9,9.4,ThomMi04
268,268,CameronBatson,TEN,25,WR,12,13,12,92.3%,100,8.3,1,7.7,1.0,8.3,BatsCa00
269,269,AlexErickson,CIN,28,WR,16,17,12,70.6%,139,11.6,0,8.2,0.8,8.7,EricAl01
272,272,TylerJohnson,TAM,22,WR,14,17,12,70.6%,169,14.1,2,9.9,0.9,12.1,JohnTy00
276,276,BrandonPowell,ATL,25,WR,15,18,12,66.7%,69,5.8,2,3.8,0.8,4.6,PoweBr00
283,283,CJBoard,NYG,27,WR,14,16,11,68.8%,101,9.2,0,6.3,0.8,7.2,BoarC.00
284,284,BryanEdwards,LVR,22,WR,12,15,11,73.3%,193,17.5,1,12.9,0.9,16.1,EdwaBr01
286,286,KhaDarelHodge,CLE,25,WR,9,17,11,64.7%,180,16.4,0,10.6,1.2,20.0,HodgKh00
292,292,KennyStills,HOU,28,WR,10,19,11,57.9%,144,13.1,1,7.6,1.1,14.4,StilKe00
293,293,DeMichaelHarris,IND,22,WR,7,10,10,100.0%,79,7.9,0,7.9,1.4,11.3,HarrDe09
294,294,JohnHightower,PHI,24,WR,13,29,10,34.5%,167,16.7,0,5.8,0.8,12.8,HighJo00
300,300,TrentTaylor,SFO,26,WR,12,21,10,47.6%,86,8.6,0,4.1,0.8,7.2,TaylTr02
306,306,MalcolmPerry,MIA,23,WR,9,13,9,69.2%,92,10.2,1,7.1,1.0,10.2,PerrMa00
307,307,KalifRaymond,TEN,26,WR,15,15,9,60.0%,187,20.8,0,12.5,0.6,12.5,RaymKa00
311,311,GeoffSwaim,TEN,27,WR,10,12,9,75.0%,83,9.2,1,6.9,0.9,8.3,SwaiGe00
329,329,AustinMack,NYG,23,WR,11,11,7,63.6%,91,13.0,0,8.3,0.6,8.3,MackAu01
331,331,JaydonMickens,TAM,26,WR,10,10,7,70.0%,58,8.3,0,5.8,0.7,5.8,MickJa01
333,333,EquanimeousStBrown,GNB,24,WR,12,13,7,53.8%,117,16.7,1,9.0,0.6,9.8,St.BEq00
336,336,QuezWatkins,PHI,22,WR,6,13,7,53.8%,106,15.1,1,8.2,1.2,17.7,WatkQu00
337,337,JustinWatson,TAM,24,WR,11,11,7,63.6%,94,13.4,0,8.5,0.6,8.5,WatsJu01
341,341,DezBryant,BAL,32,WR,6,11,6,54.5%,47,7.8,2,4.3,1.0,7.8,BryaDe01
342,342,ParrisCampbell,IND,23,WR,2,9,6,66.7%,71,11.8,0,7.9,3.0,35.5,CampPa00
343,343,TyrieCleveland,DEN,23,WR,10,9,6,66.7%,63,10.5,0,7.0,0.6,6.3,ClevTy00
345,345,RiverCracraft,SFO,26,WR,9,9,6,66.7%,41,6.8,0,4.6,0.7,4.6,CracRi00
347,347,AlshonJeffery,PHI,30,WR,7,13,6,46.2%,115,19.2,1,8.8,0.9,16.4,JeffAl00
351,351,LaquonTreadwell,ATL,25,WR,5,7,6,85.7%,49,8.2,2,7.0,1.2,9.8,TreaLa00
352,352,JavonWims,CHI,26,WR,13,12,6,50.0%,48,8.0,1,4.0,0.5,3.7,WimsJa00
354,354,TavonAustin,GNB,30,WR,4,5,5,100.0%,20,4.0,0,4.0,1.3,5.0,AustTa00
355,355,JaMarcusBradley,CLE,24,WR,3,11,5,45.5%,60,12.0,0,5.5,1.7,20.0,BradJa01
358,358,PharohCooper,CAR,25,WR,16,8,5,62.5%,73,14.6,0,9.1,0.3,4.6,CoopPh00
361,361,StevenMitchell,HOU,26,WR,6,8,5,62.5%,60,12.0,0,7.5,0.8,10.0,MitcSt02
363,363,GunnerOlszewski,NWE,24,WR,13,5,5,100.0%,62,12.4,1,12.4,0.4,4.8,OlszGu00
367,367,DarriusShepherd,GNB,25,WR,8,8,5,62.5%,46,9.2,0,5.8,0.6,5.8,ShepDa00
368,368,TrentSherfield,ARI,24,WR,15,7,5,71.4%,50,10.0,0,7.1,0.3,3.3,SherTr00
369,369,MalikTaylor,GNB,25,WR,15,6,5,83.3%,66,13.2,1,11.0,0.3,4.4,TaylMa01
374,374,JJArcegaWhiteside,PHI,24,WR,8,8,4,50.0%,85,21.3,0,10.6,0.5,10.6,ArceJJ00
379,379,JuwanJohnson,NOR,24,WR,7,10,4,40.0%,39,9.8,0,3.9,0.6,5.6,JohnJu02
380,380,JoshMalone,NYJ,24,WR,4,6,4,66.7%,16,4.0,0,2.7,1.0,4.0,MaloJo00
382,382,DantePettis,2TM,25,WR,7,6,4,66.7%,76,19.0,1,12.7,0.6,10.9,PettDa00
383,383,DamionRatley,NYG,25,WR,5,10,4,40.0%,63,15.8,0,6.3,0.8,12.6,RatlDa00
384,384,RileyRidley,CHI,24,WR,5,4,4,100.0%,39,9.8,0,9.8,0.8,7.8,RidlRi00
385,385,AndreRoberts,BUF,32,WR,15,5,4,80.0%,34,8.5,0,6.8,0.3,2.3,RobeAn00
386,386,SethRoberts,CAR,29,WR,7,6,4,66.7%,31,7.8,0,5.2,0.6,4.4,RobeSe00
389,389,DeontayBurnett,PHI,23,WR,2,4,3,75.0%,19,6.3,0,4.8,1.5,9.5,BurnDe00
391,391,AustinCarr,NOR,27,WR,6,4,3,75.0%,27,9.0,1,6.8,0.5,4.5,CarrAu00
392,392,AshtonDulin,IND,23,WR,13,6,3,50.0%,53,17.7,0,8.8,0.2,4.1,DuliAs00
393,393,TedGinnJr,CHI,35,WR,6,6,3,50.0%,40,13.3,0,6.7,0.5,6.7,GinnTe00
394,394,TerryGodwin,JAX,24,WR,3,6,3,50.0%,32,10.7,0,5.3,1.0,10.7,GodwTe00
398,398,LilJordanHumphrey,NOR,22,WR,3,5,3,60.0%,46,15.3,1,9.2,1.0,15.3,HumpLi01
402,402,TyMontgomery,NOR,27,WR,6,6,3,50.0%,27,9.0,0,4.5,0.5,4.5,MontTy01
405,405,DiontaeSpencer,DEN,28,WR,11,6,3,50.0%,26,8.7,0,4.3,0.3,2.4,SpenDi00
406,406,CourtlandSutton,DEN,25,WR,1,6,3,50.0%,66,22.0,0,11.0,3.0,66.0,SuttCo00
408,408,NickWestbrookIkhine,TEN,23,WR,14,8,3,37.5%,33,11.0,0,4.1,0.2,2.4,WestNi00
410,410,BrandonZylstra,CAR,27,WR,16,4,3,75.0%,35,11.7,0,8.8,0.2,2.2,ZylsBr00
414,414,DanielBrown,NYJ,28,WR,16,2,2,100.0%,31,15.5,0,15.5,0.1,1.9,BrowDa04
417,417,LawrenceCager,NYJ,23,WR,2,6,2,33.3%,35,17.5,0,5.8,1.0,17.5,CageLa01
418,418,AntonioCallaway,MIA,23,WR,5,4,2,50.0%,20,10.0,0,5.0,0.4,4.0,CallAn00
423,423,RobertFoster,WAS,26,WR,4,6,2,33.3%,37,18.5,0,6.2,0.5,9.3,FostRo01
424,424,DauriceFountain,IND,25,WR,5,3,2,66.7%,23,11.5,0,7.7,0.4,4.6,FounDa00
425,425,BennieFowler,NOR,29,WR,5,6,2,33.3%,11,5.5,0,1.8,0.4,2.2,FowlBe00
432,432,JohnRoss,CIN,25,WR,3,7,2,28.6%,17,8.5,0,2.4,0.7,5.7,RossJo00
433,433,IsaiahZuber,NWE,23,WR,4,2,2,100.0%,29,14.5,0,14.5,0.5,7.3,ZubeIs00
441,441,DeAndreCarter,2TM,27,WR,13,2,1,50.0%,8,8.0,0,4.0,0.1,0.6,CartDe02
446,446,GehrigDieter,KAN,27,WR,4,2,1,50.0%,10,10.0,0,5.0,0.3,2.5,DietGe00
452,452,DJFoster,ARI,27,WR,10,1,1,100.0%,7,7.0,0,7.0,0.1,0.7,FostD.01
453,453,AntonioGandyGolden,WAS,22,WR,6,7,1,14.3%,3,3.0,0,0.4,0.2,0.5,GandAn00
455,455,PennyHart,SEA,24,WR,13,1,1,100.0%,3,3.0,0,3.0,0.1,0.2,HartPe01
458,458,CodyHollister,TEN,27,WR,2,1,1,100.0%,12,12.0,0,12.0,0.5,6.0,HollCo00
463,463,TrentonIrwin,CIN,25,WR,1,2,1,50.0%,5,5.0,0,2.5,1.0,5.0,IrwiTr00
465,465,MarcusKemp,2TM,25,WR,11,1,1,100.0%,11,11.0,0,11.0,0.1,1.0,KempMa00
467,467,KeithKirkwood,CAR,26,WR,1,2,1,50.0%,13,13.0,0,6.5,1.0,13.0,KirkKe00
468,468,JakeKumerow,BUF,28,WR,6,1,1,100.0%,22,22.0,1,22.0,0.2,3.7,KumeJa00
470,470,TommyleeLewis,NOR,28,WR,5,3,1,33.3%,5,5.0,0,1.7,0.2,1.0,LewiTo00
475,475,DonteMoncrief,NWE,27,WR,6,2,1,50.0%,15,15.0,0,7.5,0.2,2.5,MoncDo00
480,480,JamesProche,BAL,24,WR,14,3,1,33.3%,14,14.0,0,4.7,0.1,1.0,ProcJa00
483,483,JaleelScott,NYJ,25,WR,1,1,1,100.0%,16,16.0,0,16.0,1.0,16.0,ScotJa02
485,485,VyncintSmith,NYJ,24,WR,7,3,1,33.3%,13,13.0,0,4.3,0.1,1.9,SmitVy00
495,495,DedeWestbrook,JAX,27,WR,2,1,1,100.0%,4,4.0,0,4.0,0.5,2.0,WestDe00
501,501,JeffBadet,WAS,26,WR,3,1,0,0.0%,0,,0,0.0,0.0,0.0,BadeJe00
504,504,HakeemButler,PHI,24,WR,2,1,0,0.0%,0,,0,0.0,0.0,0.0,ButlHa00
510,510,CyrilGrayson,TAM,27,WR,3,3,0,0.0%,0,,0,0.0,0.0,0.0,GrayCy01
516,516,JoeReed,LAC,22,WR,11,1,0,0.0%,0,,0,0.0,0.0,0.0,ReedJo03
518,518,RickySealsJones,KAN,25,WR,2,1,0,0.0%,0,,0,0.0,0.0,0.0,SealRi00
519,519,TajaeSharpe,MIN,26,WR,4,3,0,0.0%,0,,0,0.0,0.0,0.0,SharTa00
521,521,TaywanTaylor,CLE,25,WR,3,1,0,0.0%,0,,0,0.0,0.0,0.0,TaylTa00
