,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional
0,0,StefonDiggs,BUF,27,WR,16,166,127,76.5%,1535,12.1,8,9.2,7.9,95.9,DiggSt00
1,1,DavanteAdams,GNB,28,WR,14,149,115,77.2%,1374,11.9,18,9.2,8.2,98.1,AdamDa01
2,2,DeAndreHopkins,ARI,28,WR,16,160,115,71.9%,1407,12.2,6,8.8,7.2,87.9,HopkDe00
5,5,AllenRobinson,CHI,27,WR,16,151,102,67.5%,1250,12.3,6,8.3,6.4,78.1,RobiAl02
6,6,KeenanAllen,LAC,28,WR,14,147,100,68.0%,992,9.9,8,6.7,7.1,70.9,AlleKe00
7,7,TylerLockett,SEA,28,WR,16,132,100,75.8%,1054,10.5,10,8.0,6.3,65.9,LockTy00
8,8,JuJuSmithSchuster,PIT,24,WR,16,128,97,75.8%,831,8.6,9,6.5,6.1,51.9,SmitJu00
9,9,ChosenAnderson,CAR,27,WR,16,136,95,69.9%,1096,11.5,3,8.1,5.9,68.5,AndeRo04
10,10,AmariCooper,DAL,26,WR,16,130,92,70.8%,1114,12.1,5,8.6,5.8,69.6,CoopAm00
11,11,CooperKupp,LAR,27,WR,15,124,92,74.2%,974,10.6,3,7.9,6.1,64.9,KuppCo00
12,12,CalvinRidley,ATL,26,WR,15,143,90,62.9%,1374,15.3,9,9.6,6.0,91.6,RidlCa00
13,13,RobertWoods,LAR,28,WR,16,129,90,69.8%,936,10.4,6,7.3,5.6,58.5,WoodRo02
14,14,JustinJefferson,MIN,21,WR,16,125,88,70.4%,1400,15.9,7,11.2,5.5,87.5,JeffJu00
15,15,DiontaeJohnson,PIT,24,WR,15,144,88,61.1%,923,10.5,7,6.4,5.9,61.5,JohnDi01
16,16,TyreekHill,KAN,26,WR,15,135,87,64.4%,1276,14.7,15,9.5,5.8,85.1,HillTy00
17,17,TerryMcLaurin,WAS,25,WR,15,134,87,64.9%,1118,12.9,4,8.3,5.8,74.5,McLaTe00
19,19,DKMetcalf,SEA,23,WR,16,129,83,64.3%,1303,15.7,10,10.1,5.2,81.4,MetcDK00
20,20,ColeBeasley,BUF,31,WR,15,107,82,76.6%,967,11.8,4,9.0,5.5,64.5,BeasCo00
21,21,BrandinCooks,HOU,27,WR,15,119,81,68.1%,1150,14.2,6,9.7,5.4,76.7,CookBr00
23,23,TylerBoyd,CIN,26,WR,15,110,79,71.8%,841,10.6,4,7.6,5.3,56.1,BoydTy00
24,24,CurtisSamuel,CAR,24,WR,15,97,77,79.4%,851,11.1,3,8.8,5.1,56.7,SamuCu00
25,25,MarvinJones,DET,30,WR,16,115,76,66.1%,978,12.9,9,8.5,4.8,61.1,JoneMa02
26,26,CeeDeeLamb,DAL,21,WR,16,111,74,66.7%,935,12.6,5,8.4,4.6,58.4,LambCe00
27,27,AdamThielen,MIN,30,WR,15,108,74,68.5%,925,12.5,14,8.6,4.9,61.7,ThieAd00
28,28,RussellGage,ATL,24,WR,16,109,72,66.1%,786,10.9,4,7.2,4.5,49.1,GageRu00
29,29,JarvisLandry,CLE,28,WR,15,101,72,71.3%,840,11.7,3,8.3,4.8,56.0,LandJa00
31,31,AJBrown,TEN,23,WR,14,106,70,66.0%,1075,15.4,11,10.1,5.0,76.8,BrowAJ00
32,32,MikeEvans,TAM,27,WR,16,109,70,64.2%,1006,14.4,13,9.2,4.4,62.9,EvanMi00
33,33,TeeHiggins,CIN,21,WR,16,108,67,62.0%,908,13.6,6,8.4,4.2,56.8,HiggTe00
35,35,DJMoore,CAR,23,WR,15,118,66,55.9%,1193,18.1,4,10.1,4.4,79.5,MoorD.00
36,36,SterlingShepard,NYG,27,WR,12,90,66,73.3%,656,9.9,3,7.3,5.5,54.7,ShepSt00
37,37,CoreyDavis,TEN,25,WR,14,92,65,70.7%,984,15.1,5,10.7,4.6,70.3,DaviCo03
38,38,ChrisGodwin,TAM,24,WR,12,84,65,77.4%,840,12.9,7,10.0,5.4,70.0,GodwCh00
41,41,DeVanteParker,MIA,27,WR,14,103,63,61.2%,793,12.6,4,7.7,4.5,56.6,ParkDe01
43,43,ChaseClaypool,PIT,22,WR,16,109,62,56.9%,873,14.1,9,8.0,3.9,54.6,ClayCh01
45,45,DarnellMooney,CHI,23,WR,16,98,61,62.2%,631,10.3,4,6.4,3.8,39.4,MoonDa00
46,46,EmmanuelSanders,NOR,33,WR,14,82,61,74.4%,726,11.9,5,8.9,4.4,51.9,SandEm00
47,47,BrandonAiyuk,SFO,22,WR,12,96,60,62.5%,748,12.5,5,7.8,5.0,62.3,AiyuBr00
49,49,JamisonCrowder,NYJ,27,WR,12,89,59,66.3%,699,11.8,6,7.9,4.9,58.3,CrowJa00
