,Tm,Cmp,Att,P_Yds,P_TD
0,IND,410,661,4894,42
1,PIT,411,612,4825,33
2,NOR,456,659,4764,33
3,DEN,399,607,4661,40
4,ATL,418,632,4553,28
5,PHI,384,621,4356,27
6,NYG,383,607,4272,30
7,GNB,349,536,4261,38
8,NWE,392,609,4121,34
9,LAC,380,574,4098,31
10,WAS,364,547,4047,18
11,DET,365,604,4030,22
12,BAL,344,554,3819,27
13,ARI,320,568,3808,21
14,CHI,396,609,3792,30
15,DAL,328,476,3784,37
16,MIA,394,595,3729,27
17,BUF,363,579,3614,23
18,CAR,327,545,3511,23
19,CLE,274,502,3465,12
20,CIN,323,503,3421,20
21,TEN,299,513,3412,20
22,LAR,327,515,3400,20
23,HOU,295,485,3352,22
24,TAM,301,531,3297,21
25,LVR,365,629,3275,22
26,SEA,287,454,3250,20
27,MIN,322,517,3244,17
28,KAN,320,493,3182,18
29,SFO,292,487,3063,20
30,JAX,325,557,3001,15
31,NYJ,287,498,2946,16
