,Unnamed: 0,Tm,Cmp,Att,P_Yds,P_TD
0,0,KAN,435,651,5062,41
1,1,TAM,499,751,4586,26
2,2,LAC,485,711,4584,26
3,3,MIA,368,584,4511,30
4,4,MIN,448,672,4484,30
5,5,DET,383,588,4281,29
6,6,CIN,418,610,4240,35
7,7,BUF,361,574,4129,35
8,8,PHI,350,536,4105,25
9,9,JAX,394,596,3959,25
10,10,SEA,399,573,3934,30
11,11,LVR,359,586,3934,28
12,12,SFO,338,512,3856,30
13,13,DAL,355,556,3736,28
14,14,NYJ,357,627,3723,15
15,15,NOR,338,512,3692,24
16,16,GNB,364,563,3632,27
17,17,ARI,433,664,3626,17
18,18,DEN,345,571,3592,18
19,19,NWE,358,540,3536,19
20,20,WAS,344,554,3472,24
21,21,CLE,335,540,3444,19
22,22,IND,398,604,3432,17
23,23,PIT,364,571,3411,12
24,24,HOU,352,579,3344,20
25,25,NYG,346,520,3157,17
26,26,LAR,347,531,3108,16
27,27,BAL,300,488,3040,19
28,28,CAR,267,457,2996,16
29,29,TEN,285,456,2914,16
30,30,ATL,257,415,2699,17
31,31,CHI,223,377,2219,19
