,Unnamed: 0.1,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional
107,107,107,TylerLockett,SEA,24,WR,15,66,41,62.1%,597,14.6,1,9.0,2.7,39.8,LockTy00
108,108,108,BrianQuick,LAR,27,WR,16,77,41,53.2%,564,13.8,3,7.3,2.6,35.3,QuicBr00
109,109,109,TajaeSharpe,TEN,22,WR,16,83,41,49.4%,522,12.7,2,6.3,2.6,32.6,SharTa00
113,113,113,JohnBrown,ARI,26,WR,15,73,39,53.4%,517,13.3,2,7.1,2.6,34.5,BrowJo02
114,114,114,VictorCruz,NYG,30,WR,15,72,39,54.2%,586,15.0,1,8.1,2.6,39.1,CruzVi00
117,117,117,ChrisHogan,NWE,29,WR,15,58,38,65.5%,680,17.9,4,11.7,2.5,45.3,HogaCh00
118,118,118,SethRoberts,LVR,25,WR,16,77,38,49.4%,397,10.4,5,5.2,2.4,24.8,RobeSe00
120,120,120,MichaelFloyd,2TM,27,WR,15,76,37,48.7%,488,13.2,5,6.4,2.5,32.5,FloyMi00
123,123,123,QuintonPatton,SFO,26,WR,14,63,37,58.7%,408,11.0,0,6.5,2.6,29.1,PattQu00
124,124,124,NelsonAgholor,PHI,23,WR,15,69,36,52.2%,365,10.1,2,5.3,2.4,24.3,AghoNe00
125,125,125,DorialGreenBeckham,PHI,23,WR,15,74,36,48.6%,392,10.9,2,5.3,2.4,26.1,GreeDo00
128,128,128,TaylorGabriel,ATL,25,WR,13,50,35,70.0%,579,16.5,6,11.6,2.7,44.5,GabrTa00
129,129,129,AllenHurns,JAX,25,WR,11,76,35,46.1%,477,13.6,3,6.3,3.2,43.4,HurnAl01
131,131,131,JJNelson,ARI,24,WR,15,74,34,45.9%,568,16.7,6,7.7,2.3,37.9,NelsJJ00
133,133,133,CoreyColeman,CLE,22,WR,10,73,33,45.2%,413,12.5,3,5.7,3.3,41.3,ColeCo00
134,134,134,PhillipDorsett,IND,23,WR,15,59,33,55.9%,528,16.0,2,8.9,2.2,35.2,DorsPh00
135,135,135,AndrewHawkins,CLE,30,WR,16,54,33,61.1%,324,9.8,3,6.0,2.1,20.3,HawkAn00
137,137,137,BreshadPerriman,BAL,23,WR,16,66,33,50.0%,499,15.1,3,7.6,2.1,31.2,PerrBr02
138,138,138,EddieRoyal,CHI,30,WR,9,43,33,76.7%,369,11.2,2,8.6,3.7,41.0,RoyaEd00
143,143,143,MalcolmMitchell,NWE,24,WR,14,48,32,66.7%,401,12.5,4,8.4,2.3,28.6,MitcMa01
147,147,147,AlbertWilson,KAN,24,WR,16,51,31,60.8%,279,9.0,2,5.5,1.9,17.4,WilsAl02
151,151,151,DonteMoncrief,IND,23,WR,9,56,30,53.6%,307,10.2,7,5.5,3.3,34.1,MoncDo00
154,154,154,KamarAiken,BAL,27,WR,16,50,29,58.0%,328,11.3,1,6.6,1.8,20.5,AikeKa00
158,158,158,MarquiseGoodwin,BUF,26,WR,15,68,29,42.6%,431,14.9,3,6.3,1.9,28.7,GoodMa00
161,161,161,KendallWright,TEN,27,WR,11,42,29,69.0%,416,14.3,3,9.9,2.6,37.8,WrigKe01
162,162,162,SammyWatkins,BUF,23,WR,8,52,28,53.8%,430,15.4,2,8.3,3.5,53.8,WatkSa00
165,165,165,CoreyBrown,CAR,25,WR,16,53,27,50.9%,276,10.2,1,5.2,1.7,17.3,BrowPh00
167,167,167,BrandonColeman,NOR,24,WR,16,38,26,68.4%,281,10.8,3,7.4,1.6,17.6,ColeBr00
173,173,173,VanceMcDonald,SFO,26,WR,11,45,24,53.3%,391,16.3,4,8.7,2.2,35.5,McDoVa00
175,175,175,BryanWalters,JAX,29,WR,10,34,24,70.6%,231,9.6,2,6.8,2.4,23.1,WaltBr00
176,176,176,DannyAmendola,NWE,31,WR,12,29,23,79.3%,243,10.6,4,8.4,1.9,20.3,AmenDa00
177,177,177,DevinFunchess,CAR,22,WR,15,58,23,39.7%,371,16.1,4,6.4,1.5,24.7,FuncDe00
178,178,178,RussellShepard,TAM,26,WR,14,40,23,57.5%,341,14.8,2,8.5,1.6,24.4,ShepRu00
184,184,184,DeonteThompson,CHI,27,WR,16,36,22,61.1%,249,11.3,2,6.9,1.4,15.6,ThomDe04
185,185,185,SammieCoates,PIT,23,WR,14,49,21,42.9%,435,20.7,2,8.9,1.5,31.1,CoatSa00
186,186,186,JustinHardy,ATL,25,WR,16,31,21,67.7%,203,9.7,4,6.5,1.3,12.7,HardJu00
188,188,188,JordanNorwood,DEN,30,WR,14,35,21,60.0%,232,11.0,1,6.6,1.5,16.6,NorwJo00
189,189,189,PaulRichardson,SEA,24,WR,15,36,21,58.3%,288,13.7,1,8.0,1.4,19.2,RichPa01
193,193,193,CharlesJohnson,MIN,27,WR,16,37,20,54.1%,232,11.6,0,6.3,1.3,14.5,JohnCh08
196,196,196,AldrickRobinson,ATL,28,WR,16,32,20,62.5%,323,16.2,2,10.1,1.3,20.2,RobiAl00
197,197,197,TorreySmith,SFO,27,WR,12,49,20,40.8%,267,13.4,3,5.4,1.7,22.3,SmitTo02
198,198,198,JoshBellamy,CHI,27,WR,16,38,19,50.0%,282,14.8,1,7.4,1.2,17.6,BellJo02
202,202,202,CharonePeake,NYJ,24,WR,15,35,19,54.3%,186,9.8,0,5.3,1.3,12.4,PeakCh00
203,203,203,ChesterRogers,IND,22,WR,14,34,19,55.9%,273,14.4,0,8.0,1.4,19.5,RogeCh02
205,205,205,KevinWhite,CHI,24,WR,4,36,19,52.8%,187,9.8,0,5.2,4.8,46.8,WhitKe00
207,207,207,RicardoLouis,CLE,22,WR,16,35,18,51.4%,205,11.4,0,5.9,1.1,12.8,LouiRi00
209,209,209,RodStreater,SFO,28,WR,16,27,18,66.7%,191,10.6,2,7.1,1.1,11.9,StreRo00
213,213,213,CodyCore,CIN,22,WR,8,27,17,63.0%,200,11.8,0,7.4,2.1,25.0,CoreCo00
214,214,214,CobiHamilton,PIT,26,WR,11,28,17,60.7%,234,13.8,2,8.4,1.5,21.3,HamiCo00
215,215,215,DemetriusHarris,KAN,25,WR,16,31,17,54.8%,123,7.2,1,4.0,1.1,7.7,HarrDe03
221,221,221,DanielBrown,2TM,24,WR,8,20,16,80.0%,124,7.8,1,6.2,2.0,15.5,BrowDa04
222,222,222,BriceButler,DAL,26,WR,16,32,16,50.0%,219,13.7,3,6.8,1.0,13.7,ButlBr00
226,226,226,JoshHuff,2TM,25,WR,10,23,16,69.6%,113,7.1,1,4.9,1.6,11.3,HuffJo00
228,228,228,JordanTaylor,DEN,24,WR,16,25,16,64.0%,209,13.1,2,8.4,1.0,13.1,TaylJo01
230,230,230,HarryDouglas,TEN,32,WR,11,22,15,68.2%,210,14.0,0,9.5,1.4,19.1,DougHa00
232,232,232,VincentJackson,TAM,33,WR,5,32,15,46.9%,173,11.5,0,5.4,3.0,34.6,JackVi00
233,233,233,BraxtonMiller,HOU,24,WR,10,28,15,53.6%,99,6.6,1,3.5,1.5,9.9,MillBr03
238,238,238,PharohCooper,LAR,21,WR,10,20,14,70.0%,106,7.6,0,5.3,1.4,10.6,CoopPh00
241,241,241,AndreHolmes,LVR,28,WR,16,25,14,56.0%,126,9.0,3,5.0,0.9,7.9,HolmAn00
242,242,242,JalinMarshall,NYJ,21,WR,10,23,14,60.9%,162,11.6,2,7.0,1.4,16.2,MarsJa01
244,244,244,WaltPowell,BUF,25,WR,9,25,14,56.0%,142,10.1,0,5.7,1.6,15.8,PoweWa00
245,245,245,AndreRoberts,DET,28,WR,16,25,14,56.0%,188,13.4,1,7.5,0.9,11.8,RobeAn00
246,246,246,JaelenStrong,HOU,22,WR,8,24,14,58.3%,131,9.4,0,5.5,1.8,16.4,StroJa01
249,249,249,ChrisHarper,SFO,23,WR,9,21,13,61.9%,133,10.2,0,6.3,1.4,14.8,HarpCh01
256,256,256,JamesWright,CIN,25,WR,13,19,13,68.4%,106,8.2,0,5.6,1.0,8.2,WrigJa03
257,257,257,GeronimoAllison,GNB,22,WR,10,22,12,54.5%,202,16.8,2,9.2,1.2,20.2,AlliGe01
262,262,262,NealSterling,JAX,24,WR,10,16,12,75.0%,110,9.2,0,6.9,1.2,11.0,SterNe00
264,264,264,JaronBrown,ARI,26,WR,7,22,11,50.0%,187,17.0,1,8.5,1.6,26.7,BrowJa03
266,266,266,BennieFowler,DEN,25,WR,13,24,11,45.8%,145,13.2,2,6.0,0.8,11.2,FowlBe00
269,269,269,JeffJanis,GNB,25,WR,16,19,11,57.9%,93,8.5,1,4.9,0.7,5.8,JaniJe00
270,270,270,CecilShorts,TAM,29,WR,9,27,11,40.7%,152,13.8,0,5.6,1.2,16.9,ShorCe00
272,272,272,JariusWright,MIN,27,WR,8,14,11,78.6%,67,6.1,1,4.8,1.4,8.4,WrigJa02
275,275,275,JustinHunter,2TM,25,WR,13,23,10,43.5%,189,18.9,4,8.2,0.8,14.5,HuntJu00
277,277,277,KeithMumphery,HOU,24,WR,11,12,10,83.3%,69,6.9,0,5.8,0.9,6.3,MumpKe00
280,280,280,DarrenWaller,BAL,24,WR,12,17,10,58.8%,85,8.5,2,5.0,0.8,7.1,WallDa01
282,282,282,EricDecker,NYJ,29,WR,3,21,9,42.9%,194,21.6,2,9.2,3.0,64.7,DeckEr00
286,286,286,RyanGrant,WAS,26,WR,16,19,9,47.4%,76,8.4,0,4.0,0.6,4.8,GranRy01
288,288,288,AndreJohnson,TEN,35,WR,8,22,9,40.9%,85,9.4,2,3.9,1.1,10.6,JohnAn02
292,292,292,PaulTurner,PHI,23,WR,4,14,9,64.3%,126,14.0,0,9.0,2.3,31.5,TurnPa01
293,293,293,MarquessWilson,CHI,24,WR,3,16,9,56.3%,160,17.8,1,10.0,3.0,53.3,WilsMa02
298,298,298,BrittanGolden,ARI,28,WR,12,14,8,57.1%,82,10.3,1,5.9,0.7,6.8,GoldBr00
300,300,300,MauriceHarris,WAS,24,WR,10,12,8,66.7%,66,8.3,0,5.5,0.8,6.6,HarrMa05
302,302,302,CodyLatimer,DEN,24,WR,12,15,8,53.3%,76,9.5,0,5.1,0.7,6.3,LatiCo00
303,303,303,FreddieMartino,TAM,25,WR,13,11,8,72.7%,142,17.8,1,12.9,0.6,10.9,MartFr00
305,305,305,BrandonTate,BUF,29,WR,15,12,8,66.7%,117,14.6,0,9.8,0.5,7.8,TateBr00
307,307,307,AaronBurbridge,SFO,23,WR,16,16,7,43.8%,88,12.6,0,5.5,0.4,5.5,BurbAa00
313,313,313,RogerLewis,NYG,23,WR,13,19,7,36.8%,97,13.9,2,5.1,0.5,7.5,LewiRo03
314,314,314,TommyleeLewis,NOR,24,WR,12,11,7,63.6%,76,10.9,0,6.9,0.6,6.3,LewiTo00
315,315,315,DexterMcCluster,LAC,27,WR,6,11,7,63.6%,36,5.1,0,3.3,1.2,6.0,McClDe00
316,316,316,ChrisMoore,BAL,23,WR,15,16,7,43.8%,46,6.6,0,2.9,0.5,3.1,MoorCh00
319,319,319,KeenanAllen,LAC,24,WR,1,7,6,85.7%,63,10.5,0,9.0,6.0,63.0,AlleKe00
320,320,320,DemarcusAyers,PIT,22,WR,2,13,6,46.2%,53,8.8,1,4.1,3.0,26.5,AyerDe00
323,323,323,AlexErickson,CIN,24,WR,16,8,6,75.0%,71,11.8,0,8.9,0.4,4.4,EricAl01
326,326,326,DarriusHeywardBey,PIT,29,WR,10,19,6,31.6%,114,19.0,2,6.0,0.6,11.4,HeywDa00
327,327,327,RashardHiggins,CLE,22,WR,16,12,6,50.0%,77,12.8,0,6.4,0.4,4.8,HiggRa00
337,337,337,ArreliousBenn,JAX,28,WR,15,10,5,50.0%,116,23.2,1,11.6,0.3,7.7,BennAr00
340,340,340,RashadGreene,JAX,24,WR,8,8,5,62.5%,32,6.4,0,4.0,0.6,4.0,GreeRa00
343,343,343,TJJones,DET,24,WR,3,14,5,35.7%,93,18.6,0,6.6,1.7,31.0,JoneT.00
344,344,344,MarcelReece,SEA,31,WR,4,5,5,100.0%,73,14.6,0,14.6,1.3,18.3,ReecMa00
346,346,346,NickWilliams,ATL,26,WR,2,7,5,71.4%,59,11.8,0,8.4,2.5,29.5,WillNi02
355,355,355,JeremyRoss,2TM,28,WR,6,4,4,100.0%,37,9.3,1,9.3,0.7,6.2,RossJe01
356,356,356,GregSalas,BUF,28,WR,2,6,4,66.7%,89,22.3,1,14.8,2.0,44.5,SalaGr00
361,361,361,MarkusWheaton,PIT,25,WR,3,9,4,44.4%,51,12.8,1,5.7,1.3,17.0,WheaMa00
362,362,362,WendallWilliams,HOU,26,WR,3,7,4,57.1%,75,18.8,0,10.7,1.3,25.0,WillWe00
365,365,365,QuanBray,IND,23,WR,6,4,3,75.0%,36,12.0,0,9.0,0.5,6.0,BrayQu00
367,367,367,LeonteCarroo,MIA,22,WR,14,6,3,50.0%,29,9.7,1,4.8,0.2,2.1,CarrLe00
368,368,368,MikeDavis,SFO,23,WR,8,5,3,60.0%,25,8.3,0,5.0,0.4,3.1,DaviMi01
369,369,369,TrevorDavis,GNB,23,WR,11,7,3,42.9%,24,8.0,1,3.4,0.3,2.2,DaviTr03
375,375,375,BradleyMarquez,LAR,24,WR,14,7,3,42.9%,37,12.3,0,5.3,0.2,2.6,MarqBr00
382,382,382,DenardRobinson,JAX,26,WR,13,5,3,60.0%,22,7.3,0,4.4,0.2,1.7,RobiDe00
385,385,385,MikeThomas,LAR,22,WR,15,9,3,33.3%,37,12.3,0,4.1,0.2,2.5,ThomMi04
388,388,388,BryceTreggs,PHI,22,WR,9,12,3,25.0%,80,26.7,0,6.7,0.3,8.9,TregBr00
390,390,390,LuckyWhitehead,DAL,24,WR,15,3,3,100.0%,48,16.0,0,16.0,0.2,3.2,WhitLu00
391,391,391,BrentonBersin,CAR,26,WR,10,6,2,33.3%,17,8.5,0,2.8,0.2,1.7,BersBr00
394,394,394,JeremyButler,LAC,25,WR,4,2,2,100.0%,11,5.5,0,5.5,0.5,2.8,ButlJe01
398,398,398,JoshDoctson,WAS,24,WR,2,6,2,33.3%,66,33.0,0,11.0,1.0,33.0,DoctJo00
400,400,400,PercyHarvin,BUF,28,WR,2,4,2,50.0%,6,3.0,0,1.5,1.0,3.0,HarvPe00
402,402,402,JohnnyHolton,LVR,26,WR,15,3,2,66.7%,34,17.0,0,11.3,0.1,2.3,HoltJo00
403,403,403,TavarresKing,NYG,26,WR,7,4,2,50.0%,50,25.0,0,12.5,0.3,7.1,KingTa00
407,407,407,JDMcKissic,SEA,23,WR,1,2,2,100.0%,16,8.0,0,8.0,2.0,16.0,McKiJ.00
408,408,408,IfeanyiMomah,ARI,27,WR,5,4,2,50.0%,50,25.0,0,12.5,0.4,10.0,MomaIf00
411,411,411,NilesPaul,WAS,27,WR,8,2,2,100.0%,27,13.5,0,13.5,0.3,3.4,PaulNi00
414,414,414,GriffWhalen,LAC,26,WR,8,4,2,50.0%,22,11.0,0,5.5,0.3,2.8,WhalGr00
419,419,419,JaredAbbrederis,GNB,26,WR,5,2,1,50.0%,8,8.0,0,4.0,0.2,1.6,AbbrJa00
420,420,420,BralonAddison,CHI,23,WR,2,1,1,100.0%,11,11.0,0,11.0,0.5,5.5,AddiBr01
427,427,427,DamiereByrd,CAR,23,WR,1,1,1,100.0%,16,16.0,0,16.0,1.0,16.0,ByrdDa00
430,430,430,GeorgeFarmer,SEA,23,WR,2,3,1,33.3%,4,4.0,0,1.3,0.5,2.0,FarmGe02
432,432,432,DJFoster,NWE,23,WR,3,2,1,50.0%,2,2.0,0,1.0,0.3,0.7,FostD.01
437,437,437,DwayneHarris,NYG,29,WR,16,1,1,100.0%,13,13.0,1,13.0,0.1,0.8,HarrDw00
442,442,442,PaulMcRoberts,LAR,24,WR,2,1,1,100.0%,6,6.0,0,6.0,0.5,3.0,McRoPa00
448,448,448,JordanPayton,CLE,23,WR,4,3,1,33.3%,3,3.0,0,1.0,0.3,0.8,PaytJo00
454,454,454,RashadRoss,WAS,26,WR,5,1,1,100.0%,8,8.0,0,8.0,0.2,1.6,RossRa00
455,455,455,DeAndreSmelter,SFO,25,WR,2,1,1,100.0%,23,23.0,0,23.0,0.5,11.5,SmelDe00
457,457,457,DevinSmith,NYJ,24,WR,4,3,1,33.3%,20,20.0,0,6.7,0.3,5.0,SmitDe04
459,459,459,DevinStreet,IND,25,WR,5,6,1,16.7%,20,20.0,0,3.3,0.2,4.0,StreDe00
461,461,461,LaquonTreadwell,MIN,21,WR,9,3,1,33.3%,15,15.0,0,5.0,0.1,1.7,TreaLa00
463,463,463,TonyWashington,JAX,24,WR,2,1,1,100.0%,9,9.0,0,9.0,0.5,4.5,WashTo00
469,469,469,ShaneWynn,JAX,24,WR,5,3,1,33.3%,19,19.0,0,6.3,0.2,3.8,WynnSh00
471,471,471,DanielBraverman,CHI,23,WR,3,2,0,0.0%,0,,0,0.0,0.0,0.0,BravDa00
472,472,472,IsaiahBurse,LAC,25,WR,9,4,0,0.0%,0,,0,0.0,0.0,0.0,BursIs01
474,474,474,MichaelCampanaro,BAL,25,WR,3,1,0,0.0%,0,,0,0.0,0.0,0.0,CampMi02
475,475,475,GeremyDavis,LAC,24,WR,3,2,0,0.0%,0,,0,0.0,0.0,0.0,DaviGe00
477,477,477,IsaacFruechte,MIN,25,WR,1,1,0,0.0%,0,,0,0.0,0.0,0.0,FrueIs00
478,478,478,JakeemGrant,MIA,24,WR,16,1,0,0.0%,0,,0,0.0,0.0,0.0,GranJa00
484,484,484,DezminLewis,BUF,24,WR,1,1,0,0.0%,0,,0,0.0,0.0,0.0,LewiDe02
489,489,489,KalifRaymond,DEN,22,WR,4,2,0,0.0%,0,,0,0.0,0.0,0.0,RaymKa00
491,491,491,MatthewSlater,NWE,31,WR,13,1,0,0.0%,0,,0,0.0,0.0,0.0,SlatMa00
498,498,498,KasenWilliams,SEA,24,WR,1,1,0,0.0%,0,,0,0.0,0.0,0.0,WillKa02
