,Unnamed: 0.1,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional
0,0,0,LarryFitzgerald,ARI,33,WR,16,150,107,71.3%,1023,9.6,6,6.8,6.7,63.9,FitzLa00
1,1,1,AntonioBrown,PIT,28,WR,15,154,106,68.8%,1284,12.1,12,8.3,7.1,85.6,BrowAn04
2,2,2,OdellBeckhamJr,NYG,24,WR,16,169,101,59.8%,1367,13.5,10,8.1,6.3,85.4,BeckOd00
3,3,3,JulianEdelman,NWE,30,WR,16,159,98,61.6%,1106,11.3,3,7.0,6.1,69.1,EdelJu00
4,4,4,JordyNelson,GNB,31,WR,16,152,97,63.8%,1257,13.0,14,8.3,6.1,78.6,NelsJo00
5,5,5,MikeEvans,TAM,23,WR,16,173,96,55.5%,1321,13.8,12,7.6,6.0,82.6,EvanMi00
6,6,6,DougBaldwin,SEA,28,WR,16,125,94,75.2%,1128,12.0,7,9.0,5.9,70.5,BaldDo00
7,7,7,JarvisLandry,MIA,24,WR,16,131,94,71.8%,1136,12.1,4,8.7,5.9,71.0,LandJa00
8,8,8,MichaelThomas,NOR,23,WR,15,121,92,76.0%,1137,12.4,9,9.4,6.1,75.8,ThomMi05
9,9,9,TYHilton,IND,27,WR,16,155,91,58.7%,1448,15.9,6,9.3,5.7,90.5,HiltT.00
10,10,10,GoldenTate,DET,28,WR,16,135,91,67.4%,1077,11.8,4,8.0,5.7,67.3,TateGo00
11,11,11,DemaryiusThomas,DEN,29,WR,16,144,90,62.5%,1083,12.0,5,7.5,5.6,67.7,ThomDe03
12,12,12,MichaelCrabtree,LVR,29,WR,16,145,89,61.4%,1003,11.3,8,6.9,5.6,62.7,CrabMi00
15,15,15,StefonDiggs,MIN,23,WR,13,112,84,75.0%,903,10.8,3,8.1,6.5,69.5,DiggSt00
16,16,16,AmariCooper,LVR,22,WR,16,132,83,62.9%,1153,13.9,5,8.7,5.2,72.1,CoopAm00
17,17,17,JulioJones,ATL,27,WR,14,129,83,64.3%,1409,17.0,6,10.9,5.9,100.6,JoneJu02
21,21,21,PierreGarcon,WAS,30,WR,16,114,79,69.3%,1041,13.2,3,9.1,4.9,65.1,GarcPi00
22,22,22,EmmanuelSanders,DEN,29,WR,16,137,79,57.7%,1032,13.1,5,7.5,4.9,64.5,SandEm00
23,23,23,BrandinCooks,NOR,23,WR,16,117,78,66.7%,1173,15.0,8,10.0,4.9,73.3,CookBr00
25,25,25,DeAndreHopkins,HOU,24,WR,16,151,78,51.7%,954,12.2,4,6.3,4.9,59.6,HopkDe00
26,26,26,TerrellePryor,CLE,27,WR,16,140,77,55.0%,1007,13.1,4,7.2,4.8,62.9,PryoTe00
27,27,27,DavanteAdams,GNB,24,WR,16,121,75,62.0%,997,13.3,12,8.2,4.7,62.3,AdamDa01
28,28,28,ColeBeasley,DAL,27,WR,16,98,75,76.5%,833,11.1,5,8.5,4.7,52.1,BeasCo00
30,30,30,JordanMatthews,PHI,24,WR,14,117,73,62.4%,804,11.0,3,6.9,5.2,57.4,MattJo00
31,31,31,AllenRobinson,JAX,23,WR,16,151,73,48.3%,883,12.1,6,5.8,4.6,55.2,RobiAl02
32,32,32,WillieSnead,NOR,24,WR,15,104,72,69.2%,895,12.4,4,8.6,4.8,59.7,SneaWi00
33,33,33,MikeWallace,BAL,30,WR,16,116,72,62.1%,1017,14.1,4,8.8,4.5,63.6,WallMi00
34,34,34,SteveSmithSr,BAL,37,WR,14,101,70,69.3%,799,11.4,5,7.9,5.0,57.1,SmitSt01
35,35,35,AdamThielen,MIN,26,WR,16,92,69,75.0%,967,14.0,5,10.5,4.3,60.4,ThieAd00
36,36,36,TyrellWilliams,LAC,24,WR,16,119,69,58.0%,1059,15.3,7,8.9,4.3,66.2,WillTy00
38,38,38,KennyBritt,LAR,28,WR,15,111,68,61.3%,1002,14.7,5,9.0,4.5,66.8,BritKe00
39,39,39,AnquanBoldin,DET,36,WR,16,95,67,70.5%,584,8.7,8,6.1,4.2,36.5,BoldAn00
40,40,40,JamisonCrowder,WAS,23,WR,16,99,67,67.7%,847,12.6,7,8.6,4.2,52.9,CrowJa00
41,41,41,AJGreen,CIN,28,WR,10,100,66,66.0%,964,14.6,4,9.6,6.6,96.4,GreeA.00
42,42,42,CameronMeredith,CHI,24,WR,14,97,66,68.0%,888,13.5,4,9.2,4.7,63.4,MereCa00
45,45,45,RishardMatthews,TEN,27,WR,16,108,65,60.2%,945,14.5,9,8.8,4.1,59.1,MattRi00
46,46,46,SterlingShepard,NYG,23,WR,16,105,65,61.9%,683,10.5,8,6.5,4.1,42.7,ShepSt00
48,48,48,JeremyKerley,SFO,28,WR,16,115,64,55.7%,667,10.4,3,5.8,4.0,41.7,KerlJe00
49,49,49,BrandonLaFell,CIN,30,WR,16,107,64,59.8%,862,13.5,6,8.1,4.0,53.9,LaFeBr00
50,50,50,KelvinBenjamin,CAR,25,WR,16,118,63,53.4%,941,14.9,7,8.0,3.9,58.8,BenjKe00
51,51,51,MarqiseLee,JAX,25,WR,16,105,63,60.0%,851,13.5,3,8.1,3.9,53.2,LeexMa00
53,53,53,TyreekHill,KAN,22,WR,16,83,61,73.5%,593,9.7,6,7.1,3.8,37.1,HillTy00
54,54,54,RandallCobb,GNB,26,WR,13,84,60,71.4%,610,10.2,4,7.3,4.6,46.9,CobbRa00
57,57,57,BrandonMarshall,NYJ,32,WR,15,128,59,46.1%,788,13.4,3,6.2,3.9,52.5,MarsBr00
58,58,58,MohamedSanu,ATL,27,WR,15,81,59,72.8%,653,11.1,4,8.1,3.9,43.5,SanuMo00
59,59,59,TavonAustin,LAR,26,WR,15,106,58,54.7%,509,8.8,3,4.8,3.9,33.9,AustTa00
60,60,60,QuincyEnunwa,NYJ,24,WR,16,105,58,55.2%,857,14.8,4,8.2,3.6,53.6,EnunQu00
61,61,61,DontrelleInman,LAC,27,WR,16,97,58,59.8%,810,14.0,4,8.4,3.6,50.6,InmaDo00
65,65,65,DeSeanJackson,WAS,30,WR,15,100,56,56.0%,1005,17.9,4,10.1,3.7,67.0,JackDe00
66,66,66,DeVanteParker,MIA,23,WR,15,87,56,64.4%,744,13.3,4,8.6,3.7,49.6,ParkDe01
69,69,69,AdamHumphries,TAM,23,WR,15,83,55,66.3%,622,11.3,2,7.5,3.7,41.5,HumpAd00
70,70,70,MarvinJones,DET,26,WR,15,103,55,53.4%,930,16.9,4,9.0,3.7,62.0,JoneMa02
71,71,71,TylerBoyd,CIN,22,WR,16,81,54,66.7%,603,11.2,1,7.4,3.4,37.7,BoydTy00
74,74,74,TedGinnJr,CAR,31,WR,16,95,54,56.8%,752,13.9,4,7.9,3.4,47.0,GinnTe00
79,79,79,AlshonJeffery,CHI,26,WR,12,94,52,55.3%,821,15.8,2,8.7,4.3,68.4,JeffAl00
80,80,80,CordarrellePatterson,MIN,25,WR,16,70,52,74.3%,453,8.7,2,6.5,3.3,28.3,PattCo00
82,82,82,RobertWoods,BUF,24,WR,13,76,51,67.1%,613,12.0,1,8.1,3.9,47.2,WoodRo02
83,83,83,DezBryant,DAL,28,WR,13,96,50,52.1%,796,15.9,8,8.3,3.8,61.2,BryaDe01
90,90,90,EliRogers,PIT,24,WR,13,66,48,72.7%,594,12.4,3,9.0,3.7,45.7,RogeEl00
92,92,92,TravisBenjamin,LAC,27,WR,14,75,47,62.7%,677,14.4,4,9.0,3.4,48.4,BenjTr00
93,93,93,WillFuller,HOU,22,WR,14,92,47,51.1%,635,13.5,2,6.9,3.4,45.4,FullWi01
96,96,96,ChrisConley,KAN,24,WR,16,69,44,63.8%,530,12.0,0,7.7,2.8,33.1,ConlCh00
98,98,98,JeremyMaclin,KAN,28,WR,12,76,44,57.9%,536,12.2,2,7.1,3.7,44.7,MaclJe00
100,100,100,TerranceWilliams,DAL,27,WR,16,61,44,72.1%,594,13.5,4,9.7,2.8,37.1,WillTe01
103,103,103,ChosenAnderson,NYJ,23,WR,16,78,42,53.8%,587,14.0,2,7.5,2.6,36.7,AndeRo04
104,104,104,KennyStills,MIA,24,WR,16,81,42,51.9%,726,17.3,9,9.0,2.6,45.4,StilKe00
106,106,106,JermaineKearse,SEA,26,WR,16,89,41,46.1%,510,12.4,1,5.7,2.6,31.9,KearJe01
