,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional,Cmp,Att,P_Yds,P_TD,Year
0,0,StefonDiggs,BUF,27,WR,16,166,127,76.5%,1535,12.1,8,9.2,7.9,95.9,DiggSt00,410.0,596.0,4620.0,40.0,2020
1,1,ColeBeasley,BUF,31,WR,15,107,82,76.6%,967,11.8,4,9.0,5.5,64.5,BeasCo00,410.0,596.0,4620.0,40.0,2020
2,2,GabrielDavis,BUF,21,WR,16,62,35,56.5%,599,17.1,7,9.7,2.2,37.4,DaviGa01,410.0,596.0,4620.0,40.0,2020
3,3,JohnBrown,BUF,30,WR,9,52,33,63.5%,458,13.9,3,8.8,3.7,50.9,BrowJo02,410.0,596.0,4620.0,40.0,2020
4,4,IsaiahMcKenzie,BUF,25,WR,16,34,30,88.2%,282,9.4,5,8.3,1.9,17.6,McKeIs00,410.0,596.0,4620.0,40.0,2020
5,5,AndreRoberts,BUF,32,WR,15,5,4,80.0%,34,8.5,0,6.8,0.3,2.3,RobeAn00,410.0,596.0,4620.0,40.0,2020
6,6,JakeKumerow,BUF,28,WR,6,1,1,100.0%,22,22.0,1,22.0,0.2,3.7,KumeJa00,410.0,596.0,4620.0,40.0,2020
7,7,DavanteAdams,GNB,28,WR,14,149,115,77.2%,1374,11.9,18,9.2,8.2,98.1,AdamDa01,372.0,526.0,4106.0,48.0,2020
8,8,AllenLazard,GNB,25,WR,10,46,33,71.7%,451,13.7,3,9.8,3.3,45.1,LazaAl00,372.0,526.0,4106.0,48.0,2020
9,9,MarquezValdesScantling,GNB,26,WR,16,63,33,52.4%,690,20.9,6,11.0,2.1,43.1,ValdMa00,372.0,526.0,4106.0,48.0,2020
10,10,EquanimeousStBrown,GNB,24,WR,12,13,7,53.8%,117,16.7,1,9.0,0.6,9.8,St.BEq00,372.0,526.0,4106.0,48.0,2020
11,11,TavonAustin,GNB,30,WR,4,5,5,100.0%,20,4.0,0,4.0,1.3,5.0,AustTa00,372.0,526.0,4106.0,48.0,2020
12,12,DarriusShepherd,GNB,25,WR,8,8,5,62.5%,46,9.2,0,5.8,0.6,5.8,ShepDa00,372.0,526.0,4106.0,48.0,2020
13,13,MalikTaylor,GNB,25,WR,15,6,5,83.3%,66,13.2,1,11.0,0.3,4.4,TaylMa01,372.0,526.0,4106.0,48.0,2020
14,14,DeAndreHopkins,ARI,28,WR,16,160,115,71.9%,1407,12.2,6,8.8,7.2,87.9,HopkDe00,387.0,575.0,3916.0,27.0,2020
15,15,LarryFitzgerald,ARI,37,WR,13,72,54,75.0%,409,7.6,1,5.7,4.2,31.5,FitzLa00,387.0,575.0,3916.0,27.0,2020
16,16,ChristianKirk,ARI,24,WR,14,79,48,60.8%,621,12.9,6,7.9,3.4,44.4,KirkCh01,387.0,575.0,3916.0,27.0,2020
17,17,AndyIsabella,ARI,24,WR,13,35,21,60.0%,224,10.7,2,6.4,1.6,17.2,IsabAn00,387.0,575.0,3916.0,27.0,2020
18,18,KeeSeanJohnson,ARI,24,WR,8,23,15,65.2%,173,11.5,0,7.5,1.9,21.6,JohnKe07,387.0,575.0,3916.0,27.0,2020
19,19,TrentSherfield,ARI,24,WR,15,7,5,71.4%,50,10.0,0,7.1,0.3,3.3,SherTr00,387.0,575.0,3916.0,27.0,2020
20,20,DJFoster,ARI,27,WR,10,1,1,100.0%,7,7.0,0,7.0,0.1,0.7,FostD.01,387.0,575.0,3916.0,27.0,2020
21,21,AllenRobinson,CHI,27,WR,16,151,102,67.5%,1250,12.3,6,8.3,6.4,78.1,RobiAl02,402.0,614.0,3655.0,26.0,2020
22,22,DarnellMooney,CHI,23,WR,16,98,61,62.2%,631,10.3,4,6.4,3.8,39.4,MoonDa00,402.0,614.0,3655.0,26.0,2020
23,23,AnthonyMiller,CHI,26,WR,16,76,49,64.5%,485,9.9,2,6.4,3.1,30.3,MillAn02,402.0,614.0,3655.0,26.0,2020
24,24,CordarrellePatterson,CHI,29,WR,16,25,21,84.0%,132,6.3,0,5.3,1.3,8.3,PattCo00,402.0,614.0,3655.0,26.0,2020
25,25,JavonWims,CHI,26,WR,13,12,6,50.0%,48,8.0,1,4.0,0.5,3.7,WimsJa00,402.0,614.0,3655.0,26.0,2020
26,26,RileyRidley,CHI,24,WR,5,4,4,100.0%,39,9.8,0,9.8,0.8,7.8,RidlRi00,402.0,614.0,3655.0,26.0,2020
27,27,TedGinnJr,CHI,35,WR,6,6,3,50.0%,40,13.3,0,6.7,0.5,6.7,GinnTe00,402.0,614.0,3655.0,26.0,2020
28,28,KeenanAllen,LAC,28,WR,14,147,100,68.0%,992,9.9,8,6.7,7.1,70.9,AlleKe00,413.0,627.0,4329.0,31.0,2020
29,29,MikeWilliams,LAC,26,WR,15,85,48,56.5%,756,15.8,5,8.9,3.2,50.4,WillMi07,413.0,627.0,4329.0,31.0,2020
30,30,JalenGuyton,LAC,23,WR,16,55,28,50.9%,511,18.3,3,9.3,1.8,31.9,GuytJa01,413.0,627.0,4329.0,31.0,2020
31,31,TyronJohnson,LAC,24,WR,12,26,20,76.9%,398,19.9,3,15.3,1.7,33.2,JohnTy03,413.0,627.0,4329.0,31.0,2020
32,32,JoeReed,LAC,22,WR,11,1,0,0.0%,0,,0,0.0,0.0,0.0,ReedJo03,413.0,627.0,4329.0,31.0,2020
33,33,TylerLockett,SEA,28,WR,16,132,100,75.8%,1054,10.5,10,8.0,6.3,65.9,LockTy00,388.0,563.0,3941.0,40.0,2020
34,34,DKMetcalf,SEA,23,WR,16,129,83,64.3%,1303,15.7,10,10.1,5.2,81.4,MetcDK00,388.0,563.0,3941.0,40.0,2020
35,35,DavidMoore,SEA,25,WR,16,47,35,74.5%,417,11.9,6,8.9,2.2,26.1,MoorDa03,388.0,563.0,3941.0,40.0,2020
36,36,FreddieSwain,SEA,22,WR,16,21,13,61.9%,159,12.2,2,7.6,0.8,9.9,SwaiFr00,388.0,563.0,3941.0,40.0,2020
37,37,PennyHart,SEA,24,WR,13,1,1,100.0%,3,3.0,0,3.0,0.1,0.2,HartPe01,388.0,563.0,3941.0,40.0,2020
38,38,JuJuSmithSchuster,PIT,24,WR,16,128,97,75.8%,831,8.6,9,6.5,6.1,51.9,SmitJu00,428.0,656.0,4003.0,35.0,2020
39,39,DiontaeJohnson,PIT,24,WR,15,144,88,61.1%,923,10.5,7,6.4,5.9,61.5,JohnDi01,428.0,656.0,4003.0,35.0,2020
40,40,ChaseClaypool,PIT,22,WR,16,109,62,56.9%,873,14.1,9,8.0,3.9,54.6,ClayCh01,428.0,656.0,4003.0,35.0,2020
41,41,JamesWashington,PIT,24,WR,16,56,30,53.6%,392,13.1,5,7.0,1.9,24.5,WashJa00,428.0,656.0,4003.0,35.0,2020
42,42,RayRayMcCloud,PIT,24,WR,16,22,20,90.9%,77,3.9,0,3.5,1.3,4.8,McClRa00,428.0,656.0,4003.0,35.0,2020
43,43,ChosenAnderson,CAR,27,WR,16,136,95,69.9%,1096,11.5,3,8.1,5.9,68.5,AndeRo04,373.0,550.0,3888.0,16.0,2020
44,44,CurtisSamuel,CAR,24,WR,15,97,77,79.4%,851,11.1,3,8.8,5.1,56.7,SamuCu00,373.0,550.0,3888.0,16.0,2020
45,45,DJMoore,CAR,23,WR,15,118,66,55.9%,1193,18.1,4,10.1,4.4,79.5,MoorD.00,373.0,550.0,3888.0,16.0,2020
46,46,PharohCooper,CAR,25,WR,16,8,5,62.5%,73,14.6,0,9.1,0.3,4.6,CoopPh00,373.0,550.0,3888.0,16.0,2020
47,47,SethRoberts,CAR,29,WR,7,6,4,66.7%,31,7.8,0,5.2,0.6,4.4,RobeSe00,373.0,550.0,3888.0,16.0,2020
48,48,BrandonZylstra,CAR,27,WR,16,4,3,75.0%,35,11.7,0,8.8,0.2,2.2,ZylsBr00,373.0,550.0,3888.0,16.0,2020
49,49,KeithKirkwood,CAR,26,WR,1,2,1,50.0%,13,13.0,0,6.5,1.0,13.0,KirkKe00,373.0,550.0,3888.0,16.0,2020
50,50,AmariCooper,DAL,26,WR,16,130,92,70.8%,1114,12.1,5,8.6,5.8,69.6,CoopAm00,413.0,639.0,4161.0,25.0,2020
51,51,CeeDeeLamb,DAL,21,WR,16,111,74,66.7%,935,12.6,5,8.4,4.6,58.4,LambCe00,413.0,639.0,4161.0,25.0,2020
52,52,MichaelGallup,DAL,24,WR,16,105,59,56.2%,843,14.3,5,8.0,3.7,52.7,GallMi00,413.0,639.0,4161.0,25.0,2020
53,53,CedrickWilsonJr,DAL,25,WR,16,28,17,60.7%,189,11.1,2,6.8,1.1,11.8,WilsCe01,413.0,639.0,4161.0,25.0,2020
54,54,NoahBrown,DAL,24,WR,16,24,14,58.3%,154,11.0,0,6.4,0.9,9.6,BrowNo00,413.0,639.0,4161.0,25.0,2020
55,55,CooperKupp,LAR,27,WR,15,124,92,74.2%,974,10.6,3,7.9,6.1,64.9,KuppCo00,392.0,590.0,4014.0,20.0,2020
56,56,RobertWoods,LAR,28,WR,16,129,90,69.8%,936,10.4,6,7.3,5.6,58.5,WoodRo02,392.0,590.0,4014.0,20.0,2020
57,57,JoshReynolds,LAR,25,WR,16,81,52,64.2%,618,11.9,2,7.6,3.3,38.6,ReynJo00,392.0,590.0,4014.0,20.0,2020
58,58,VanJefferson,LAR,24,WR,16,31,19,61.3%,220,11.6,1,7.1,1.2,13.8,JeffVa00,392.0,590.0,4014.0,20.0,2020
59,59,CalvinRidley,ATL,26,WR,15,143,90,62.9%,1374,15.3,9,9.6,6.0,91.6,RidlCa00,408.0,628.0,4363.0,27.0,2020
60,60,RussellGage,ATL,24,WR,16,109,72,66.1%,786,10.9,4,7.2,4.5,49.1,GageRu00,408.0,628.0,4363.0,27.0,2020
61,61,JulioJones,ATL,31,WR,9,68,51,75.0%,771,15.1,3,11.3,5.7,85.7,JoneJu02,408.0,628.0,4363.0,27.0,2020
62,62,OlamideZaccheaus,ATL,23,WR,11,32,20,62.5%,274,13.7,1,8.6,1.8,24.9,ZaccOl01,408.0,628.0,4363.0,27.0,2020
63,63,ChristianBlake,ATL,24,WR,16,18,13,72.2%,141,10.8,0,7.8,0.8,8.8,BlakCh00,408.0,628.0,4363.0,27.0,2020
64,64,BrandonPowell,ATL,25,WR,15,18,12,66.7%,69,5.8,2,3.8,0.8,4.6,PoweBr00,408.0,628.0,4363.0,27.0,2020
65,65,LaquonTreadwell,ATL,25,WR,5,7,6,85.7%,49,8.2,2,7.0,1.2,9.8,TreaLa00,408.0,628.0,4363.0,27.0,2020
66,66,JustinJefferson,MIN,21,WR,16,125,88,70.4%,1400,15.9,7,11.2,5.5,87.5,JeffJu00,349.0,516.0,4009.0,35.0,2020
67,67,AdamThielen,MIN,30,WR,15,108,74,68.5%,925,12.5,14,8.6,4.9,61.7,ThieAd00,349.0,516.0,4009.0,35.0,2020
68,68,ChadBeebe,MIN,26,WR,14,30,20,66.7%,201,10.1,2,6.7,1.4,14.4,BeebCh00,349.0,516.0,4009.0,35.0,2020
69,69,OlabisiJohnson,MIN,23,WR,16,19,14,73.7%,189,13.5,0,9.9,0.9,11.8,JohnOl00,349.0,516.0,4009.0,35.0,2020
70,70,TajaeSharpe,MIN,26,WR,4,3,0,0.0%,0,,0,0.0,0.0,0.0,SharTa00,349.0,516.0,4009.0,35.0,2020
71,71,TyreekHill,KAN,26,WR,15,135,87,64.4%,1276,14.7,15,9.5,5.8,85.1,HillTy00,420.0,630.0,4854.0,40.0,2020
72,72,DemarcusRobinson,KAN,26,WR,16,59,45,76.3%,466,10.4,3,7.9,2.8,29.1,RobiDe01,420.0,630.0,4854.0,40.0,2020
73,73,MecoleHardman,KAN,22,WR,16,62,41,66.1%,560,13.7,4,9.0,2.6,35.0,HardMe00,420.0,630.0,4854.0,40.0,2020
74,74,SammyWatkins,KAN,27,WR,10,55,37,67.3%,421,11.4,2,7.7,3.7,42.1,WatkSa00,420.0,630.0,4854.0,40.0,2020
75,75,ByronPringle,KAN,27,WR,13,17,13,76.5%,160,12.3,1,9.4,1.0,12.3,PrinBy00,420.0,630.0,4854.0,40.0,2020
76,76,GehrigDieter,KAN,27,WR,4,2,1,50.0%,10,10.0,0,5.0,0.3,2.5,DietGe00,420.0,630.0,4854.0,40.0,2020
77,77,RickySealsJones,KAN,25,WR,2,1,0,0.0%,0,,0,0.0,0.0,0.0,SealRi00,420.0,630.0,4854.0,40.0,2020
78,78,TerryMcLaurin,WAS,25,WR,15,134,87,64.9%,1118,12.9,4,8.3,5.8,74.5,McLaTe00,389.0,601.0,3465.0,16.0,2020
79,79,CamSims,WAS,24,WR,16,48,32,66.7%,477,14.9,1,9.9,2.0,29.8,SimsCa00,389.0,601.0,3465.0,16.0,2020
80,80,StevenSims,WAS,23,WR,12,37,27,73.0%,265,9.8,1,7.2,2.3,22.1,SimsSt00,389.0,601.0,3465.0,16.0,2020
81,81,IsaiahWright,WAS,23,WR,14,35,27,77.1%,197,7.3,0,5.6,1.9,14.1,WrigIs01,389.0,601.0,3465.0,16.0,2020
82,82,DontrelleInman,WAS,31,WR,10,28,18,64.3%,163,9.1,2,5.8,1.8,16.3,InmaDo00,389.0,601.0,3465.0,16.0,2020
83,83,RobertFoster,WAS,26,WR,4,6,2,33.3%,37,18.5,0,6.2,0.5,9.3,FostRo01,389.0,601.0,3465.0,16.0,2020
84,84,AntonioGandyGolden,WAS,22,WR,6,7,1,14.3%,3,3.0,0,0.4,0.2,0.5,GandAn00,389.0,601.0,3465.0,16.0,2020
85,85,JeffBadet,WAS,26,WR,3,1,0,0.0%,0,,0,0.0,0.0,0.0,BadeJe00,389.0,601.0,3465.0,16.0,2020
86,86,BrandinCooks,HOU,27,WR,15,119,81,68.1%,1150,14.2,6,9.7,5.4,76.7,CookBr00,383.0,546.0,4538.0,33.0,2020
87,87,WillFuller,HOU,26,WR,11,75,53,70.7%,879,16.6,8,11.7,4.8,79.9,FullWi01,383.0,546.0,4538.0,33.0,2020
88,88,RandallCobb,HOU,30,WR,10,48,38,79.2%,441,11.6,3,9.2,3.8,44.1,CobbRa00,383.0,546.0,4538.0,33.0,2020
89,89,KekeCoutee,HOU,23,WR,8,40,33,82.5%,400,12.1,3,10.0,4.1,50.0,CoutKe00,383.0,546.0,4538.0,33.0,2020
90,90,ChadHansen,HOU,25,WR,5,24,17,70.8%,236,13.9,1,9.8,3.4,47.2,HansCh00,383.0,546.0,4538.0,33.0,2020
91,91,KennyStills,HOU,28,WR,10,19,11,57.9%,144,13.1,1,7.6,1.1,14.4,StilKe00,383.0,546.0,4538.0,33.0,2020
92,92,StevenMitchell,HOU,26,WR,6,8,5,62.5%,60,12.0,0,7.5,0.8,10.0,MitcSt02,383.0,546.0,4538.0,33.0,2020
93,93,TylerBoyd,CIN,26,WR,15,110,79,71.8%,841,10.6,4,7.6,5.3,56.1,BoydTy00,372.0,581.0,3448.0,19.0,2020
94,94,TeeHiggins,CIN,21,WR,16,108,67,62.0%,908,13.6,6,8.4,4.2,56.8,HiggTe00,372.0,581.0,3448.0,19.0,2020
95,95,AJGreen,CIN,32,WR,16,104,47,45.2%,523,11.1,2,5.0,2.9,32.7,GreeA.00,372.0,581.0,3448.0,19.0,2020
96,96,AudenTate,CIN,23,WR,9,22,14,63.6%,150,10.7,0,6.8,1.6,16.7,TateAu00,372.0,581.0,3448.0,19.0,2020
97,97,MikeThomas,CIN,26,WR,14,21,13,61.9%,132,10.2,1,6.3,0.9,9.4,ThomMi04,372.0,581.0,3448.0,19.0,2020
98,98,AlexErickson,CIN,28,WR,16,17,12,70.6%,139,11.6,0,8.2,0.8,8.7,EricAl01,372.0,581.0,3448.0,19.0,2020
99,99,JohnRoss,CIN,25,WR,3,7,2,28.6%,17,8.5,0,2.4,0.7,5.7,RossJo00,372.0,581.0,3448.0,19.0,2020
100,100,TrentonIrwin,CIN,25,WR,1,2,1,50.0%,5,5.0,0,2.5,1.0,5.0,IrwiTr00,372.0,581.0,3448.0,19.0,2020
101,101,MarvinJones,DET,30,WR,16,115,76,66.1%,978,12.9,9,8.5,4.8,61.1,JoneMa02,374.0,582.0,4104.0,27.0,2020
102,102,DannyAmendola,DET,35,WR,14,69,46,66.7%,602,13.1,0,8.7,3.3,43.0,AmenDa00,374.0,582.0,4104.0,27.0,2020
103,103,QuintezCephus,DET,22,WR,13,35,20,57.1%,349,17.5,2,10.0,1.5,26.8,CephQu00,374.0,582.0,4104.0,27.0,2020
104,104,KennyGolladay,DET,27,WR,5,32,20,62.5%,338,16.9,2,10.6,4.0,67.6,GollKe00,374.0,582.0,4104.0,27.0,2020
105,105,JamalAgnew,DET,25,WR,14,20,13,65.0%,89,6.8,0,4.5,0.9,6.4,AgneJa00,374.0,582.0,4104.0,27.0,2020
106,106,JarvisLandry,CLE,28,WR,15,101,72,71.3%,840,11.7,3,8.3,4.8,56.0,LandJa00,315.0,501.0,3539.0,27.0,2020
107,107,RashardHiggins,CLE,26,WR,13,52,37,71.2%,599,16.2,4,11.5,2.8,46.1,HiggRa00,315.0,501.0,3539.0,27.0,2020
108,108,OdellBeckhamJr,CLE,28,WR,7,43,23,53.5%,319,13.9,3,7.4,3.3,45.6,BeckOd00,315.0,501.0,3539.0,27.0,2020
109,109,DonovanPeoplesJones,CLE,21,WR,12,20,14,70.0%,304,21.7,2,15.2,1.2,25.3,PeopDo00,315.0,501.0,3539.0,27.0,2020
