,Tm,Cmp,Att,P_Yds,P_TD
0,TAM,408,625,5125,36
1,PIT,459,689,5008,35
2,KAN,385,583,4955,50
3,ATL,428,617,4653,36
4,LAR,368,568,4507,32
5,IND,432,644,4461,39
6,PHI,422,599,4275,29
7,NWE,378,574,4258,29
8,GNB,392,640,4238,25
9,LAC,348,512,4089,32
10,NYG,382,583,4047,23
11,NOR,381,519,4042,33
12,MIN,425,606,4036,30
13,CLE,353,574,4007,29
14,SFO,331,532,3867,26
15,CAR,378,563,3836,28
16,HOU,345,506,3781,26
17,LVR,382,556,3751,19
18,DEN,367,588,3695,19
19,DET,375,574,3576,22
20,CHI,344,512,3564,28
21,BAL,334,556,3558,18
22,DAL,356,527,3538,22
23,CIN,331,542,3290,27
24,NYJ,299,524,3165,18
25,JAX,329,536,3109,15
26,SEA,280,427,3093,35
27,WAS,311,509,3021,16
28,TEN,293,437,2975,16
29,MIA,292,455,2900,26
30,BUF,271,499,2794,13
31,ARI,283,495,2523,15
