,Unnamed: 0,Player,Tm,Age,Pos,G,Tgt,Rec,Ctch%,Yds,Y/R,TD,Y/Tgt,R/G,Y/G,Player-additional,Cmp,Att,P_Yds,P_TD,Year
0,0,AntonioBrown,PIT,26,WR,16,181.0,129,71.3%,1698,13.2,13,9.4,8.1,106.1,BrowAn04,411.0,612.0,4825.0,33.0,2014
1,1,MarkusWheaton,PIT,23,WR,16,86.0,53,61.6%,644,12.2,2,7.5,3.3,40.3,WheaMa00,411.0,612.0,4825.0,33.0,2014
2,2,MartavisBryant,PIT,23,WR,10,48.0,26,54.2%,549,21.1,8,11.4,2.6,54.9,BryaMa00,411.0,612.0,4825.0,33.0,2014
3,3,LanceMoore,PIT,31,WR,14,26.0,14,53.8%,198,14.1,2,7.6,1.0,14.1,MoorLa00,411.0,612.0,4825.0,33.0,2014
4,4,JustinBrown,PIT,23,WR,8,21.0,12,57.1%,94,7.8,0,4.5,1.5,11.8,BrowJu00,411.0,612.0,4825.0,33.0,2014
5,5,DriArcher,PIT,23,WR,12,10.0,7,70.0%,23,3.3,0,2.3,0.6,1.9,ArchDr00,411.0,612.0,4825.0,33.0,2014
6,6,DarriusHeywardBey,PIT,27,WR,16,5.0,3,60.0%,33,11.0,0,6.6,0.2,2.1,HeywDa00,411.0,612.0,4825.0,33.0,2014
7,7,DemaryiusThomas,DEN,27,WR,16,184.0,111,60.3%,1619,14.6,11,8.8,6.9,101.2,ThomDe03,399.0,607.0,4661.0,40.0,2014
8,8,EmmanuelSanders,DEN,27,WR,16,141.0,101,71.6%,1404,13.9,9,10.0,6.3,87.8,SandEm00,399.0,607.0,4661.0,40.0,2014
9,9,WesWelker,DEN,33,WR,14,64.0,49,76.6%,464,9.5,2,7.3,3.5,33.1,WelkWe00,399.0,607.0,4661.0,40.0,2014
10,10,AndreCaldwell,DEN,29,WR,16,15.0,5,33.3%,47,9.4,0,3.1,0.3,2.9,CaldAn00,399.0,607.0,4661.0,40.0,2014
11,11,CodyLatimer,DEN,22,WR,8,4.0,2,50.0%,23,11.5,0,5.8,0.3,2.9,LatiCo00,399.0,607.0,4661.0,40.0,2014
12,12,IsaiahBurse,DEN,23,WR,12,1.0,0,0.0%,0,,0,0.0,0.0,0.0,BursIs01,399.0,607.0,4661.0,40.0,2014
13,13,JulioJones,ATL,25,WR,15,163.0,104,63.8%,1593,15.3,6,9.8,6.9,106.2,JoneJu02,418.0,632.0,4553.0,28.0,2014
14,14,RoddyWhite,ATL,33,WR,14,125.0,80,64.0%,921,11.5,7,7.4,5.7,65.8,WhitRo00,418.0,632.0,4553.0,28.0,2014
15,15,HarryDouglas,ATL,30,WR,12,74.0,51,68.9%,556,10.9,2,7.5,4.3,46.3,DougHa00,418.0,632.0,4553.0,28.0,2014
16,16,EricWeems,ATL,29,WR,16,11.0,10,90.9%,102,10.2,2,9.3,0.6,6.4,WeemEr00,418.0,632.0,4553.0,28.0,2014
17,17,CourtneyRoby,ATL,31,WR,4,2.0,1,50.0%,11,11.0,0,5.5,0.3,2.8,RobyCo00,418.0,632.0,4553.0,28.0,2014
18,18,FreddieMartino,ATL,23,WR,1,1.0,0,0.0%,0,,0,0.0,0.0,0.0,MartFr00,418.0,632.0,4553.0,28.0,2014
19,19,GoldenTate,DET,26,WR,16,144.0,99,68.8%,1331,13.4,4,9.2,6.2,83.2,TateGo00,365.0,604.0,4030.0,22.0,2014
20,20,CalvinJohnson,DET,29,WR,13,128.0,71,55.5%,1077,15.2,8,8.4,5.5,82.8,JohnCa00,365.0,604.0,4030.0,22.0,2014
21,21,JeremyRoss,DET,26,WR,16,35.0,24,68.6%,314,13.1,1,9.0,1.5,19.6,RossJe01,365.0,604.0,4030.0,22.0,2014
22,22,CoreyFuller,DET,24,WR,16,31.0,14,45.2%,212,15.1,1,6.8,0.9,13.3,FullCo00,365.0,604.0,4030.0,22.0,2014
23,23,RyanBroyles,DET,26,WR,5,5.0,2,40.0%,25,12.5,0,5.0,0.4,5.0,BroyRy00,365.0,604.0,4030.0,22.0,2014
24,24,JordyNelson,GNB,29,WR,16,151.0,98,64.9%,1519,15.5,13,10.1,6.1,94.9,NelsJo00,349.0,536.0,4261.0,38.0,2014
25,25,RandallCobb,GNB,24,WR,16,127.0,91,71.7%,1287,14.1,12,10.1,5.7,80.4,CobbRa00,349.0,536.0,4261.0,38.0,2014
26,26,DavanteAdams,GNB,22,WR,16,66.0,38,57.6%,446,11.7,3,6.8,2.4,27.9,AdamDa01,349.0,536.0,4261.0,38.0,2014
27,27,JarrettBoykin,GNB,25,WR,13,12.0,3,25.0%,23,7.7,0,1.9,0.2,1.8,BoykJa00,349.0,536.0,4261.0,38.0,2014
28,28,JeffJanis,GNB,23,WR,3,2.0,2,100.0%,16,8.0,0,8.0,0.7,5.3,JaniJe00,349.0,536.0,4261.0,38.0,2014
29,29,KevinDorsey,GNB,24,WR,3,2.0,1,50.0%,4,4.0,0,2.0,0.3,1.3,DorsKe01,349.0,536.0,4261.0,38.0,2014
30,30,JulianEdelman,NWE,28,WR,14,134.0,92,68.7%,972,10.6,4,7.3,6.6,69.4,EdelJu00,392.0,609.0,4121.0,34.0,2014
31,31,BrandonLaFell,NWE,28,WR,16,119.0,74,62.2%,953,12.9,7,8.0,4.6,59.6,LaFeBr00,392.0,609.0,4121.0,34.0,2014
32,32,DannyAmendola,NWE,29,WR,16,42.0,27,64.3%,200,7.4,1,4.8,1.7,12.5,AmenDa00,392.0,609.0,4121.0,34.0,2014
